Old Frisian	Danish	probability
ˈaː_n	ˈɔˀ	1.0
ˈa_z	ˈɑː	1.0
ʦ	kʰ	1.0
ʣ	-	1.0
ɣ̥	w	1.0
ɣ_ə	w	1.0
ɡː	ɡ̊	1.0
ɡ_ə	ə	1.0
ə_r	ɐ	1.0
ð	-	1.0
z_ə	s_ə	1.0
x_t	d̥	1.0
w_ˈe	ˈø	1.0
v	w	1.0
tː	ð̞ˠ	1.0
t_ə	ð̞ˠ	1.0
t_w	ʦʰ	1.0
r_ˈeː	ʁ	1.0
r_ə	ɐ	1.0
pː	b̥	1.0
p_ə	b̥_ə	1.0
p	pʰ	1.0
n_d	nˀ	1.0
mː	ˈø_m	1.0
lː	lˀ	1.0
l_d	lˀ	1.0
kː	ɡ̊	1.0
k_ˈi	ɡ̊_ˈiˀ	1.0
j_ə	ə	1.0
iː	i	1.0
h_w	ʋ	1.0
f	f	1.0
dː	ˈeˀ	1.0
bː	w	1.0
b	b̥	1.0
s	s	0.977
m	m	0.974
θ	ʦʰ	0.953
n	n	0.939
ˈo	-	0.869
h	h	0.84
w	ʋ	0.811
ə	ə	0.729
i	-	0.719
l	l	0.715
k	ɡ̊	0.714
ˈɛː	ˈeˀ	0.678
ŋ	ŋˀ	0.656
nː	n_ə	0.634
ˈeː_r	ˈɑˀ	0.625
ˈoː	ˈoˀ	0.591
x	ɡ̊	0.581
ˈiː	ˈiˀ	0.58
ˈu	ˈu	0.579
d	-	0.571
ˈi̯uː	ˈyˀ	0.541
ˈuː	ˈuˀ	0.531
j	ɡ̊	0.527
t	ð̞ˠ	0.498
ˈi	ˈe	0.494
ˈi̯uː	-	0.459
t	d̥	0.445
d	ð̞ˠ	0.429
ˈa	ˈæ	0.42
x	-	0.419
ˈoː	-	0.409
ˈeː_r	ˈɒˀ	0.375
ˈi̯aː	ˈyˀ	0.374
ɣ	w	0.367
nː	n	0.366
ŋ	ŋ	0.344
ɣ	j	0.342
ˈeː	-	0.335
r	ɐ	0.323
ˈɛː	-	0.322
ˈi̯aː	ˈyː	0.321
ˈɔː	ˈo	0.309
ˈi̯aː	-	0.306
ˈeː	ˈɔˀ	0.302
r	ʁ	0.301
ɣ	-	0.291
ˈu	-	0.29
ˈa	-	0.289
k	-	0.286
i	e	0.281
ˈaː	ˈœˀ	0.279
ˈi	-	0.267
j	-	0.262
ˈaː	-	0.248
ə	-	0.246
ˈɔː	ˈæ	0.245
r	ɐˀ	0.226
l	lˀ	0.225
ˈiː	-	0.219
j	jˀ	0.211
ˈe	-	0.208
ˈeː	j	0.205
ˈiː	ˈiː	0.2
ˈe	ˈɛ	0.19
w	-	0.189
ˈaː	ˈøː	0.187
ˈuː	ˈuː	0.179
ˈuː	ˈɔ	0.171
ˈɔː	ˈɔː	0.163
ˈe	ˈe	0.163
h	j	0.16
ˈaː	ˈøˀ	0.159
ˈeː	ˈøː	0.157
ˈɔː	ˈœ	0.155
ˈi	ˈɛ	0.153
ˈu	ˈʌ	0.131
ˈo	ˈu	0.131
ˈɔː	-	0.128
ˈaː	ˈeˀ	0.127
ˈuː	-	0.118
ˈe	ˈɑ	0.107
ˈa	ˈɛː	0.098
ˈa	ˈeː	0.098
ˈa	ˈʌ	0.096
r	-	0.086
ˈi	ˈi	0.085
ˈe	ˈæ	0.085
ˈe	j	0.076
n	nˀ	0.061
l	ˈʌ	0.06
ˈe	ʁ	0.059
ˈe	ˈɑˀ	0.057
t	-	0.057
