Provençal	Provençal	probability
ˈɛ_ʀ	ˈe_ʀ	1.0
ˈɛ_w	ˈa_l	1.0
ˈɛ_s	ˈe	1.0
ˈɔ	ˈɔ	1.0
ˈỹ	ˈỹ	1.0
ˈĩ	ˈĩ	1.0
ˈi	ˈi	1.0
ˈe_ʧ	j	1.0
ˈe_s	ˈɔ	1.0
ˈe_j	ʎ	1.0
ˈe_#>	ʀ_ə_#>	1.0
ˈa_s	ˈa_s	1.0
ˈa_j	ˈe_j	1.0
ʀ_#>	ʀ_#>	1.0
ɾ_ˈa	ʀ_ˈa	1.0
ɾ_ɔ	ʀ_ɔ	1.0
ɾ	ʀ	1.0
ɲ	ɲ	1.0
ɥ_ˈe	ˈœ	1.0
ɡ_l	ʎ	1.0
ɔ	ɔ	1.0
y	y	1.0
w_ɾ	w_ʀ	1.0
ũ	ũ	1.0
t_ɾ	t	1.0
s_ˈe	s_ˈɪ	1.0
s_ɔ	s_ɔ	1.0
s_j	s	1.0
p	p	1.0
mː	m	1.0
lː	lː	1.0
k_ɾ	k_ʀ	1.0
k_ɔ	ʧ_ɔ	1.0
j_ɔ	ʎ_ɔ	1.0
ĩ	ĩ	1.0
ẽ	-	1.0
e_s	ɪ	1.0
b	b	1.0
ã	ã	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_ʀ	1.0
<#_u	<#_u	1.0
<#_t	<#_ʧ	1.0
ˈa	ˈa	0.962
w	w	0.961
ŋ	ŋ	0.958
n	n	0.938
t	t	0.917
m	m	0.909
d	d	0.9
ˈã	ˈã	0.875
f	f	0.864
ˈu	ˈu	0.857
s	s	0.848
u	u	0.833
a	ɒ	0.833
ʤ	ʤ	0.824
ˈɛ	ˈe	0.818
ʀ	ʀ	0.818
w_#>	l_#>	0.812
l	l	0.804
ˈy	ˈy	0.75
e	ə	0.75
v	v	0.739
ɡ	ɡ	0.733
z	z	0.714
ɥ	ˈœ	0.667
k	k	0.638
ˈũ	ˈũ	0.6
i	i	0.571
j	j	0.522
ˈẽ	ˈẽ	0.5
i	-	0.429
ˈe	ˈɔ	0.422
#>	ʀ_ə_#>	0.375
#>	ɔ_#>	0.375
k	ʧ	0.362
ˈe	ˈɪ	0.356
z	ʒ	0.286
v	vʲ	0.261
ˈy	-	0.25
ˈẽ	ˈɪ̃	0.25
ˈẽ	ˈɔ̃	0.25
#>	j_#>	0.25
ɥ	j	0.222
ˈũ	w_ˈẽ	0.2
ˈũ	w	0.2
ɡ	ʤ	0.2
l	ʎ	0.196
w_#>	#>	0.188
ʀ	-	0.182
ʤ	ʧ	0.176
j	ʎ	0.174
j	-	0.174
u	-	0.167
a	a	0.167
f	fʲ	0.136
j	ˈe	0.13
ˈã	-	0.125
ˈe	ˈe	0.111
ɥ	ɥ	0.111
e	e	0.1
e	-	0.1
d	dʲ	0.1
ˈɛ	ˈɛ	0.091
ˈɛ	-	0.091
m	mʲ	0.091
t	ʧ	0.083
ˈu	w	0.071
ˈu	-	0.071
ˈe	ˈa	0.067
ɡ	ɡʲ	0.067
s	ʃ	0.065
n	-	0.062
