Swabian	German	probability
ˈɪ	ˈɪ	1.0
ˈɔː	ˈaː	1.0
ˈɔe̯	ˈaɪ̯	1.0
ˈɔ	ˈɔ	1.0
ˈuː	ˈuː	1.0
ˈuə̯	ˈuː	1.0
ˈoː	ˈoː	1.0
ˈiː	ˈiː	1.0
ˈeə̯	n	1.0
ˈe	ˈɪ	1.0
ˈao̯	ˈaʊ̯	1.0
ʦ	ʦ	1.0
ʕ_n	ɐ_n	1.0
ʕ	ɐ	1.0
ʌ	ɐ	1.0
ʋ	v	1.0
ʃ_d	s_t	1.0
ʃ	ʃ	1.0
ʁ	ʁ	1.0
ɪ	ɪ	1.0
ŋ	ŋ	1.0
ç	ç	1.0
x	x	1.0
t	t	1.0
s_a	s_n	1.0
n_ˈa	n_ˈa	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
h	h	1.0
f	f	1.0
e	ə	1.0
d_a	d_n	1.0
b̥͡f	p͡f	1.0
a	n	1.0
#>	n_#>	1.0
ˈa	ˈa	0.926
n	n	0.912
ˈɛ	ˈɛ	0.895
b	b	0.812
ˈaː	ˈaː	0.8
ˈi	ˈɪ	0.75
ˈəi̯	ˈaɪ̯	0.714
ˈu	ˈʊ	0.625
ˈo	ˈɔ	0.588
ˈɛː	ˈeː	0.571
ˈiə̯	ˈiː	0.571
ˈeː	ˈeː	0.571
ɡ	ɡ	0.533
s	s	0.511
ˈae̯	ˈɔʏ̯	0.5
ˈae̯	ˈaɪ̯	0.5
s	z	0.489
ˈɛː	ˈɛː	0.429
ˈiə̯	ˈyː	0.429
ˈeː	ˈøː	0.429
ˈo	ˈʊ	0.412
d	t	0.412
ˈu	ˈʏ	0.375
ˈəi̯	ˈɔʏ̯	0.286
ɡ	k	0.244
d	d	0.225
ˈaː	ˈa_n	0.2
d	tʰ	0.2
d	d̥	0.162
ˈi	ˈyː	0.125
ˈi	ˈiː	0.125
b	b̥	0.125
ɡ	ɡ̊	0.111
ɡ	ç	0.111
ˈɛ	ˈa	0.105
n	n_ə	0.088
ˈa	ˈaː	0.074
b	p	0.062
