Italian	Sicilian	probability
a	a	0.953
b	b	0.577
b	v	0.168
b	ɟ	0.082
b	s	0.081
d	d	0.426
d	ɾ	0.27
d	-	0.114
d	n	0.062
d	ʈ	0.062
e	ɪ	0.826
e	i	0.113
f	f	1.0
f_j	ç	1.0
i	ɪ	0.467
i	i	0.427
i	-	0.053
j	j	0.446
j	-	0.388
j	ɲ	0.125
j_ˈu	ˈi	1.0
k	k	0.865
k	c	0.111
k_j	c	1.0
l	l	0.495
l	ɖ	0.371
m	m	0.904
m	n	0.06
n	n	0.972
o	ʊ	0.871
p	p	0.96
p_j	c	1.0
r	ɾ	0.524
r	r	0.278
r	ʐ	0.06
r	ɽ	0.057
s	s	0.68
s	ʃ	0.281
t	t	0.92
u	u	0.517
u	a	0.45
v	v	1.0
w	w	0.882
w	a	0.094
w_e	ʊ	0.507
w_ˈɔ	ˈɔ	1.0
z	z	1.0
ŋ	ŋ	0.796
ŋ	ɲ	0.202
ɡ	ɡ	0.504
ɡ	k	0.2
ɡ	-	0.193
ɡ	ɟ	0.07
ɲ	ɲ	0.966
ʃ	ʃ	1.0
ʎ	ɟ	0.862
ʎ	ɖ	0.122
ʣ	ɟ	0.415
ʣ	ʦ	0.366
ʤ	j	0.381
ʤ	ʤ	0.342
ʤ	-	0.127
ʤ	ɕ	0.082
ʦ	ʦ	1.0
ʧ	ɕ	0.622
ʧ	ʧ	0.179
ʧ	-	0.159
ˈa	ˈa	1.0
ˈe	ˈi	0.894
ˈe	ɪ	0.054
ˈi	ˈi	0.897
ˈi	ɪ	0.095
ˈo	ˈu	0.79
ˈo	ˈo	0.122
ˈo	ˈɔ	0.081
ˈu	ˈu	0.908
ˈɔ	ˈɔ	0.819
ˈɔ	ˈa_w	0.074
ˈɔ	ˈu	0.069
ˈɛ	ˈɛ	0.981
