Icelandic	Bokmål Norwegian	probability
a	ə	0.84
a	-	0.132
a	e	0.03
b̥	b	0.952
b̥	-	0.051
c	k	0.734
c	ʃ	0.257
cʰ	ç	0.675
cʰ	kʰ	0.304
d̥	d	0.928
d̥	-	0.07
f	f	0.882
f	-	0.105
h	h	0.935
h	-	0.064
i	ɪ	1.0
j	-	0.528
j	j	0.25
j	ˈeː	0.171
j	ˈiː	0.044
j_ˈoːu̯	ˈyː	0.525
j_ˈoːu̯	ˈøː	0.233
j_ˈoːu̯	ˈiː	0.094
j_ˈuː	ˈyː	1.0
k	k	1.0
kʰ	kʰ	0.668
kʰ	-	0.326
l	l	0.917
l	-	0.051
l	lː	0.04
l_d̥	lː	0.232
l_j	l	1.0
l_ʏ	l	1.0
l̥	l	0.784
l̥	lː	0.206
l̥_ʏ	lː	1.0
m	m	0.844
m	mː	0.15
m_ʏ	m	1.0
n	n	0.847
n	nː	0.078
n	-	0.052
n	lː	0.032
n_d̥	nː	1.0
nː	nː	1.0
nː_ʏ	nː	0.482
n̥	n	0.862
n̥	nː	0.116
p	p	0.574
p	ʋ	0.401
p_ʏ	p	0.482
r	ɾ	0.821
r	-	0.178
r_j	ɾ	1.0
r_ð	ɾ	1.0
rː̥	ɾ	1.0
r̥	-	0.783
r̥	ɾ	0.2
s	s	0.904
s	ʂ	0.046
s	-	0.027
s	sː	0.027
sː	sː	0.232
t	t	0.565
t	-	0.17
t	tː	0.112
t	ʈ	0.052
t	ʈː	0.052
t_l̥	l	0.579
t_l̥	lː	0.418
t_n	ɳ	1.0
t_n̥	ɳ	0.815
t_n̥	nː	0.145
t_ʏ	t	1.0
tʰ	tʰ	0.864
tʰ	ç	0.135
u	-	0.361
u	ə	0.361
u	ˈoː	0.2
v	ʋ	0.821
v	-	0.147
v	s	0.034
x	-	0.5
x	j	0.5
ç	h	0.667
ç	j	0.333
ð	-	0.485
ð	d	0.3
ð	d_ə	0.135
ð	nː	0.057
ŋ	ŋː	0.71
ŋ	ŋ	0.284
ɑu̯	ɪ	0.482
ɛ	-	0.574
ɛ	ə	0.277
ɛː	i	0.232
ɟ̊	j	0.297
ɟ̊	-	0.267
ɟ̊	ɡ	0.233
ɟ̊	ɡː	0.153
ɡ̊	-	0.539
ɡ̊	ɡ	0.384
ɡ̊	ɡː	0.071
ɡ̊_a	ə	1.0
ɡ̊_ʏ	ə	1.0
ɣ	-	0.631
ɣ	j	0.203
ɣ	ɡ	0.129
ɪ	ə	0.766
ɪ	-	0.13
ɪ	ɾ	0.098
ɪ_r̥	ɾ	0.822
ɪ_r̥	ə	0.107
ɲ	ŋː	0.482
ʏ	-	0.871
ʏ	ə	0.108
ʏ	i	0.031
ʰk	kː	0.715
ʰk	lː	0.28
ʰp	p	1.0
ʰt	tː	0.525
ʰt	-	0.447
ʰt_ʏ	tː	1.0
ˈa	ˈɑ	0.774
ˈa	ˈɛ	0.109
ˈa	ˈɑː	0.063
ˈa	ˈæː	0.052
ˈai̯	ˈœ	0.561
ˈai̯	ˈɛ	0.425
