Catalan	Catalan	probability
ˈɛ_#>	ˈe_#>	1.0
ˈɔ_n	ˈu_n	1.0
ˈɔ_#>	ˈu_#>	1.0
ˈi_ə	ˈi_ɔ	1.0
ˈe_s	ˈɛ_s	1.0
ˈa_w	ˈa_ʦ	1.0
ˈa_t	ˈa_t	1.0
ˈa_k	ˈa_k	1.0
ʧ	-	1.0
ʤ	ʤ	1.0
ʒ	ʤ	1.0
ʎː	ʎ	1.0
ʎ_ə	l_e	1.0
ɣ	ɣ	1.0
ə_n	e_n	1.0
ð	ð	1.0
z	z	1.0
w_ˈa	ˈa	1.0
w_ɾ	j_ʀ	1.0
w_ə	ɔ	1.0
t_ə	t_ɔ	1.0
s_ˈɛ	s_ˈɛ	1.0
s_k	s_k	1.0
s	s	1.0
r_u	ʀ_e	1.0
r_n_#>	ʀ_#>	1.0
r	ʀ	1.0
p_#>	p_#>	1.0
p	p	1.0
n_ˈɛ	n_ˈe	1.0
mː	mː	1.0
l_ə	l_ɔ	1.0
l_t	w_t	1.0
l	l	1.0
k_ə	k_a	1.0
j_t	ʧ	1.0
j_#>	j_#>	1.0
j	j	1.0
f	f	1.0
d	d	1.0
b_ə	b_e	1.0
b_r	nː	1.0
b	b	1.0
a	ɔ	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
ˈa	ˈa	0.971
k	k	0.957
n	n	0.952
m	m	0.95
ɾ	ɾ	0.923
β	β	0.905
t	t	0.892
ˈo	ˈu	0.852
w	w	0.833
ʎ	l	0.83
u	u	0.815
ˈi	ˈi	0.81
ɲ	ɲ	0.769
ɡ	ɡ	0.75
ʃ	j_s	0.667
#>	ʦ_#>	0.667
ˈɛ	ˈe	0.654
i	i	0.636
ˈu	ˈy	0.633
<#	<#_a	0.6
ˈɔ	ˈɔ	0.571
ŋ	ŋ_k	0.571
<#_ə	<#_e	0.529
ˈe	ˈɛ	0.528
ə	ɔ	0.528
ˈɛ_w	ˈɛ_ʦ	0.5
ˈɛ_w	ˈu	0.5
<#_ə	<#_a	0.471
ŋ	ŋ	0.429
<#	<#_ˈa	0.4
i	e	0.364
ˈɛ	ˈɛ	0.346
ʃ	s	0.333
ə	e	0.333
#>	n_#>	0.333
ˈe	ˈe	0.306
ˈu	ɥ_ˈɛ	0.233
ɲ	n	0.231
ʎ	ʎ	0.17
w	-	0.167
ˈɔ	ˈa_w	0.143
ˈu	ˈu	0.133
ɡ	ɣ	0.125
ɡ	-	0.125
ə	a	0.122
ˈɔ	ˈu	0.114
ˈɔ	ɥ_ˈɔ	0.114
u	w	0.111
t	ʧ	0.108
β	-	0.095
ˈi	j_ˈɛ	0.095
ˈe	ˈa	0.083
ˈe	j_ˈɛ	0.083
ɾ	-	0.077
ˈo	ˈy	0.074
ˈo	z_ˈu	0.074
u	-	0.074
ˈɔ	w	0.057
