Bokmål Norwegian	Gothic	probability
ˈʏ	-	1.0
ˈʊ	w_ˈɔ	1.0
ˈʉ	ˈu	1.0
ˈɪ	ˈi	1.0
ˈɑː	ˈa	1.0
ˈœ	-	1.0
ˈøː_ɾ	ˈɔː_s	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈyː	ˈiu̯	1.0
ʈː	r_t	1.0
ɳ	r_n	1.0
ŋː	ŋ_ɡ	1.0
ç	-	1.0
tː	h_t	1.0
t	t	1.0
sː	ˈu_ŋ_k	1.0
s	s	1.0
pː	ˈiu̯_p	1.0
p	p	1.0
m	m	1.0
kː	k	1.0
kʰ	kʷ	1.0
k	k	1.0
i	a_x	1.0
h	h	1.0
f	f	1.0
b	b	1.0
l	l	0.908
ˈɑ	ˈa	0.896
ɾ	r	0.887
d	d	0.84
ɡ	ɡ	0.804
n	n	0.724
ˈæɪ̯	ˈɛː	0.693
ˈoː	ˈeː	0.67
ˈeː	-	0.63
ʋ	w	0.582
ˈuː	ˈoː	0.58
ˈɔ	ˈa	0.576
ˈiː	ˈiː	0.563
lː	l	0.543
ʂ	s_k	0.529
ˈʉː	ˈuː	0.5
ə	a	0.482
ˈøː	ˈɔː	0.479
ʂ	s	0.471
ˈiː	ˈi	0.437
ˈɔ	ˈi	0.424
ˈuː	ˈɔ	0.42
j	h	0.408
ˈeː	j_a	0.37
nː	n_d	0.333
ˈoː	-	0.33
ˈɛ	ˈi	0.313
ˈæɪ̯	ˈi_ɡ	0.307
ˈɛ	ˈa	0.297
ˈøː	-	0.295
ʋ	-	0.293
ˈʉː	ˈu	0.291
nː	n	0.264
j	ˈɛ	0.255
ə	-	0.236
ˈɛ	ˈɛː	0.218
nː	nː	0.215
ˈʉː	ˈi	0.209
n	n_s	0.206
ə	oː	0.2
ɡ	ɡʷː	0.196
j	ɡ	0.193
nː	n_θ	0.187
lː	l_θ	0.175
ˈɛ	ˈɛ	0.172
lː	lː	0.17
d	θ	0.16
j	-	0.144
ˈøː	ˈɛː_w	0.113
ˈøː	ˈɔ_θ	0.113
ɾ	-	0.113
lː	l_d	0.112
ˈɑ	-	0.104
l	l_ˈa	0.092
ʋ	ʍ	0.077
n	-	0.07
