Portuguese	Gascon	probability
b	b	1.0
f	h	1.0
ĩ	i	1.0
j̃	ŋ	1.0
k	k	1.0
w̃	ŋ	1.0
z	z	1.0
ʎ	ʎ	1.0
ˈẽ	ˈe	1.0
ˈĩ	ˈi	1.0
ˈũ	ˈy	1.0
ˈɛ	ˈɛ	1.0
i	i	0.071
j	-	0.211
m	m_j	0.071
s	-	0.071
ɨ	i	0.081
ɾ	<#_a	0.11
ʃ	p_l	0.061
ʒ	-	0.401
ˈo	ˈy	0.071
ˈo	w_ˈe	0.211
ˈo	ˈu	0.211
ˈɐ	ˈe	0.531
l	l	0.612
n	n	0.932
p	-	0.082
ð	-	0.062
ɨ	-	0.302
ˈe	ˈe	0.912
ˈo	ˈɔ	0.232
β	β	0.972
d	d	0.983
j	j	0.513
m	m	0.813
t	n_t	0.163
v	w	0.153
ɐ	a	0.193
ɣ	k	0.263
ʁ	-	0.183
ˈi	ˈi	0.973
ˈɐ̃	ˈa_ŋ	0.113
ˈɔ	ˈu	0.213
l	ɾ	0.074
u	e	0.184
v	β	0.34
ð	t	0.374
ð	ð	0.564
ɣ	ɣ	0.64
ɫ	w	0.874
ɲ	ɲ	0.944
ˈa	-	0.054
j	e	0.215
m	nː	0.055
u	w	0.125
u	-	0.585
w	w	0.725
ɡ	k	0.055
ɡ	ɡ	0.945
ˈõ	ˈu_ŋ	0.425
ˈu	ˈu	0.255
ˈu	ˈy	0.745
ˈɐ	ˈa	0.295
ˈɐ̃	ˈa	0.775
m	-	0.06
t	t	0.56
u	u	0.106
w	-	0.226
ɨ	e	0.586
ɫ	-	0.126
ɲ	n	0.056
ˈa	ˈa	0.946
ˈo	ˈu_n	0.126
t	-	0.277
ɐ	-	0.147
ɣ	-	0.097
ʁ	r	0.817
ˈõ	ˈu	0.297
ˈɐ	ˈɛ	0.137
ˈɔ	ˈɔ	0.617
n	-	0.068
p	p	0.918
v	b	0.508
ʃ	ʦ	0.178
ʃ	s	0.628
ˈe	ˈi	0.088
ˈõ	-	0.278
i	e	0.929
l	-	0.299
s	s	0.929
ɐ	ɔ	0.659
ɾ	r	0.129
ɾ	-	0.289
ɾ	ɾ	0.449
ʒ	ʒ	0.599
ˈo	ˈa	0.149
ˈɐ̃	ˈu	0.079
ˈɔ	ˈa	0.169
