Macedonian	Slovak	probability
ˈɛ_ɫ	ˈɛ_ɫ	1.0
ˈɛ_s	ˈɛ_s	1.0
ˈo_ɫ	ˈɫ̩	1.0
ˈi	ˈi	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ɡ	ɦ	1.0
z	z	1.0
v	ʋ	1.0
u_m	ɛ_m	1.0
t	t	1.0
s_t	s_t	1.0
s_#>	s_#>	1.0
s	s	1.0
r_#>	r_#>	1.0
r	r	1.0
p_#>	p_#>	1.0
p	p	1.0
o_#>	ɔ_#>	1.0
o	ɔ	1.0
n_#>	ɲ_#>	1.0
n	n	1.0
l_ɛ	l_ɛ	1.0
k	k	1.0
i	i	1.0
f_#>	ʋ_#>	1.0
b	b	1.0
a_#>	a_#>	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ʒ	<#_ʒ	1.0
<#_ɡ	<#_ɦ	1.0
<#_z	<#_z	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_p	<#_p	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_b	<#_b	1.0
ˈo	ˈɔ	0.833
ˈa	ˈa	0.812
#>	iː_#>	0.789
ˈr̩	ˈr̩	0.75
d	d	0.667
<#_d	<#_d	0.667
ɛ_#>	c_#>	0.625
k_#>	k_#>	0.625
<#_v	<#_ʋ	0.625
<#_t	<#_c	0.625
ɫ	ɫ	0.615
ɛ	ɛ	0.6
l	ʎ	0.6
<#_n	<#_n	0.6
<#	<#_x	0.6
ˈu	ˈuː	0.5
ˈu	ˈu	0.5
ɫ_#>	ʎ_#>	0.5
ɫ_#>	ɫ_#>	0.5
t_#>	t_#>	0.5
t_#>	c_#>	0.5
f	x	0.5
f	v	0.5
ˈɛ	ˈɛ	0.417
l	l	0.4
<#_n	<#_ɲ	0.4
<#	<#_j	0.4
ˈɛ	ɪ̯ˈɛ	0.375
ɛ_#>	ɛ_#>	0.375
k_#>	x_#>	0.375
<#_v	<#_v	0.375
<#_t	<#_t	0.375
d	ɟ	0.333
<#_d	<#_ɟ	0.333
ˈr̩	r	0.25
ɫ	l	0.231
#>	i_#>	0.211
ɛ	ɔ	0.2
ɛ	a	0.2
ˈa	ˈu	0.188
ˈo	ʊ̯ˈɔ	0.167
ɫ	d_ɫ	0.154
ˈɛ	ˈa	0.125
ˈɛ	ˈæ	0.083
