Scots	North Frisian	probability
ˈʌu̯	ˈɔu̯	1.0
ˈʌ	ˈʊ	1.0
ˈɪ_ŋ	ˈai̯_ŋ	1.0
ˈɪ_t	ˈa_t	1.0
ˈɛ_s	ˈɒː_s	1.0
ˈɛ_l	ˈeː_l	1.0
ˈɑː_n	ˈœ_nʲ	1.0
ˈø_d	ˈœ_dʲ	1.0
ˈuː_#>	ˈyː_#>	1.0
ˈo_r	ˈɔ_r	1.0
ˈo	ˈɔː	1.0
ˈiː_#>	ˈiː_ə_n_#>	1.0
ˈi_t	ˈɛ_tʲ	1.0
ˈeː_r	ˈa_r	1.0
ˈe_n	ˈiː_nʲ	1.0
ˈe_d	ˈyː_dʲ	1.0
ˈe	ˈiː	1.0
ʃ_#>	ʃ_#>	1.0
ə	ə	1.0
ŋ_#>	ŋ_#>	1.0
ð	ˈɛː_d	1.0
ç_t	x_t	1.0
z	z	1.0
v_ə	v_ə	1.0
v	ə	1.0
s_t	s_t	1.0
s_#>	s_#>	1.0
s	ʃ	1.0
r_ˈɪ	r	1.0
r_#>	r_#>	1.0
n_ə	n_ə	1.0
n	n	1.0
k_#>	k_#>	1.0
i_#>	i_#>	1.0
<#_θ	<#_t	1.0
<#_ˈʌ	<#	1.0
<#_ˈɛ	<#	1.0
<#_ˈiː	<#_ˈuː	1.0
<#_ˈe	<#_ˈɒː	1.0
<#_ʍ	<#_v	1.0
<#_ʃ	<#_ʃ	1.0
<#_ɡ	<#_ɡ	1.0
<#_w	<#_v	1.0
<#_tʰ	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_pʰ	<#_p	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_kʰ	<#_k	1.0
<#_j	<#_j	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
r	r	0.939
t_#>	t_#>	0.889
n_#>	n_#>	0.88
<#_l	<#_l	0.846
l	l	0.833
w	v	0.7
ˈiː	ˈiː	0.692
ˈəi̯	ˈi	0.667
k	k_ə	0.667
p_#>	p_#>	0.625
l_#>	l_#>	0.625
θ_#>	s_#>	0.6
ˈeː	ə	0.6
d_#>	#>	0.593
m_#>	m_#>	0.583
f_#>	f_#>	0.571
ˈu	ˈyː	0.545
ˈɪ_ç	ˈɒ_x	0.5
ˈɪ_ç	ˈa_x	0.5
ˈø	ˈɔu̯	0.5
ˈø	ˈœ	0.5
t	t	0.471
ˈɛ	-	0.429
f_#>	ə_v_#>	0.429
m_#>	m_ə_#>	0.417
d_#>	d_#>	0.407
θ_#>	d_#>	0.4
ˈeː	ˈɔː	0.4
p_#>	p_ə_#>	0.375
l_#>	ə_l_#>	0.375
ˈəi̯	ˈyː	0.333
k	k	0.333
ˈi	ˈɛi̯	0.316
ˈi	ˈiː	0.316
w	ˈuː	0.3
t	tʲ	0.294
ˈɛ	ˈɒ	0.286
ˈɛ	ˈi	0.286
ˈu	ˈøː	0.273
ˈa	ˈeː	0.273
ˈɑː	ˈɒ_l	0.25
ˈɑː	ˈɒ	0.25
ˈɑː	ˈuː_l	0.25
ˈɑː	ˈiː	0.25
ˈɪ	ˈa	0.222
ˈɪ	ˈʊ	0.185
ˈɪ	ˈœ	0.185
ˈɪ	ˈi	0.185
ˈu	ˈøː_j	0.182
ˈa	ˈɔː	0.182
ˈa	ˈɒː	0.182
ˈa	ˈɒ	0.182
ˈa	-	0.182
l	lʲ	0.167
ˈi	ˈuː	0.158
ˈiː	ˈuː	0.154
ˈiː	ˈeː	0.154
<#_l	<#_j	0.154
ˈɪ	ˈaː	0.148
n_#>	n_ə_#>	0.12
t	z	0.118
t	d	0.118
t_#>	#>	0.111
ˈi	ˈɛ	0.105
ˈi	ˈeː	0.105
ˈɪ	ˈeː	0.074
r	r_t	0.061
