Latvian	Standard Croatian	probability
ʧ	-	1.0
ʣ	ʒ	1.0
ʃ	-	1.0
ɡ	ɡ	1.0
ɛː	j_e	1.0
æː	eː_̂	1.0
z̥	z	1.0
z	z	1.0
w	-	1.0
v_i	ʋ	1.0
v	ʋ	1.0
uː	i_̂	1.0
u	a	1.0
r̩_s	a_r	1.0
r_t	r̩ː	1.0
r_s	r	1.0
r	r	1.0
n_s	ɲ	1.0
l̩	l_o	1.0
k_t	ʨ	1.0
j	t_a	1.0
iː	iː	1.0
i_r	r̩_̂	1.0
i_l	u	1.0
e	s_eː	1.0
d̥	d	1.0
d_u	d	1.0
d	d	1.0
b̥	-	1.0
b	b	1.0
au̯	uː	1.0
ai̯	eː_̌	1.0
m	m	0.837
i	-	0.765
iɛ̯	-	0.648
n	n	0.645
k	k	0.613
aː	a_̂	0.6
æ	-	0.541
ɛ	e_̌	0.537
t	t	0.536
p	-	0.514
l	l	0.495
p	p	0.486
s	s	0.471
a	-	0.47
ɛ	e	0.463
aː	oː	0.4
a	o_̂	0.389
l	uː_̂	0.387
uɔ̯	uː_̌	0.366
n	-	0.355
iɛ̯	eː	0.352
t	t_i	0.305
æ	e	0.265
uɔ̯	-	0.255
i	a	0.235
k	-	0.234
æ	eː	0.194
uɔ̯	u_̂	0.189
uɔ̯	j	0.189
s	k	0.186
m	-	0.163
t	-	0.159
k	a	0.153
s	-	0.15
a	o	0.142
s	o	0.136
l	ʎ	0.118
s	a	0.056
