East Frisian Low Saxon	Dutch	probability
χ	χ	1.0
ˈʏə̯	ˈʏ	1.0
ˈʊə̯	ˈɔ	1.0
ˈʊ	ˈɔ	1.0
ˈɪə̯	ˈɪ	1.0
ˈɛə̯	ˈɛ	1.0
ˈɛ	ˈɛ	1.0
ˈɔː	ˈaː	1.0
ˈɔ_l	ˈɑu̯	1.0
ˈɔ	ˈɔ	1.0
ˈɒːɒ̯	ˈaː	1.0
ˈɒː	ˈaː	1.0
ˈɑːʊ̯	ˈɑu̯	1.0
ˈɑːɑ̯	ˈɑ	1.0
ˈɑʊ̯	ˈu	1.0
ˈœːy̯	ˈu	1.0
ˈœy̯	ˈu	1.0
ˈøy̯	ˈu	1.0
ˈæː	ˈi	1.0
ˈyːʏ̯	ə_ɫ	1.0
ˈyː	ˈœy̯	1.0
ˈuːu̯	ˈœy̯	1.0
ˈuː	ˈœy̯	1.0
ˈoː	ˈoː	1.0
ˈiːi̯	ˈɛi̯	1.0
ˈiː	ˈɛi̯	1.0
ˈeːe̯	ˈeː	1.0
ʊ	ˈu	1.0
ɫ	ɫ	1.0
ɣ̊	χ	1.0
ɡ̊	-	1.0
ɡ_r	χ_ɾ	1.0
ə	-	1.0
ɑɪ̯	i	1.0
ɐ_t	ɾ_t	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
w	ʋ	1.0
v̥	v̥	1.0
r	ɾ	1.0
o	-	1.0
n_t	n_t	1.0
k_ˈɪ	χ_ˈɪ	1.0
j	j	1.0
h	ɦ	1.0
f	v	1.0
d̥	d̥	1.0
b	b	1.0
l	ɫ	0.965
d	d	0.963
m	m	0.943
ˈɑ	ˈɑ	0.937
ˈɪ	ˈɪ	0.891
z	z	0.83
n	n	0.807
v	ʋ	0.782
s	s	0.748
t	t	0.746
ˈøː	ˈoː	0.729
ˈɛːɪ̯	-	0.714
ˈeː	ˈeː	0.7
k	k	0.69
ˈɑː	ˈɑ	0.667
ˈøːø̯	ˈoː	0.667
ɡ	χ_ə	0.653
ɐ	ɾ	0.649
p	p	0.617
ˈæɪ̯	ˈeː	0.606
ˈæːɪ̯	-	0.593
ˈœ	ˈoː	0.56
s_k	s_χ	0.503
s_k	s	0.497
ˈœ	ˈɔ	0.44
ˈæːɪ̯	ˈi	0.407
ˈʏ	ˈʏ	0.403
ˈæɪ̯	ˈi	0.394
p	p_ə	0.383
ɡ	χ	0.347
ˈɑː	ˈɛ	0.333
ˈøːø̯	ˈøː	0.333
ˈeː	-	0.3
ˈʏ	ˈɛ	0.299
ˈʏ	-	0.299
ˈɛːɪ̯	w	0.286
k	k_ə	0.279
ˈøː	-	0.271
t	t_ə	0.254
v	v_ə	0.218
ɐ	ə_ɾ	0.192
z	z_ə	0.17
s	z	0.136
s	z̥	0.115
ɐ	ɾ_ə	0.111
ˈɪ	-	0.109
n	n_d	0.097
n	ə_n	0.077
ˈɑ	-	0.063
m	ə_n	0.057
