West Flemish	Scots	probability
b	b	1.0
d	d	0.532
d	θ	0.26
d	ð	0.146
d	-	0.057
f	f	0.77
f	-	0.229
h	-	0.497
h	x	0.486
j	j	0.594
j	ˈe	0.392
k	k	0.477
k	kʰ	0.333
k	-	0.108
k	ʧ	0.059
l	l	0.967
l	-	0.038
l_ə	ɫ	1.0
m	m	1.0
n	n	0.678
n	-	0.3
n_t	θ	0.242
p	p	0.803
p	pʰ	0.194
s	s	0.753
s	ʃ	0.132
s	k_s	0.068
s	z	0.047
t	t	0.466
t	d	0.297
t	tʰ	0.126
t	θ	0.071
t	l_d	0.039
t_n	t	1.0
v	f	0.8
v	v	0.14
v	-	0.055
w	ˈɑː	0.644
w	ˈʌʉ̯	0.128
w	l	0.072
z	s	0.936
z	z	0.064
ç	-	0.492
ŋ	ŋ	1.0
ə	-	0.827
ə	ə	0.115
ə	i	0.033
ə	əi̯	0.031
ɦ	ɡ	0.547
ɦ	-	0.33
ɦ	h	0.06
ɦ	j	0.06
ɦ_n	n	1.0
ɪ	ˈɪ	1.0
ɾ	r	0.929
ɾ	-	0.07
ʃ	ʃ	1.0
ʋ	w	0.797
ʋ	ʍ	0.133
ʋ	ˈʉ	0.06
ˈeː	ˈɛ	0.403
ˈeː	ˈei̯	0.186
ˈeː	ˈe	0.186
ˈeː	ˈəi̯	0.107
ˈeː	ˈɪ	0.107
ˈi	ˈəi̯	0.608
ˈi	ˈiː	0.139
ˈi	ˈɛ	0.139
ˈi	ˈɪ	0.101
ˈiə̯	ˈiː	0.378
ˈiə̯	ˈɛ	0.186
ˈiə̯	ˈei̯	0.091
ˈiə̯	ˈe	0.091
ˈiə̯	j	0.069
ˈoː	ˈei̯	0.368
ˈoː	ˈɔ	0.26
ˈoː	ˈiː	0.159
ˈoː	ˈe	0.082
ˈoː	-	0.054
ˈu	ˈɑː	0.367
ˈu	ˈʉ	0.312
ˈu	ˈɔ	0.111
ˈu	ˈʌʉ̯	0.072
ˈu	ˈʌ	0.07
ˈuə̯	ˈø	0.383
ˈuə̯	ˈɪ	0.308
ˈuə̯	ˈiː	0.139
ˈuə̯	ˈi	0.092
ˈuə̯	ˈʉ	0.07
ˈyː	ˈʉ	0.787
ˈyː	ˈəi̯	0.206
ˈæ	ˈɛ	0.447
ˈæ	ˈɪ	0.257
ˈæ	ˈəi̯	0.136
ˈæ	ˈi	0.071
ˈæ	ə	0.039
ˈøː	ˈɔ	0.644
ˈøː	ˈʉ	0.24
ˈœ	ˈɪ	0.46
ˈœ	ˈʉ	0.122
ˈœ	ˈɔ	0.122
ˈœ	ˈaːɪ̯	0.122
ˈœ	ˈʌ	0.083
ˈɑ	ˈɑː	0.256
ˈɑ	ˈɑ	0.23
ˈɑ	ˈɪ	0.174
ˈɑ	ˈɛ	0.129
ˈɑ	ˈe	0.098
ˈɑ_n	ˈø	0.492
ˈɒː	ˈe	0.418
ˈɒː	ˈiː	0.166
ˈɒː	ˈɛ	0.153
ˈɒː	ˈø	0.088
ˈɒː	ˈɑ	0.088
ˈɔ	ˈɔ	0.623
ˈɔ	-	0.226
ˈɔ	ˈa	0.127
ˈɛ	ˈɪ	0.391
ˈɛ	ˈɑ	0.202
ˈɛ	ˈeː	0.153
ˈɛ	ˈɛ	0.153
ˈɛ	ˈəi̯	0.076
ˈɛː	ˈe	0.554
ˈɛː	-	0.099
ˈɛː	ˈɑː	0.099
ˈɛː	ˈiː	0.099
ˈɛː	j	0.099
ˈɪ	ˈɪ	0.725
ˈɪ	-	0.151
ˈɪ	ˈəi̯	0.082
