Ladin	Ladin	probability
ˈo_w	ˈu	1.0
ˈo_s	w_t	1.0
ˈe_#>	ˈa_#>	1.0
ˈa_t	ˈa	1.0
ʨ_#>	s_#>	1.0
ʧ	s	1.0
ʥ	ʤ	1.0
ʒ_ɡ	v	1.0
ʃ_ʨ	ʧ	1.0
ʃ	s	1.0
ɲ	ɲ	1.0
ŋ	ŋ	1.0
w_ˈɛ	ˈœ	1.0
w_r_#>	#>	1.0
u	-	1.0
t_a	d_ɔ	1.0
t_#>	#>	1.0
s_t	t	1.0
r_t	ˈɔ_ʀ	1.0
p_ˈe	pʲ	1.0
n_t	ŋ	1.0
m_#>	#>	1.0
l_b	w_b	1.0
l_#>	l_#>	1.0
k_#>	k_#>	1.0
j_ˈɛ	ˈe	1.0
j_#>	ə_#>	1.0
f_#>	w_#>	1.0
e_r	ʀ_ə	1.0
d_l_#>	ʎ_#>	1.0
b	b	1.0
a_r	ɒ_ʀ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʥ	<#_ʧ	1.0
<#_ʃ	<#_ɪ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#	1.0
p	p	0.931
m	m	0.926
r	ʀ	0.875
k	k	0.87
s	s	0.867
f	f	0.85
ɡ	ɡ	0.818
n_#>	ŋ_#>	0.789
ˈe_j	ˈɪ	0.778
l	l	0.778
t	t	0.765
a	ɔ	0.739
d	d	0.714
ʨ	ʧ	0.684
ʃ_#>	s_#>	0.625
ˈi	ˈi	0.6
ʒ	ʤ	0.6
o	u	0.6
ʦ	s	0.571
w	w	0.562
n	n	0.56
ˈa	ˈa	0.528
ˈu	ˈy	0.5
ˈu	-	0.5
ˈo	ˈu	0.5
i	-	0.5
#>	ə_#>	0.483
ˈɔ	w_ˈɔ	0.45
ˈɔ	w	0.45
e	ə	0.448
v	v	0.435
ʦ	-	0.429
ʒ	-	0.4
#>	ɔ_#>	0.379
ʃ_#>	#>	0.375
ˈɛ	ˈe	0.357
ˈe	ˈɪ	0.333
ˈa	ˈã	0.333
i	i	0.333
n	ŋ	0.32
v	vʲ	0.261
ˈi	ˈĩ	0.25
ˈo	w	0.227
ˈe_j	ˈe	0.222
l	ʎ	0.222
ʨ	s	0.211
n_#>	#>	0.211
o	ˈu	0.2
o	-	0.2
j	ʤ	0.19
j	-	0.19
w	ˈa	0.188
ɡ	-	0.182
d	-	0.179
e	-	0.172
i	ĩ	0.167
ˈi	-	0.15
f	fʲ	0.15
a	ɒ	0.145
ˈɛ	ˈa	0.143
j	ʎ	0.143
j	ə	0.143
j	j	0.143
ˈo	ˈũ	0.136
ˈo	w_ˈɔ̃	0.136
v	b	0.13
k	ʧ	0.13
ˈɛ	ˈẽ	0.125
w	ˈœ	0.125
w	b	0.125
n	-	0.12
t	ʀ	0.118
t	-	0.118
ˈe	ʀ	0.111
ˈe	-	0.111
ˈɛ	ˈɔ	0.107
d	dʲ	0.107
ʨ	-	0.105
e	e	0.103
ˈɔ	-	0.1
j	ˈɪ	0.095
j	ˈe	0.095
v	w_ʀ	0.087
v	-	0.087
ˈa	ˈe_j	0.083
r	j_ʀ	0.075
ˈe	ˈɪ̃	0.074
ˈe	ˈe_j	0.074
ˈe	ˈe	0.074
ˈe	ˈa	0.074
ˈe	ə	0.074
ˈe	j	0.074
m	mʲ	0.074
p	-	0.069
e	ˈɪ_j	0.069
e	ʀ_ə	0.069
e	ɒ	0.069
e	j	0.069
#>	ŋ_#>	0.069
#>	w_#>	0.069
s	ɪ	0.067
s	-	0.067
ˈa	-	0.056
ˈɛ	ˈe_j	0.054
ˈɛ	w	0.054
ˈɛ	-	0.054
