Franco-Provençal	Franco-Provençal	probability
ˈɛː_#>	ˈe_#>	1.0
ˈy	ˈo_p	1.0
ˈe_#>	o_#>	1.0
ʦ	ʦː	1.0
ʎ_ə	ʎː_a	1.0
ʃ_ə	k_a	1.0
ʃ_i	kː_a	1.0
ʁ_o	r_o	1.0
ɲ	ɲː	1.0
ɡ	ɡ	1.0
ɛ̃	-	1.0
ɛ	e	1.0
ɔ̃	-	1.0
ɔ	o	1.0
ɑ̃	a_n	1.0
ɑː	a_s	1.0
y	r_u	1.0
w_ˈɛː	ˈo	1.0
w_ˈe	ˈɔ	1.0
u	-	1.0
p_l	p_j	1.0
p	p	1.0
m	m	1.0
k_ʁ	k_r	1.0
i	i	1.0
<#_ʁ	<#_r	1.0
<#_ð	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
a	a	0.944
n	n	0.9
f	f	0.885
k	k	0.85
b	b	0.85
ˈaː	ˈa	0.8
v	v	0.788
ð	r	0.778
o	o	0.773
e	s	0.75
d	d	0.75
ˈa	ˈa	0.7
ˈɛː	ˈe	0.667
ˈɑː	ˈa	0.667
ˈĩ	ˈi_n	0.667
ʃ	k	0.667
z	-	0.667
ˈɑ̃	ˈa_n	0.615
t	t	0.591
ˈɔ	ˈo	0.571
ˈoː	ˈɔ	0.571
ˈi	ˈi	0.571
ʒ	-	0.571
s	s	0.571
ʁ	r	0.569
ə	e	0.545
#>	o_#>	0.507
ˈɛ̃	ˈɛ_n	0.5
ˈø	ˈɔ	0.5
<#	<#_w	0.5
<#	<#_l	0.5
j	-	0.464
ˈɛ	ˈɛ	0.444
ˈɔ	w_ˈɔ	0.429
ʒ	ʤ	0.429
l	l	0.412
#>	e_#>	0.407
ˈu	ˈɔ	0.4
ˈu	ˈu	0.4
ˈɛ	ˈe	0.389
ˈɔ̃	ˈo_n	0.385
l	lː	0.382
ʎ	ʎː	0.364
ʎ	j	0.364
ˈɑː	ˈa_l	0.333
ˈo	ˈu	0.333
ˈĩ	n	0.333
ˈe	ˈɛ	0.333
z	ʧː	0.333
ˈø	ˈo	0.3
ˈoː	ˈa_l	0.286
ʎ	kː	0.273
ə	a	0.273
ˈo	ˈɔ	0.25
ˈo	ˈo	0.25
j	j	0.25
e	-	0.25
d	-	0.25
ˈɑ̃	ˈa	0.231
t	tː	0.227
ˈɛ̃	n	0.214
s	ʧ	0.214
v	p	0.212
w	ˈɔ	0.208
w	ˈu	0.208
w	-	0.208
ʁ	e_r	0.207
ˈø	-	0.2
ˈu	ˈu_t	0.2
ˈaː	ˈa_d	0.2
ˈa	ˈa_r	0.2
ˈi	ˈɛ	0.19
ˈɛː	ˈɛ	0.167
ˈɛː	ˈa	0.167
ˈɛ	-	0.167
ˈo	ˈo_j	0.167
ˈe	ˈi	0.167
ˈe	e	0.167
w	w	0.167
ˈɔ̃	ˈɔ_n	0.154
ˈɔ̃	ˈu_ŋ	0.154
ˈɔ̃	ˈo	0.154
ˈɔ̃	n	0.154
ˈɑ̃	ˈa_ŋ	0.154
k	k_ˈo	0.15
l	j	0.147
ˈɛ̃	ˈa_n	0.143
ˈɛ̃	ɲː	0.143
ˈoː	l	0.143
ˈi	ˈi_r	0.143
ʃ	ʧ_e	0.143
ˈe	ˈa	0.139
o	e	0.136
w	ˈo	0.125
s	-	0.119
ð	ʤ	0.111
ð	-	0.111
ʁ	-	0.103
ˈa	ˈɔ	0.1
n	-	0.1
b	-	0.1
ˈi	ˈe	0.095
ʃ	ʧ	0.095
ʃ	-	0.095
ə	i	0.091
ə	-	0.091
t	kː	0.091
t	-	0.091
o	k_o	0.091
ˈe	ˈe	0.083
w	ˈɔ_k	0.083
f	v_e	0.077
j	ˈɛ	0.071
j	ˈu	0.071
j	ˈa_r	0.071
j	ˈa	0.071
l	-	0.059
ˈe	ˈɛ_s	0.056
ˈe	j	0.056
a	-	0.056
ʁ	r_o	0.052
