Aragonese	Québécois French	probability
f	f	1.0
r	ʁ	1.0
u	-	1.0
ɲ	-	1.0
ʝ	-	1.0
ʧ	ʒ	1.0
a	e	0.281
a	-	0.321
i	-	0.581
ɡ	-	0.481
ˈa	a	0.11
ˈi	i	0.401
ˈo	u	0.11
ˈo	-	0.121
k	k	0.42
o	ɛ	0.082
o	ẽɪ̯̃	0.082
ɣ	ɡ	0.072
ˈa	oʊ̯	0.072
ˈu	-	0.182
θ	z	0.052
a	a	0.333
d	ʣ	0.43
k	ʃ	0.533
m	-	0.273
o	ɒ̃ʊ̯̃	0.163
p	p	0.93
t	t	0.713
w	ɥ	0.223
w	-	0.723
ʎ	l	0.283
ˈe	æɛ̯	0.123
ˈi	ɪ	0.393
ˈo	ɒ̃ʊ̯̃	0.283
β	b	0.063
β	v	0.623
e	ã	0.084
e	œ	0.374
e	-	0.394
l	-	0.144
n	n	0.614
o	øʏ̯	0.114
o	ɑɔ̯	0.204
w	j	0.054
ɡ	k	0.064
ɾ	-	0.194
ˈa	æɛ̯	0.404
ˈo	o	0.054
ˈu	ɥ	0.114
β	-	0.304
θ	-	0.184
θ	s	0.764
b	v	0.755
j	j	0.305
ŋ	-	0.495
ŋ	ẽɪ̯̃	0.505
ˈe	ã	0.235
l	l	0.856
n	-	0.386
o	ɔ	0.056
ɡ	ɡ	0.456
ɾ	ʁ	0.806
ˈu	y	0.356
b	b	0.167
m	m	0.727
p	-	0.07
s	-	0.27
s	s	0.687
t	-	0.287
ð	-	0.957
ʎ	-	0.717
ˈe	-	0.157
b	-	0.078
e	w	0.148
j	-	0.608
o	u	0.18
ɣ	-	0.928
ˈe	w_ɛ	0.138
ˈi	-	0.178
ˈo	aœ̯	0.298
d	d	0.559
i	i	0.419
o	j	0.059
o	e	0.059
ˈa	-	0.159
ˈa	ã	0.19
ˈe	ɛ	0.169
ˈe	i	0.179
ˈo	ʊ	0.089
ˈu	w	0.089
ˈu	ʏ	0.259
