Aromanian	Gascon	probability
e̯a	-	1.0
w	w	1.0
ç	h	1.0
ʧ	-	1.0
ˈə	ˈi	1.0
ˈɨ	ˈa	1.0
a	-	0.071
m	-	0.21
n	-	0.211
n	n	0.431
o̯ˈa	ˈu	0.31
s	s	0.931
v	w	0.131
ɲ	ɲ	0.31
ʃ	-	0.441
ʦ	t	0.101
ˈu	<#_a	0.061
ˈu	<#_e	0.131
j	-	0.122
r	β	0.062
t	-	0.212
ɡ	-	0.152
ʤ	-	0.2
ʦ	z	0.122
ʦ	s	0.322
ʦ	-	0.422
ˈe	ˈɛ	0.392
ˈo	w_ˈe	0.182
ˈu	ˈy	0.22
a	a	0.863
b	b	0.763
d	d	0.663
i	ˈa	0.113
i	-	0.223
l	t	0.203
l	l	0.613
m	m	0.763
n	ɲ	0.133
p	j	0.103
r	-	0.353
u	u	0.213
ŋ	ŋ	0.143
ə	-	0.243
ʎ	l	0.833
ˈa	ˈa	0.723
e̯ˈa	ˈɛ	0.134
j	b	0.634
k	k	0.764
l	-	0.184
r	l	0.054
u	e	0.344
ˈo	ˈɔ	0.674
i	e	0.325
n	ŋ	0.225
o̯ˈa	ˈɔ	0.245
o̯ˈa	w_ˈe	0.445
t	t	0.435
ɲ	-	0.055
ɲ	m	0.635
a	e	0.066
d	-	0.256
j	ɔ	0.216
p	-	0.236
r	r	0.196
t	ð	0.146
t	w_t	0.206
ʣ	d	0.306
ˈi	-	0.206
ˈi	ˈi	0.366
ˈo	ˈu	0.056
b	β	0.237
r	ɾ	0.277
u	-	0.427
ŋ	-	0.857
ə	ɔ	0.597
ʎ	ʎ	0.167
ʣ	ʒ	0.297
ʣ	-	0.397
ˈa	ˈɛ	0.277
e̯ˈa	ˈe	0.818
f	h	0.958
k	-	0.068
ʤ	ʒ	0.8
ˈe	ˈe	0.608
ˈi	ˈe	0.428
ˈo	-	0.088
i	ɔ	0.179
k	p	0.129
p	p	0.639
r	d_ɾ	0.059
s	ʃ	0.069
v	b	0.869
ə	a	0.129
ɡ	ɣ	0.089
ɡ	ɡ	0.759
ʃ	s	0.559
ˈu	ˈu	0.559
