Aragonese	Aragonese	probability
θ_#>	ʃ_#>	1.0
ˈe_ʎ	ˈɛː	1.0
ˈe_r	ˈɛː_r	1.0
ˈe_n	n_t	1.0
ʎ_a	l_ə	1.0
ɾ_a	r_ə	1.0
ɣ_o	w	1.0
ð_o	t	1.0
z	n_s	1.0
w_#>	f_#>	1.0
t_ɾ	t_ə	1.0
t_o	ʨ	1.0
s_ˈa	s	1.0
o_ɾ	u_r	1.0
o_s_#>	#>	1.0
o_#>	#>	1.0
m_b	m	1.0
m	m	1.0
l	l	1.0
j_ˈe	ˈɛ	1.0
j_t	ʨ	1.0
f	f	1.0
e_s	ʃ	1.0
e_#>	#>	1.0
d_o	t	1.0
d	d	1.0
a_#>	#>	1.0
<#_θ	<#_ʧ	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#	1.0
<#	<#_ʥ	1.0
#>	f_#>	1.0
n	n	0.935
p	p	0.931
a	ə	0.873
ʎ	ʎ	0.857
<#_l	<#_l	0.818
ɾ	r	0.803
s	s	0.8
t	t	0.783
ð	d	0.75
ŋ	ŋ	0.714
β	v	0.706
w	-	0.667
ɲ	ɲ	0.625
ˈe_ɾ	ə_r	0.6
ʧ	ʥ	0.6
u	-	0.6
j_#>	ʨ_#>	0.6
ʝ	-	0.571
b	v	0.567
k	ʨ	0.556
ɡ	ɡ	0.545
ʃ	ʃ	0.5
ʃ	s	0.5
<#_w	<#_ˈɔ	0.5
<#_w	<#	0.5
ˈi	ˈiː	0.483
ˈo	ˈu	0.481
ɡ	-	0.455
e	ə	0.45
ɣ	-	0.444
k	k	0.444
θ	ʃ	0.429
ʝ	ˈa	0.429
i	-	0.429
ˈu	ˈu	0.4
ˈe_ɾ	r	0.4
ʧ	ʃ	0.4
u	ˈu	0.4
j_#>	#>	0.4
ˈa	ˈaː	0.396
j	-	0.385
ɲ	-	0.375
b	b	0.367
o	-	0.357
ˈi	ˈi	0.345
ɣ	ɡ	0.333
w	j	0.333
w_ˈe	ˈɔː	0.312
w_ˈe	ˈɔ	0.312
ˈa	ˈa	0.302
e	-	0.3
β	-	0.294
θ	ʧ	0.286
θ	s	0.286
ŋ	-	0.286
i	ə	0.286
i	e	0.286
ˈu	ˈiː	0.25
ˈu	ˈi	0.25
ð	t	0.25
w_ˈe	ˈu	0.25
ˈo	ˈuː	0.222
ɣ	j	0.222
t	-	0.217
o	u	0.214
ˈe	ˈɛ	0.196
<#_l	<#_ʎ	0.182
ˈe	ˈa_j	0.176
ˈi	-	0.172
ˈe	ˈe	0.157
ˈe	-	0.157
j	ˈiə̯	0.154
ˈa	ˈɔ	0.151
ˈa	ˈa_w	0.151
e	i	0.15
ʎ	l	0.143
o	r	0.143
o	o	0.143
o	n	0.143
ɾ	-	0.127
w_ˈe	ˈuː	0.125
ˈe	ˈeː	0.118
j	ˈɛ	0.115
j	ˈa	0.115
j	ʥ	0.115
j	j	0.115
ˈo	ˈa_w	0.111
ˈo	w	0.111
ˈu	-	0.1
s	ʃ	0.1
s	-	0.1
e	e	0.1
ˈe	j	0.098
ˈo	ˈɔː	0.074
a	-	0.07
p	-	0.069
b	-	0.067
n	-	0.065
ˈe	ˈa	0.059
