East Low German	Nynorsk Norwegian	probability
ae̯	e	1.0
b	b	0.871
b	tʰ	0.069
b	-	0.06
d	d	0.472
d	tʰ	0.311
d	-	0.159
d	ɕ	0.057
f	f	0.687
f	ʋ	0.175
f	-	0.138
h	h	0.86
h	j	0.14
j	j	0.578
j	ɡ	0.301
j	-	0.12
k	k	0.668
k	ɡ	0.101
k	ʰkː	0.101
k	ɡː	0.068
kʰ	kʰ	0.712
kʰ	ɕ	0.288
l	l	0.775
l	lː	0.149
l	j	0.066
m	m	0.865
m	mː	0.057
m	ʋ	0.053
n	n	0.436
n	ɑ	0.208
n	nː	0.185
n	-	0.157
p	p	0.891
p	ʰpː	0.109
r	ɾ	0.993
s	s	0.926
t	t	0.602
t	-	0.141
t	ʰtː	0.115
t	tː	0.062
tʰ	tʰ	0.957
v	ʋ	0.523
v	-	0.221
v	kʰ_ʋ	0.176
v	v	0.08
w	ʋ	0.823
w	ˈʏ	0.177
x	ɡ	0.639
x	ʰtː	0.353
z	s	0.723
z	ʃ	0.277
æ	ɾ	0.756
æ	-	0.08
æ	e_ɾ	0.066
æ	ə	0.058
ç	ɡ	0.359
ç	ɡː	0.237
ç	ɕ	0.162
ç	s	0.107
ç	ʰtː	0.077
ç	-	0.058
ŋ	ŋː	0.535
ŋ	ɡ	0.235
ŋ	jː	0.091
ŋ	ɑ	0.091
ɡ	ɡ	0.573
ɡ	j	0.218
ɡ	jː	0.209
ɣ	-	1.0
ɪ	-	0.38
ɪ	ɑ	0.38
ɪ	ŋ	0.239
ɾ	-	0.751
ɾ	ˈøː	0.137
ɾ	ˈeː	0.067
ʃ	s	0.724
ʃ	ʃ	0.276
ˈa	ˈɑ	0.741
ˈa	ˈɑː	0.163
ˈae̯	ˈæɪ̯	0.343
ˈae̯	ˈʉː	0.177
ˈae̯	ˈiː	0.116
ˈae̯	ˈyː	0.116
ˈae̯	ˈeː	0.082
ˈae̯	ˈoː	0.08
ˈaɪ̯	ˈyː	0.5
ˈaɪ̯	ˈæː	0.5
ˈaʊ̯	ˈuː	0.512
ˈaʊ̯	ˈæʉ̯	0.223
ˈaʊ̯	ˈeː	0.1
ˈaʊ̯	ˈoː	0.064
ˈaː	ˈɑ	0.466
ˈaː	ˈɑː	0.349
ˈaː	ˈæ	0.185
ˈeː	ˈoː	0.742
ˈeː	ˈøː	0.258
ˈiː	ˈiː	0.598
ˈiː	ˈeː	0.14
ˈiː	ˈyː	0.099
ˈiː	ˈɛ	0.085
ˈiː	ˈʏ	0.051
ˈoː	ˈoː	0.438
ˈoː	ˈæʉ̯	0.183
ˈoː	ˈɑ	0.158
ˈoː	ˈɔ	0.158
ˈoː	ˈœ	0.062
ˈuː	ˈʉː	0.498
ˈuː	ˈuː	0.116
ˈuː	ˈɔ	0.114
ˈuː	ˈʊ	0.11
ˈuː	ˈʉ	0.073
ˈuː	ˈʏ	0.063
ˈyː	ˈyː	0.393
ˈyː	ˈʉ	0.231
ˈyː	ˈœʏ̯	0.226
ˈyː	ˈʏ	0.112
ˈøː	ˈʊ	1.0
ˈœ	ˈœ	0.481
ˈœ	ˈɔ	0.263
ˈœ	ˈɛ	0.156
ˈœ	ˈoː	0.1
ˈœː	ˈʉ	0.299
ˈœː	ˈɔ	0.278
ˈœː	ˈʉː	0.266
ˈœː	ˈœ	0.079
ˈœː	ˈoː	0.078
ˈɒː	ˈoː	0.648
ˈɒː	ˈɑ	0.12
ˈɒː	ˈɔ	0.111
ˈɒː	ˈɑː	0.099
ˈɔ	ˈʊ	0.358
ˈɔ	ˈʏ	0.159
ˈɔ	ˈɑ	0.146
ˈɔ	ˈɔ	0.146
ˈɔ	ˈʉː	0.099
ˈɔ	ˈʉ	0.092
ˈɔʏ̯	ˈøː	0.65
ˈɔʏ̯	ˈœʏ̯	0.21
ˈɔʏ̯	-	0.14
ˈɛ	ˈɛ	0.481
ˈɛ	j	0.243
ˈɛ	-	0.088
ˈɛ	ˈʉː	0.069
ˈɛ	ˈøː	0.061
ˈɛː	ˈeː	0.67
ˈɛː	ˈiː	0.095
ˈɛː	ˈæː	0.092
ˈɛː	ˈɑ	0.08
ˈɛː	ˈɑː	0.063
ˈɪ	ˈɪ	0.531
ˈɪ	ˈɛ	0.139
ˈɪ	-	0.086
ˈɪ	ˈiː	0.08
ˈʊ	ˈʉ	0.817
ˈʊ	ˈɔ	0.116
ˈʏ	ˈʏ	0.725
ˈʏ	ˈɛ	0.124
ˈʏ	ˈʉ	0.091
ˈʏ	ˈœ	0.06
