Friulian	Friulian	probability
ˈɛ_l	l_ʊ	1.0
ˈɔː	w	1.0
ˈɔ	ˈo	1.0
ˈi_l	ˈi_l	1.0
ˈa_r	ɾ	1.0
ˈa_n_e_#>	ˈa_#>	1.0
ʤ	ʃ	1.0
ɡ_a	ɑ	1.0
ɟ	-	1.0
z_v	v	1.0
z_e	s_ɐ	1.0
w_ˈɛ	ˈɔ	1.0
w_ˈi	ˈo	1.0
w_ˈa	ˈɔ	1.0
s_#>	θ_#>	1.0
r_t	ɾ_t	1.0
r_e	ɾ_ɐ	1.0
p_l	ʧ	1.0
p	p	1.0
m	m	1.0
l_t	w_t	1.0
l_i	ɟ_ʊ	1.0
k_w	k	1.0
k_l	ʧ	1.0
k_#>	k_ʊ_#>	1.0
j_ˈɛ	ˈɛ	1.0
f_l	ʧ	1.0
d_ˈi	d_ˈe	1.0
c	k	1.0
a_d	a_ð	1.0
<#_ʧ	<#_θ	1.0
<#_ʤ	<#_ʃ	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_l	1.0
<#	<#_a	1.0
o	o	0.833
k	k	0.826
r	ɾ	0.796
ʧ	θ	0.778
e	ɐ	0.775
ˈe	ˈe	0.773
f	f	0.769
b	b	0.765
ɲ	ɲ	0.75
<#_ˈa	<#_ˈa	0.75
v	b	0.724
ˈi	ˈi	0.704
ˈa	ˈa	0.674
ŋ	ŋ	0.667
t	t	0.667
n	n	0.632
ˈu	ˈu	0.588
a	a	0.588
ˈo	ˈo	0.581
#>	ʊ_#>	0.567
ɡ	ɡ	0.538
l	l	0.531
s	s	0.514
ˈuː	ˈɔ	0.5
ˈuː	ˈu	0.5
ˈoː	ˈo	0.5
z	θ	0.5
z	-	0.5
d	d	0.481
ˈaː	ˈa_ɾ	0.462
ɡ	ɣ	0.462
w	w	0.438
ˈeː	ˈe	0.429
j	-	0.417
a	-	0.412
ˈaː	ˈa	0.385
u	u	0.375
u	-	0.375
ˈiː	ˈɛ	0.364
ˈɛ	ˈe	0.357
#>	ɪ_#>	0.351
ˈu	ˈo	0.294
ˈɛ	ˈɛ	0.286
ˈeː	ˈe_ɾ	0.286
ˈeː	-	0.286
v	β	0.276
ˈiː	ˈi_ɾ	0.273
d	ð	0.259
ˈoː	ˈu	0.25
ˈoː	-	0.25
ɲ	n	0.25
w	ˈo	0.25
u	o	0.25
l	-	0.25
j	ʃ	0.25
<#_ˈa	<#_ˈo	0.25
b	β	0.235
f	β	0.231
ʧ	-	0.222
t	ð	0.216
s	e_s	0.216
ˈɛ	-	0.214
i	ˈe_ɾ	0.212
n	-	0.211
ˈa	ˈɑ	0.196
w	ˈɔ	0.188
ˈi	ˈe	0.185
d	-	0.185
ˈiː	ˈi	0.182
ˈiː	ɾ	0.182
i	i	0.182
o	-	0.167
j	j	0.167
j	e	0.167
ˈo	ˈɔ	0.161
ˈo	-	0.161
ˈaː	ɾ	0.154
ŋ	ɲ	0.148
ˈɛ	ˈe_j	0.143
ˈe	-	0.136
w	-	0.125
l	ʊ	0.125
i	ʊ	0.121
i	e	0.121
ˈu	-	0.118
ˈi	-	0.111
ŋ	n_ʊ	0.111
n	ɲ	0.105
r	r	0.102
ˈo	ˈu	0.097
l	ɟ	0.094
ˈe	ˈe_j	0.091
i	ˈi	0.091
i	j	0.091
ˈa	-	0.087
k	ɣ	0.087
k	ɡ	0.087
e	e	0.085
s	θ	0.081
s	ʃ	0.081
ŋ	-	0.074
d	t	0.074
e	a	0.07
r	-	0.061
i	ˈi_ɾ	0.061
i	o	0.061
i	-	0.061
s	ɣ_ʊ	0.054
s	j_ʃ	0.054
n	ŋ	0.053
