Pennsylvania German	Pennsylvania German	probability
ˈɔː_ɑ	ˈɑˀ	1.0
ˈɔɪ̯	ˈeˀ_ɡ̊	1.0
ʦ_ʋ	ʦʰ	1.0
ʋ_ˈɪ	ʋ	1.0
ɪ_ç	i	1.0
ɪ	-	1.0
ɣ_l	l	1.0
ɣ	-	1.0
ɡ̊	j	1.0
ɡ	ɡ̊	1.0
ə_#>	#>	1.0
ɑ_#>	#>	1.0
ç_t	d̥	1.0
ç_#>	#>	1.0
ç	j	1.0
t	d̥	1.0
s_#>	#>	1.0
l_ˈɔː	l	1.0
l_d̥	lˀ	1.0
k_#>	ɡ̊_#>	1.0
j	-	1.0
f_ˈɔ	f	1.0
eː	n	1.0
d̥_#>	#>	1.0
d̥	ð̞ˠ	1.0
b̥_#>	#>	1.0
b̥	w	1.0
b	b̥	1.0
<#_ˈoː	<#	1.0
<#_ˈa	<#	1.0
<#_ʋ	<#	1.0
<#	<#_j	1.0
#>	n_#>	1.0
m	m	0.923
ɾ	ʁ	0.857
h	h	0.842
f	f	0.8
ə	ə	0.795
ɑ	ɐ	0.778
n_d̥	nˀ	0.75
l	l	0.75
ˈɔ	ˈu	0.714
ʃ	s	0.71
ʋ	ʋ	0.682
f_#>	b̥_#>	0.667
ˈuː	ˈoˀ	0.636
ŋ	ŋˀ	0.625
n	n	0.625
s	s	0.619
k	kʰ	0.615
ʦ	ʦʰ	0.6
x	-	0.6
ˈoː	-	0.583
ˈaʊ̯	ˈuˀ	0.583
ˈaː	-	0.556
ˈɛː	ˈɛ	0.5
ˈɔː	-	0.5
d	d̥	0.462
ˈaː	ˈo	0.444
ˈiː	-	0.429
ˈaʊ̯	-	0.417
ˈɪ	ˈe	0.414
ʦ	d̥	0.4
k	ɡ̊	0.385
s	ð̞ˠ	0.381
ˈʊ	ˈʌ	0.375
ŋ	ŋ	0.375
ˈuː	-	0.364
ˈiː	ˈyː	0.357
ˈaɪ̯	ˈiˀ	0.35
ˈɛː	-	0.333
ˈɛ	-	0.333
f_#>	#>	0.333
d	ʦʰ	0.333
ˈeː	ˈeˀ	0.316
ˈeː	-	0.316
ˈʊ	ˈɔ	0.312
ʃ	s_ɡ̊	0.29
ˈɔː	ˈa	0.286
ˈɔ	-	0.286
ˈa	ˈa	0.269
ˈoː	ˈœˀ	0.25
n_d̥	n_ə	0.25
l	lˀ	0.25
ˈɛ	ˈɛ	0.238
ʋ	w	0.227
ɑ	ʌ	0.222
ˈiː	ˈyˀ	0.214
ˈɪ	-	0.207
x	w	0.2
x	j	0.2
ˈa	ˈɛ	0.192
ˈa	ˈɑ	0.192
ˈa	-	0.192
ˈɛ	ˈe	0.19
ˈʊ	-	0.188
ˈɛː	ˈɶˀ	0.167
ˈoː	ˈɔː	0.167
ˈeː	ˈeˀ_n	0.158
h	j	0.158
d	-	0.154
ˈaɪ̯	ˈyˀ	0.15
ˈaɪ̯	ˈiː	0.15
ˈaɪ̯	-	0.15
n	nˀ	0.15
ˈɛ	ˈeˀ	0.143
ˈɔː	ˈœˀ	0.143
ɾ	-	0.143
ˈɪ	ˈœ	0.138
ˈʊ	ˈu	0.125
n	-	0.125
ˈa	ˈʌ	0.115
ˈeː	ˈɔˀ	0.105
ˈeː	ˈɑˀ	0.105
ˈɪ	ˈø	0.103
ˈaɪ̯	ˈɛ	0.1
ˈaɪ̯	ˈɑ	0.1
f	ʋ	0.1
f	b̥	0.1
ˈɛ	ˈoˀ	0.095
ʋ	-	0.091
m	mˀ	0.077
ˈɔː	ˈæˀ	0.071
ˈɪ	ˈy	0.069
ˈɪ	ɡ̊	0.069
ə	ɡ̊_ə	0.051
ə	w_ə	0.051
ə	jˀ_n	0.051
ə	-	0.051
d	ð̞ˠ	0.051
