East Franconian	Swedish	probability
β	v	1.0
ˈɛː	-	1.0
ˈɘ	-	1.0
ˈɒː	ˈɑː	1.0
ˈaʊ̯	ˈʉː	1.0
ˈa	k_ˈa	1.0
ʃ_v	s	1.0
ʃ_d̥	s_t	1.0
ɾ_ɐ	r	1.0
ɾ	d	1.0
ɪ	-	1.0
ɣ̊	ɡ	1.0
ɣ	ɡ_ɛ	1.0
ɡ̊_n	ɡː	1.0
ə	rː	1.0
ɐ_ʦ	ʈː	1.0
ɐ_ʃ	ʂ	1.0
ɐ_ç	r_j	1.0
ɐ_n	ɳ	1.0
ɐ_d̥	ɖ	1.0
ç_d̥	tː	1.0
z̥_n	t_a	1.0
x_d̥	tː	1.0
x	k	1.0
v	v	1.0
n_s	sː	1.0
m_ˈʊ	m	1.0
l_ˈiː	j_ˈʉː	1.0
eː	ɔ	1.0
d̥_ˈɔ	tʰ_ˈœ	1.0
d̥_ˈiː	j_ˈʉː	1.0
d̥_n	d_a	1.0
b̥͡v̥	pʰ	1.0
b̥	b	1.0
l	l	0.927
h	h	0.874
a	a	0.866
r	r	0.814
kʰ	kʰ	0.792
f	f	0.735
ˈɒ	ˈa	0.717
ˈaɪ̯	ˈiː	0.66
z̥	s	0.651
d̥	d	0.633
m	m	0.622
ʃ	s	0.57
ˈoː	ˈoː	0.548
ˈɪ	ˈɪ	0.526
ɐ	r	0.505
ˈɛ	ˈɛ	0.498
n	n	0.49
ˈuː	ˈuː	0.472
ˈaː	ˈeː	0.444
ˈeː	-	0.441
s	s	0.441
ʦ	tʰ	0.437
ç	-	0.436
ʦ	tː	0.434
ʃ	ɧ	0.43
ˈʊ	ˈɵ	0.409
ŋ	ŋː	0.405
m	mː	0.378
ˈaː	-	0.358
z̥	tː	0.349
ɡ̊	kː	0.344
ç	k	0.321
s	t	0.306
ˈuː	ˈøː	0.289
ˈeː	ˈøː	0.28
ˈeː	ˈeː	0.28
ˈɔ	ˈɵ	0.266
ˈɛ	-	0.262
ˈiː	-	0.261
ɡ̊	k	0.256
ˈʊ	ˈʊ	0.255
ŋ	-	0.252
ˈɔ	ˈuː	0.251
ˈʊ	ˈɔ	0.249
n	nː	0.249
ç	ŋ	0.243
ˈiː	ˈʉː	0.218
ɐ	ɛ_r	0.213
ɡ̊	j	0.208
kʰ	-	0.208
ŋ	ɡ_a	0.202
ˈɔ	ˈɔ	0.2
ˈaː	ˈøː	0.198
s	ɧ	0.196
ɡ̊	-	0.192
ˈaɪ̯	ˈɛ	0.19
n	a	0.187
r	r_ˈœ	0.186
ˈiː	ˈyː	0.185
d̥	tʰ	0.185
ˈiː	ˈøː	0.166
ˈɪ	-	0.163
ˈɒ	ˈɑː	0.159
ˈoː	ˈɑː	0.158
ˈɔ	-	0.15
ˈaɪ̯	ˈyː	0.15
ˈoː	ˈa	0.146
ˈuː	-	0.145
ŋ	a	0.141
a	-	0.134
ˈɔ	ˈʉː	0.133
f	p	0.132
ʦ	-	0.129
h	j	0.126
ˈɒ	ˈoː	0.124
ˈɪ	ˈœ	0.114
ɐ	ɳ	0.113
ˈɪ	ˈɵ	0.109
ˈɛ	ˈɛː	0.106
ˈuː	ˈoː	0.094
ɐ	a	0.093
ˈiː	ˈɛ	0.089
ˈɪ	ˈʏ	0.088
ˈʊ	-	0.086
ˈiː	ˈɛː	0.082
ˈoː	-	0.078
ɐ	r_a	0.077
f	-	0.075
l	lː	0.073
ˈoː	jː	0.069
ˈɛ	ˈæː	0.067
ˈɛ	ˈæ	0.067
f	pː	0.058
s	-	0.056
