Proto-Balto-Slavic	Proto-Balto-Slavic	probability
́ˀ_#>	#>	1.0
́_l	́_w	1.0
ˀ_#>	#>	1.0
ʃ_a	́_x	1.0
ɡ_a	ɡ̊	1.0
ɛ	ɛ_̀	1.0
ŋ_ɡ	ʒ̊	1.0
ŋ	-	1.0
z	̀_z	1.0
w	ʋ	1.0
t_a	t	1.0
s_#>	#>	1.0
r_u	ə	1.0
r_a	r	1.0
o	-	1.0
n_a	n	1.0
n_#>	#>	1.0
m_t	t	1.0
m_b	b̥	1.0
m	m	1.0
l_i	ə_w	1.0
j_au̯	u	1.0
j	j	1.0
iː	iː	1.0
i_́	́	1.0
d_u	d̥	1.0
d_a	d̥	1.0
d	d	1.0
b	b	1.0
au̯	uː	1.0
a_n	oː	1.0
<#_w	<#_ʋ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
r	r	0.867
aː	a	0.826
zʲ	z	0.818
ɡ	ɡ	0.786
u	-	0.75
l	l	0.75
ai̯	eː	0.75
t	t	0.688
uː	iː	0.667
sʲ	s	0.667
ei̯	i	0.667
p	p	0.625
i	-	0.619
́_r	aː	0.6
ʃ	s	0.6
eː	eː	0.6
a_#>	ɔ_#>	0.6
oː	aː	0.571
#>	́_#>	0.556
k	k	0.533
́ˀ	́	0.5
́ˀ	̀	0.5
n	n	0.5
<#	<#_j	0.5
oː	-	0.429
́_r	r	0.4
ˀ	̀	0.4
ʃ	x	0.4
s	-	0.4
eː	j	0.4
a_#>	#>	0.4
p	-	0.375
́	́	0.333
́	̀	0.333
́	-	0.333
ˀ	́	0.333
uː	i	0.333
sʲ	s_ə	0.333
s	s	0.333
n	-	0.333
ei̯	iː	0.333
t	-	0.312
a	oː	0.308
a	-	0.282
ˀ	-	0.267
s	r	0.267
u	ə	0.25
l	w	0.25
e	ɛ	0.25
e	eː	0.25
e	-	0.25
ai̯	-	0.25
<#	<#_ʋ	0.25
<#	<#_s	0.25
i	ə	0.238
#>	ɔ_#>	0.222
#>	a_#>	0.222
ɡ	ʒ	0.214
k	ʦ	0.2
zʲ	z̥	0.182
aː	aː	0.174
n	d	0.167
e	eː_́	0.15
i	ɔː	0.143
r	-	0.133
k	ʧ	0.133
k	-	0.133
a	ɔː_̀	0.103
a	r	0.103
e	ɛː	0.1
a	ɔː	0.051
a	ɔ	0.051
a	oː_́	0.051
a	aː	0.051
