Nynorsk Norwegian	Danish	probability
#>	#>	0.95
<#	<#	0.994
<#_kʰ	<#	1.0
b	b̥	1.0
d	d̥	0.62
d	ð̞ˠ	0.242
d	-	0.128
d_#>	#>	1.0
e	ə	0.606
e	ɐ	0.265
e	-	0.072
f	f	0.974
h	h	0.925
h	-	0.074
j	-	0.364
j	j	0.252
j	ɡ̊	0.238
j	d̥	0.069
j	l	0.053
k	k	0.587
k	j	0.19
k	-	0.095
k	ɡ̊	0.068
k	w	0.05
k_#>	#>	0.216
kʰ	kʰ	1.0
l	l	0.867
l	lˀ	0.13
lː	lˀ	0.875
lː	l	0.082
m	m	0.81
m	wˀ	0.097
m	mˀ	0.084
mː	mˀ	0.464
n	n	0.895
n	nˀ	0.083
nː	nˀ	0.594
nː	n	0.4
p	b̥	0.809
p	p	0.187
pʰ	pʰ	0.464
s	s	1.0
sː	s	1.0
t	ð̞ˠ	0.573
t	t	0.381
tʰ	ʦʰ	0.94
tʰ	ʨ	0.058
v	ʋ	0.216
ç	kʰ	0.33
ç	ʦʰ	0.287
ç	j	0.129
ç	k	0.129
ç	t	0.086
çː	ð̞ˠ	1.0
ŋ	ŋ	1.0
ŋː	ŋˀ	0.724
ŋː	ŋ	0.254
ɑ	ə	0.956
ɑ_#>	#>	1.0
ɛ	-	0.352
ɛ	ɐ	0.163
ɡ	ɡ̊	0.356
ɡ	j	0.294
ɡ	w	0.14
ɡ	-	0.113
ɡ	jˀ	0.072
ɡ_#>	#>	1.0
ɡː	ɡ̊	1.0
ɪ	e	1.0
ɲ	ŋ	0.464
ɾ	ʁ	0.416
ɾ	ɐ	0.287
ɾ	ɐˀ	0.182
ɾ	-	0.099
ɾ_#>	#>	1.0
ʃ	k	0.57
ʃ	s	0.422
ʉ	ə	0.464
ʋ	ʋ	0.727
ʋ	-	0.164
ʋ	w	0.095
ʋ_ɑ	w	1.0
ʰkː	k	1.0
ʰtː	t	1.0
ˈeː	ˈeˀ	0.385
ˈeː	ˈɑ	0.176
ˈeː	ˈɛˀ	0.116
ˈeː	ˈe	0.088
ˈeː	ˈɛː	0.088
ˈeː	ˈɑˀ	0.066
ˈeː	ˈiˀ	0.065
ˈiː	ˈiˀ	0.645
ˈiː	ˈiː	0.266
ˈiː	ˈi	0.077
ˈoː	ˈɔˀ	0.499
ˈoː	ˈoː	0.159
ˈoː	ˈɔː	0.12
ˈoː	ˈeː	0.091
ˈoː	ˈɒː	0.053
ˈoː	ˈɒˀ	0.051
ˈuː	ˈoˀ	0.54
ˈuː	ˈo	0.22
ˈuː	ˈʌ	0.08
ˈuː	ˈoː	0.062
ˈyː	ˈyˀ	0.464
ˈyː	ˈyː	0.316
ˈyː	ˈuˀ	0.082
ˈæ	ˈɛ	0.464
ˈæɪ̯	ˈeˀ	0.641
ˈæɪ̯	ˈɛˀ	0.14
ˈæɪ̯	ˈiː	0.093
ˈæɪ̯	ˈɛ	0.093
ˈæʉ̯	ˈœˀ	0.527
ˈæʉ̯	ˈøː	0.13
ˈæʉ̯	ˈʌ	0.13
ˈæʉ̯	ˈʌˀ	0.075
ˈæːɪ̯	ˈeˀ	0.464
ˈøː	ˈeˀ	0.324
ˈøː	ˈœ	0.245
ˈøː	ˈœˀ	0.245
ˈøː	ˈøː	0.076
ˈœ	ˈe	0.306
ˈœ	ˈœˀ	0.306
ˈœʏ̯	ˈœ	0.287
ˈœʏ̯	ˈʌˀ	0.287
ˈœʏ̯	ˈøː	0.267
ˈɑ	ˈa	0.403
ˈɑ	ˈɑ	0.235
ˈɑ	ˈɛ	0.196
ˈɑ	ˈʌ	0.104
ˈɑ_ɾ	ˈɑˀ	1.0
ˈɑː	ˈa	0.317
ˈɑː	ˈɛː	0.151
ˈɑː	ˈɑː	0.115
ˈɑː	ˈɛˀ	0.115
ˈɑː	ˈʌ	0.115
ˈɑː	ˈaː	0.081
ˈɑː	ˈæˀ	0.079
ˈɑː_ɾ	ˈɑˀ	0.352
ˈɑː_ɾ	ˈɑː	0.163
ˈɔ	ˈʌ	0.201
ˈɔ	ˈoː	0.133
ˈɔ	ˈɒː	0.133
ˈɔ	ˈɔˀ	0.094
ˈɔ	ˈo	0.091
ˈɔ	ˈɛ	0.091
ˈɔ	ˈœ	0.088
ˈɔ	ˈɒ	0.088
ˈɛ	ˈɛ	0.293
ˈɛ	ˈe	0.143
ˈɛ	ˈeˀ	0.143
ˈɛ	ˈæ	0.111
ˈɛ	ˈeː	0.082
ˈɛ	ˈɑ	0.071
ˈɛ	ˈa	0.062
ˈɛː	ˈɛ	0.66
ˈɛː	ˈɛˀ	0.142
ˈɪ	ˈe	0.955
ˈʉ	ˈu	0.569
ˈʉ	ˈy	0.12
ˈʉ	ˈɔ	0.12
ˈʉ	ˈuˀ	0.084
ˈʉ	ˈœˀ	0.082
ˈʉː	ˈuˀ	0.424
ˈʉː	ˈyˀ	0.197
ˈʉː	ˈoˀ	0.135
ˈʉː	ˈu	0.135
ˈʉː	ˈyː	0.06
ˈʊ	ˈɔ	0.204
ˈʊ	ˈo	0.178
ˈʊ	ˈu	0.117
ˈʊ	ˈɛ	0.117
ˈʊ	ˈy	0.084
ˈʊ	ˈʌ	0.084
ˈʊ	ˈuː	0.082
ˈʊ	ˈœ	0.08
ˈʏ	ˈœ	0.497
ˈʏ	ˈø	0.197
ˈʏ	ˈy	0.172
ˈʏ	ˈi	0.113
