Alsatian	Swiss German	probability
b̥	b̥	1.0
d̥	d̥	0.757
d̥	t	0.243
e	-	1.0
eː	æ	1.0
f	f	0.984
h	h	1.0
i	i	0.885
i	-	0.115
j	ɡ̊	0.596
j	j	0.295
j	ɡ̊ː	0.109
k	ɡ̊ː	0.486
k	χ	0.342
k	kː	0.106
k	k	0.066
kʰ	χ	0.967
l	l	0.968
m	m	0.922
n	n	0.894
n	-	0.056
p	p	1.0
p͡f	p͡f	0.7
p͡f	p	0.3
s	s	0.743
s	sː	0.257
t	t	0.902
v	ɡ̊	0.7
v	b̥	0.3
w	ʋ	1.0
x	χ	1.0
ŋ	ŋ	1.0
ə	ə	0.976
ɡ̊	ɡ̊	0.955
ʁ	r	0.983
ʃ	ʃ	0.753
ʃ	χ	0.125
ʃ	ɡ̊	0.122
ʋ	ʋ	0.978
ʦ	ʦ	1.0
ˈai̯	ˈøi̯	1.0
ˈaː	ˈyː	0.417
ˈaː	ˈɒ	0.391
ˈaː	ˈæ	0.192
ˈe	ˈæ	0.363
ˈe	ˈø	0.347
ˈe	ˈe	0.165
ˈe	ˈy	0.08
ˈei̯	ˈøi̯	0.522
ˈei̯	ˈyː	0.389
ˈei̯	ˈei̯	0.089
ˈeː	ˈeː	0.255
ˈeː	ˈøː	0.241
ˈeː	ˈi	0.187
ˈeː	ˈæː	0.162
ˈeː	ˈɒː	0.095
ˈeː	ˈe	0.06
ˈi	ˈi	0.539
ˈi	ˈy	0.203
ˈi	ˈyː	0.096
ˈi	ˈiː	0.086
ˈi	ˈøː	0.06
ˈiː	ˈyː	0.309
ˈiː	ˈiː	0.211
ˈiː	ˈi	0.187
ˈiː	ˈyə̯	0.134
ˈiː	ˈiə̯	0.096
ˈiː	ˈy	0.063
ˈo	ˈo	0.685
ˈo	ˈoː	0.187
ˈo	ˈu	0.082
ˈoː	ˈoː	0.522
ˈoː	ˈɒː	0.311
ˈoː	ˈo	0.166
ˈu	ˈu	0.725
ˈu	ˈo	0.108
ˈu	ˈoː	0.087
ˈyː	ˈuː	1.0
ˈæ	ˈæ	0.886
ˈæ	ˈæː	0.114
ˈæː	ˈeː	0.477
ˈæː	ˈæː	0.378
ˈæː	ˈæ	0.144
ˈø	ˈo	1.0
ˈøi̯	ˈuː	1.0
ˈøː	ˈuə̯	1.0
ˈœ	ˈou̯	1.0
ˈɒ	ˈɒ	0.692
ˈɒ	ˈɒː	0.142
ˈɒ	ˈæ	0.08
ˈɒ	ˈe	0.06
ˈɒː	ˈɒ	0.545
ˈɒː	ˈɒː	0.455
ˈɔi̯	ˈau̯	1.0
ˈəi̯	ˈei̯	0.427
ˈəi̯	ˈɛi̯	0.251
ˈəi̯	ˈæi̯	0.205
ˈəi̯	ˈøi̯	0.117
ˈɛ	ˈæ	1.0
ˈʊː	ˈuə̯	0.453
ˈʊː	ˈou̯	0.196
ˈʊː	ˈau̯	0.196
ˈʊː	ˈyə̯	0.156
