Mainland North Frisian	Mainland North Frisian	probability
ˈɛː_d	ˈɪə̯	1.0
ˈɔu̯	ˈɑː	1.0
ˈɔ_ʀ	r	1.0
ˈɔ	ˈʊə̯	1.0
ˈɒː_d	ˈɑː_t	1.0
ˈœi̯	-	1.0
ˈœ_ʀ	r	1.0
ˈai̯	ˈə	1.0
ʀ_ˈɔu̯	r	1.0
ʀ_t	r	1.0
ʀ	r	1.0
ɛi̯	i	1.0
ə_ʀ	r	1.0
ə_n_#>	#>	1.0
ŋ	ŋ	1.0
ç	χ	1.0
z̥	n_d̥	1.0
x_t	χ	1.0
x	χ	1.0
w	ˈi	1.0
v̥	v̥	1.0
v_ə_#>	#>	1.0
tʲ	t	1.0
t_ə	t	1.0
s_t	s	1.0
p	p	1.0
m	m	1.0
j_ˈa	ˈɑː	1.0
j_ə	χ	1.0
i	ə	1.0
h	ɦ	1.0
f_j	v̥	1.0
d̥	d̥	1.0
b	b	1.0
<#_ˈɔu̯	<#_ˈʊə̯	1.0
<#_ˈeː	<#_ˈa	1.0
<#_ʀ	<#_r	1.0
<#_tʲ	<#_d	1.0
<#_n	<#_n	1.0
<#	<#_v	1.0
s	s	0.956
l	ɫ	0.93
v	v	0.929
k	k	0.923
f	v̥	0.905
d	d	0.857
ɡ	χ	0.8
n	n	0.786
#>	χ_#>	0.778
t	t	0.757
ˈuː	ˈʊə̯	0.727
dʲ	d̥	0.714
ə	-	0.673
nʲ	n	0.625
ʃ	s	0.615
ˈɛː	ˈɪə̯	0.6
ˈɒ	ˈa	0.6
ˈœː	ˈœɪ̯	0.6
ə_n	ə_n	0.6
z	s	0.6
ˈi	ˈəɪ̯	0.579
j	χ	0.571
ˈɛi̯	ˈɑː	0.556
ˈyː	ˈʊə̯	0.556
ˈeː	-	0.556
ˈʏ	ˈœɪ̯	0.545
ˈiː	ˈi	0.519
ˈʊ	ˈɔ	0.5
ˈɛ	ˈu	0.5
ˈɛ	-	0.5
ˈɔː	-	0.5
n_ə	n_d̥	0.5
n_ə	n	0.5
lʲ	ɫ	0.5
lʲ	d̥	0.5
j	-	0.429
ˈɛː	-	0.4
ˈœː	ˈʊə̯	0.4
ə_n	ə	0.4
z	t	0.4
ˈa	-	0.389
ʃ	s_k	0.385
nʲ	n_d̥	0.375
ˈœ	ˈu	0.357
ˈɒː	ˈɑː_p	0.333
ˈɒː	ˈa	0.333
ˈɒː	-	0.333
ˈyː	-	0.333
ˈaː	ˈɪə̯	0.333
ˈaː	ˈɪø̯	0.333
ˈaː	-	0.333
ˈa	ˈə	0.333
ˈi	ˈə	0.316
ˈɔː	ˈa	0.3
ˈœ	ˈa	0.286
dʲ	j	0.286
ˈʏ	ˈɔ	0.273
ˈuː	ˈa	0.273
t	d	0.243
ˈɛi̯	ˈu	0.222
ˈɛi̯	ˈa	0.222
ˈiː	ˈɪə̯	0.222
ˈeː	ˈɛː	0.222
ˈeː	ˈœ	0.222
#>	ə_#>	0.222
ə	ə	0.218
ˈœ	-	0.214
ˈʊ	-	0.2
ˈɔː	ˈɔ	0.2
ˈɒ	ˈɛ	0.2
ˈɒ	-	0.2
ɡ	χ_ˈɪə̯	0.2
ˈʏ	ˈœ	0.182
ˈa	ˈa	0.167
ˈʊ	ˈə	0.15
ˈʊ	ˈa	0.15
ˈiː	ˈəɪ̯	0.148
ˈœ	ˈœu̯	0.143
n	ə_ŋ	0.143
d	-	0.143
ˈyː	ˈoː	0.111
ˈiː	ˈʊə̯	0.111
ˈa	ˈɛ	0.111
ˈi	ˈɪə̯	0.105
f	v	0.095
k	-	0.077
ə	d_ə	0.073
v	v̥	0.071
n	n_d̥	0.071
l	ˈæ_ɫ	0.07
