Logudorese	Logudorese	probability
ˈɔ_j	j_ˈaː	1.0
ˈu_ɾ	ˈyː	1.0
ˈi_ɾ	ˈiː	1.0
ˈi_t	ˈe	1.0
ˈi_s	l_ˈeː	1.0
ˈi_n	ŋ	1.0
ˈe_l	ˈeː	1.0
ˈa_ɾ	ˈaː	1.0
ˈa_ð	ˈɛː	1.0
ˈa_m	ˈa_m	1.0
ˈa_l	ˈaː	1.0
ɾ_ɛ_#>	#>	1.0
ɲ	ɲ	1.0
ɛ̆	-	1.0
ɛ_ɾ	d	1.0
ɛ_#>	#>	1.0
ɖː	l	1.0
ŋ	ŋ	1.0
z_u	z_u	1.0
z_j	y	1.0
ŭ	-	1.0
u_#>	#>	1.0
t_ɔ	t	1.0
t_a	t_a	1.0
s_u	s_u	1.0
p_j	ʧ	1.0
o	-	1.0
n_ʣ	ɲ	1.0
n_ɛ_#>	#>	1.0
n_u_#>	ŋ_#>	1.0
l_u	u	1.0
l_a	a	1.0
i_ɾ	e_r	1.0
i_s	s	1.0
f	f	1.0
e_ɾ	j	1.0
ă	e	1.0
a_ð	ɥ	1.0
a_#>	#>	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f_ɾ	<#_ʃ	1.0
<#_b	<#_ʒ	1.0
#>	a_#>	1.0
u	u	0.985
p	p	0.935
m	m	0.912
t	t	0.875
d	d	0.867
a	a	0.847
z	-	0.846
s	s	0.828
n	ŋ	0.769
ʦ	s	0.75
β	v	0.714
ɡ	ɡ	0.714
k	k	0.708
ʣ	ʤ	0.667
ɔ̆	i	0.667
nː	n	0.667
l	-	0.643
ɛ	e	0.632
ɾ	r	0.628
k_ɾ	k_r	0.6
j	ʤ	0.6
ɾ_a	a	0.571
ɔ	u	0.545
ˈa	ˈa	0.542
ð	-	0.538
ˈe	ˈe	0.5
e	e	0.5
ð	t	0.462
ɔ	-	0.455
ˈi	ˈi	0.432
ɾ_a	j_a	0.429
ɣ	ɡ	0.429
r	r_n	0.429
ˈɛ	ˈe	0.4
k_ɾ	ʧ	0.4
b	v	0.381
l	l	0.357
i	i	0.35
i	-	0.35
ˈe	ˈeː	0.333
ɔ̆	-	0.333
nː	-	0.333
b	b	0.31
j	-	0.3
i	e	0.3
ˈɔ	ˈu	0.294
β	-	0.286
ɣ	ʒ	0.286
ɡ	ʤ	0.286
r	r	0.286
r	-	0.286
ˈɛ	ˈeː	0.28
ˈa	ˈaː	0.271
ʦ	-	0.25
e	i	0.25
e	-	0.25
ˈu	ˈy	0.243
ˈu	ˈu	0.243
ˈi	ˈe	0.243
ɾ	-	0.233
ˈu	ˈuː	0.216
ˈo	ˈɔː	0.211
ˈo	ˈøː	0.211
ˈo	ˈu	0.211
ˈɛ	ˈɛ	0.2
ˈi	ˈiː	0.189
k	s	0.188
ɣ	-	0.179
ˈɔ	ˈø	0.176
s	ʃ	0.172
ˈe	ˈɛː	0.167
ʣ	z	0.167
ʣ	-	0.167
ˈu	ˈyː	0.162
ˈo	-	0.158
z	t_r	0.154
ˈɔ	ˈøː	0.147
ˈɔ	ˈuː	0.147
ɛ	j	0.14
d	-	0.133
n	n	0.128
t	s	0.125
ˈɛ	ˈɛː	0.12
b	z	0.119
ˈɔ	ˈɔː	0.118
ɣ	z	0.107
ˈo	ˈɔ	0.105
ˈo	ˈøː_v	0.105
k	-	0.104
n	-	0.103
j	sː	0.1
ɛ	v_e	0.088
m	ŋ	0.088
ˈa	w	0.083
ˈu	-	0.081
ˈi	-	0.081
b	ɡ	0.071
b	k_w	0.071
ɾ	ˈiː	0.07
ɾ	ˈaː	0.07
a	-	0.069
p	-	0.065
ˈa	-	0.062
ˈɔ	ˈɔ	0.059
ˈɔ	-	0.059
ˈu	ˈɔ	0.054
ˈi	ˈeː	0.054
ɛ	w	0.053
ɛ	u	0.053
