Limburgish	Danish	probability
b	b̥	1.0
z	s	1.0
ʃ	s_k	1.0
ˈu	ˈœˀ	1.0
ˈuː	ˈuˀ	1.0
ˈyː	ˈøː	1.0
ˈæ	ˈɛ	1.0
ˈæː	ˈɛ	1.0
ˈœ	ˈœ	1.0
ˈɑː	ˈa	1.0
ˈɔu̯	ˈʌ	1.0
ˈɛː	ˈeˀ	1.0
ˈɛːi̯	ˈɛˀ	1.0
ˈɪ	ˈe	1.0
j	lˀ	0.101
n	n	0.771
p	pʰ	0.051
p	-	0.071
ʀ	ɐˀ	0.1
ˈeː	ˈyː	0.291
ˈɒː	ˈɔˀ	0.591
d	ʦʰ	0.472
j	-	0.162
k	-	0.312
m	m	0.902
v	-	0.2
ŋ	ŋˀ	0.252
ˈeː	ˈɛˀ	0.092
ˈɒː	ˈɒˀ	0.222
d̥	ə_ð̞ˠ	0.103
p	b̥	0.63
s	s_t	0.063
s	s	0.73
v̥	lˀ	0.53
x	-	0.053
x	j	0.573
ŋ	ŋ	0.263
ɦ	-	0.113
ˈi	j	0.733
ˈiː	ˈiː	0.093
ˈoː	ˈʌ	0.373
k	kʰ	0.434
s	s_k	0.184
t	-	0.084
ə	-	0.24
ˈaː	ˈɛ	0.224
ˈeː	j	0.084
ˈeː	ˈeˀ	0.154
ˈeː	ˈyˀ	0.174
ˈɪː	ˈø	0.104
ˈʊː	ˈɔ	0.274
β	ʋ	0.904
k	ɡ̊	0.095
n	nˀ	0.135
x	t	0.325
ə	ə	0.745
ʀ	ʁ	0.355
ˈɔ	ˈu	0.45
ˈɔ	ˈʌ	0.55
ˈɛ	ˈɛ	0.265
ˈɛ	ˈiː	0.735
ˈʊː	ˈo	0.275
l	l	0.876
ɣ	ɡ̊	0.726
ˈɑ	ˈa	0.156
ˈɑ	ˈɑ	0.306
ˈɑ	ˈɛ	0.516
ˈɪː	ˈe	0.896
ˈʊː	ˈɶ	0.066
ˈʊː	ˈoˀ	0.176
β	-	0.096
d̥	ð̞ˠ	0.897
p	p	0.247
v̥	-	0.47
ŋ	ə_#>	0.067
ɣ	-	0.247
ɦ	h	0.887
ˈaː	ˈɑ	0.597
ˈeː	ˈiˀ	0.097
ˈi	ˈɔˀ	0.267
ˈiː	ˈiˀ	0.907
ˈoː	ˈoˀ	0.627
ˈɒː	ˈɔː	0.187
d	d̥	0.528
j	ð̞ˠ	0.738
m	mˀ	0.098
t	ʦʰ	0.198
v	f	0.8
ŋ	ŋ_ə	0.418
ʀ	-	0.168
ʀ	ɐ	0.358
ˈaː	ˈʌ	0.08
ˈeː	ˈiː	0.108
ˈʊː	ˈu	0.208
k	k	0.159
l	-	0.079
n	-	0.069
t	t	0.209
t	ð̞ˠ	0.509
ˈaː	ˈa	0.099
