French	French	probability
ʒ	ʤ	1.0
ʃ_#>	k_ɔ_#>	1.0
ʃ	k	1.0
ɲ	ɲ_ɔ	1.0
ɔ̃_#>	ˈu_#>	1.0
œ_ʁ	ˈu	1.0
z	z	1.0
t_#>	t_ɔ_#>	1.0
n_#>	n_ɔ_#>	1.0
n	n	1.0
m_ɛ̃	m_ˈa	1.0
l_#>	l_ɔ_#>	1.0
j_ɛ	ˈɛ	1.0
j_e_#>	ˈɛ_#>	1.0
i_ʁ_#>	ˈi_#>	1.0
f_#>	w_#>	1.0
f	f	1.0
a_#>	#>	1.0
<#_ʁ	<#_ʀ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
s	s	0.957
l	l	0.935
m	m	0.929
k	k	0.913
p	p	0.906
d	d	0.889
t	t	0.882
e_#>	ˈa_#>	0.867
ə	e	0.778
b	b	0.778
y	ˈy	0.769
ɥ	ɥ	0.75
w_a	ˈe	0.75
ɡ	ɡ	0.714
ʁ	ɾ	0.708
v	b	0.636
i	ˈi	0.611
e	ˈa	0.6
ɛ_ʁ	ˈɛ_ʀ	0.556
ʁ_#>	e_#>	0.545
œ	ˈɔ	0.545
w	ˈe	0.524
ɔ	ˈɔ	0.476
ʁ_#>	#>	0.455
u	ˈu	0.435
ɔ̃	ˈu	0.429
ø	ˈɔ_k	0.429
ɑ̃	ˈɛ_n	0.389
#>	ɔ_#>	0.387
<#	<#_ˈa	0.375
<#	<#_ɥ	0.375
a	ˈa	0.368
a	a	0.368
ɛ̃	ˈa	0.364
u	u	0.348
ɛ	ˈa	0.333
o	ˈɛ_l	0.333
v	β	0.303
ɡ	ɣ	0.286
ɔ̃	ˈu_n	0.286
ɔ̃	u	0.286
ø	ˈu_ɔ	0.286
ø	l_s	0.286
j	ˈɛ	0.286
j	ʎ	0.286
#>	e_#>	0.28
o	ˈa_w	0.278
œ	-	0.273
ɛ	ˈe	0.256
ɥ	ˈy	0.25
w_a	e	0.25
<#	<#_a	0.25
ɔ	u	0.238
ɛ̃	ˈi	0.227
ɛ_ʁ	ˈa_ʀ	0.222
ɛ_ʁ	e_ʀ	0.222
ə	a	0.222
b	β	0.222
a	j	0.211
ʁ	ʀ	0.2
e	ˈi	0.2
e	ˈa_z	0.2
j	-	0.19
ɛ̃	ɲ	0.182
œ	ˈu	0.182
ɑ̃	n	0.167
o	ˈɔ_s	0.167
y	ˈi_w	0.154
ɔ	ˈu	0.143
ɔ	w	0.143
w	ˈy	0.143
w	ˈu_ʦ	0.143
j	l	0.143
i	ˈɛ_ʧ	0.139
ɛ̃	n	0.136
e_#>	#>	0.133
u	ˈu_s	0.13
ɛ	ˈɛ	0.128
t	j_s	0.118
ɑ̃	ˈa_ŋ	0.111
ɑ̃	ˈa_n	0.111
ɑ̃	ˈa	0.111
ɑ̃	a_n	0.111
o	ˈa_l	0.111
o	ˈa	0.111
d	-	0.111
ɛ	ˈa_j	0.103
#>	s_#>	0.097
w	ˈe_t	0.095
w	-	0.095
j	j	0.095
p	s_p	0.094
ɛ̃	ŋ	0.091
u	ˈu_t	0.087
k	s_k	0.087
i	i	0.083
ɛ	a	0.077
y	y	0.077
l	lː	0.065
ʁ	ʀ_t	0.062
v	w_ɾ	0.061
i	ˈɛ_ʦ	0.056
i	j_ˈɛ	0.056
i	-	0.056
#>	l_#>	0.054
#>	k_#>	0.054
a	ɔ	0.053
ɛ	ˈɛ_s	0.051
ɛ	ˈa_ʦ	0.051
