Middle Chinese	Middle Chinese	probability
˧˥_#>	#>	1.0
ʨʰ	ʦʰ	1.0
ʨ	ʦ	1.0
ʦʰ	tʰ	1.0
ʦ	t	1.0
ʥ	s	1.0
ʤ	ɬ	1.0
ʣ	tʰ	1.0
ʔˠ	-	1.0
ʑ	s	1.0
ʌ_m	a_m	1.0
ʉ_ɐ	ɔ	1.0
ʉ	-	1.0
ʈˠ	ʦ_j	1.0
ʈ	ʦ	1.0
ʃˠ	s	1.0
ɳ	ⁿd	1.0
ɨ_ʌ	u_j	1.0
ɨ_ɐ	j_a	1.0
ɨ_u	ɵ	1.0
ɨ_o	ɵ	1.0
ɡˠ	kʰ	1.0
ə_u	e_w	1.0
ɖ	ʦʰ	1.0
ɕˠ	s	1.0
ɕ	s	1.0
ɑ_u	a_w	1.0
ɐ	a	1.0
ȵ	ᵑɡ	1.0
ŋˠ	ᵑɡ	1.0
w	-	1.0
u_˦	w_³³	1.0
u_o	u	1.0
u_n	n	1.0
u_k̚	k̚_³²	1.0
t̚	t̚	1.0
tʰ	h	1.0
sˠ	ɬ	1.0
s	ɬ	1.0
p̚	t̚	1.0
pˠ	p	1.0
pʰ	pʰ	1.0
n	n	1.0
mˠ	ᵐb	1.0
m_ɨ	ᵐb	1.0
l	l	1.0
kˠ	k	1.0
kʰˠ	-	1.0
k	k	1.0
i_u	u	1.0
h	h	1.0
e_i	a_j	1.0
bˠ	pʰ	1.0
<#_ʔ	<#	1.0
<#_ŋ	<#_ᵑɡ	1.0
<#_t	<#	1.0
<#_n	<#_ⁿd	1.0
<#_d	<#	1.0
<#	<#_h	1.0
ŋ	ŋ	0.923
k̚	k̚	0.846
˧˥	⁵⁵	0.781
ʌ	w_ɔ	0.714
a	a	0.714
ɑ	ɔ	0.706
p	f	0.7
ɛ	-	0.667
m	ᵐb	0.667
kʰ	h	0.667
#>	⁵⁵_#>	0.667
æ	a	0.6
u	w	0.591
ə	-	0.571
i	j	0.568
˥˩	³²	0.55
ɪ	i	0.545
˦	²²	0.531
o	u	0.5
o	-	0.5
b	f	0.5
b	-	0.5
˦	³³	0.469
ɪ	j	0.455
˥˩	³³	0.45
ɨ	u	0.429
ɦ	v	0.429
ə	a	0.429
e	a	0.412
æ	-	0.4
ɛ	a	0.333
m	m	0.333
kʰ	h_w	0.333
#>	³³_#>	0.333
p	p	0.3
ʌ	ɔ	0.286
ɨ	i	0.286
ɦ	j	0.286
ɦ	h	0.286
a	ɛ	0.286
i	e	0.243
e	e	0.235
˧˥	²¹	0.219
i	-	0.189
u	ɵ	0.182
ɑ	w_ɔ	0.176
e	j_a	0.176
e	j	0.176
k̚	k̚_³²	0.154
ɨ	ɵ	0.143
ɨ	e	0.143
ɑ	a	0.118
u	f	0.091
u	-	0.091
ŋ	-	0.077
