Bavarian	North Frisian	probability
ˈɛ_s	ˈɛː	1.0
ˈɛ	ˈa	1.0
ˈoː	ˈɛi̯	1.0
ˈoɐ̯_#>	ˈɛː_r_#>	1.0
ˈo_j_d̥	lʲ	1.0
ˈo_j	l	1.0
ˈi_ŋ	ˈai̯_ŋ	1.0
ˈeː	ˈi	1.0
ˈaː_m	m	1.0
ˈaː	ˈuː	1.0
ˈa_r	ˈa_r	1.0
ʦ_#>	t_#>	1.0
ʦ	t	1.0
ʋ_ˈoɐ̯	ˈuː	1.0
ʃ_#>	ʃ_#>	1.0
ʃ	s	1.0
ə_#>	#>	1.0
ɐ_#>	r_#>	1.0
ɐ	r	1.0
ŋ_a	ŋ	1.0
ŋ_#>	ŋ_#>	1.0
ŋ	ŋ	1.0
ç_#>	k_#>	1.0
ç	k_ə	1.0
x_#>	k_#>	1.0
x	x	1.0
r_ˈai̯	r_ˈiː	1.0
r	r	1.0
m_a	m_ə	1.0
m_#>	m_#>	1.0
m	ə	1.0
k	k	1.0
j_f_#>	l_v_ə_n_#>	1.0
j	l	1.0
i	i	1.0
f_a	p_ə	1.0
d̥_a	d_ə	1.0
a	ə_r	1.0
<#_ʦ	<#_t	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_b̥	<#_b	1.0
<#_ʋ	<#_v	0.867
l	l	0.778
<#	<#_j	0.778
n_#>	ə_#>	0.735
ʋ	v	0.714
f_#>	p_#>	0.714
t_#>	t_#>	0.7
ˈai̯	ˈi	0.692
ˈuɐ̯	ˈœ	0.667
ˈoɐ̯	ˈiː	0.667
n	n	0.643
ɡ̊_#>	#>	0.636
n_d̥	n	0.625
ˈou̯	ˈyː	0.6
ˈiɐ̯	ˈiː	0.6
ˈau̯	ˈyː	0.6
s	s	0.6
d̥_#>	d_#>	0.6
a_#>	r_#>	0.6
<#_ʃ	<#_s	0.588
s_#>	s_#>	0.55
t	t	0.545
<#_d̥	<#_d	0.526
ˈiː	ˈiː	0.5
ˈiː	ˈa	0.5
ˈe	ˈeː	0.5
ˈe	ˈa	0.5
<#_d̥	<#_t	0.474
t	d	0.455
ˈo	ˈɒ	0.429
d̥	dʲ	0.429
b̥	ə_v	0.429
#>	n_#>	0.429
<#_ʃ	<#_ʃ	0.412
ˈou̯	ˈuː	0.4
ˈiɐ̯	ˈɛ	0.4
s	z_ə	0.4
d̥_#>	dʲ_#>	0.4
a_#>	ə_#>	0.4
n_d̥	ˈœ_nʲ	0.375
ˈɔ	ˈɔː	0.333
ˈɔ	ˈɒ	0.333
ˈɔ	-	0.333
ˈuɐ̯	ˈɛ	0.333
ˈu	ˈʊ	0.333
ˈu	-	0.333
ˈoɐ̯	ˈɔ_r	0.333
ˈi	ˈi	0.333
ˈa	ˈʊ	0.333
ˈa	ˈuː	0.333
ˈa	-	0.333
ˈai̯	ˈyː	0.308
t_#>	d_#>	0.3
ˈo	ˈɔ	0.286
ˈo	-	0.286
ʋ	-	0.286
f_#>	v_#>	0.286
d̥	d	0.286
d̥	-	0.286
b̥	v	0.286
b̥	-	0.286
n_#>	n_#>	0.265
s_#>	t_#>	0.25
#>	f_#>	0.238
l	-	0.222
<#	<#_ˈɒ	0.222
n	-	0.214
ˈau̯	ˈøː_j	0.2
ˈau̯	ˈuː	0.2
s_#>	tʲ_#>	0.2
#>	r_#>	0.19
ɡ̊_#>	w_#>	0.182
ɡ̊_#>	j_#>	0.182
ˈu	ˈyː	0.167
ˈu	ˈa	0.167
ˈi	ˈʊ	0.167
ˈi	ˈeː	0.167
ˈi	ˈaː	0.167
ˈi	ˈa	0.167
n	ˈiː	0.143
#>	s_#>	0.143
<#_ʋ	<#_ˈʊ	0.133
