Standard Mandarin	Standard Mandarin	probability
ʦʰ	ʦʰ	1.0
ʐ̩	z̩	1.0
ʐ	ɲ	1.0
ʊ	ʊ	1.0
ʈ͡ʂʰ	ʦʰ	1.0
ʂ	s	1.0
ɥ	j	1.0
ɤ_ɻ	i	1.0
ɕ	ɕ	1.0
ŋ	ŋ	1.0
z̩	z	1.0
x_w	f	1.0
x	h	1.0
w_⁵¹	k̚_¹	1.0
w_a	ɔ	1.0
u_³⁵	ʊ_k̚	1.0
tʰ	tʰ	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
o_w	u	1.0
n_y	n̩	1.0
n_a	n_a	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j_²¹⁴	¹	1.0
j_o	i	1.0
i_ŋ	i_n	1.0
e_j	i	1.0
<#_w	<#_ʋ	1.0
³⁵	¹¹	0.974
w	w	0.889
i	i	0.846
j	j	0.833
²¹⁴	³¹	0.828
⁵⁵	⁴⁴	0.78
n	n	0.771
⁵¹	⁵³	0.75
ʦ	ʦ	0.75
ɤ	a	0.75
u	u	0.75
f	f	0.7
ɛ	a	0.667
y	i	0.667
ə	u	0.625
a	a	0.607
ʈ͡ʂ	ʦ	0.6
t	tʰ	0.6
kʰ	kʰ	0.6
ʨ	c	0.571
ɑ	ɔ	0.55
w_ɔ	ɔ_k̚	0.5
w_ɔ	o	0.5
o	e	0.5
o	-	0.5
ɑ	a	0.45
ʨ	k	0.429
ʈ͡ʂ	t	0.4
t	t	0.4
kʰ	h	0.4
ʨʰ	ʨʰ	0.375
ʨʰ	cʰ	0.375
ə	-	0.375
ɛ	ɛ	0.333
y	-	0.333
f	p	0.3
ʨʰ	ç	0.25
ʦ	ʨ	0.25
ɤ	-	0.25
u	u_t̚	0.25
a	o	0.214
a	ɔ	0.179
²¹⁴	⁴⁴	0.172
n	m	0.171
j	-	0.167
i	j_a	0.154
⁵⁵	t̚_¹	0.122
w	m	0.111
⁵¹	⁵	0.094
⁵¹	¹	0.094
⁵¹	t̚_⁵	0.062
n	ɲ	0.057
