Gothic	North Frisian	probability
a	ə	0.485
a	-	0.478
a_n	ə	1.0
a_x	i	1.0
aː	ə	0.494
b	b	0.836
b	-	0.156
d	d	0.681
d	-	0.222
d	t	0.063
e	ə	1.0
f	f	0.761
f	v	0.138
f	-	0.091
f_s	f	1.0
h	h	0.553
h	x	0.197
h	-	0.153
h	k	0.06
h	ŋ	0.038
h_l	l	0.244
i	-	0.907
i	ə	0.078
i_f	ə	0.494
iː	-	1.0
j	-	0.271
j	i	0.175
j	ˈyː	0.119
j	ˈai̯	0.119
j	r	0.119
k	k	0.692
k	-	0.277
k_s	ʃ	1.0
l	l	0.742
l	lʲ	0.215
l	l_v	0.047
lː	l	0.244
lː_s	l	1.0
m	m	0.923
m	-	0.07
m_s	m	1.0
n	n	0.698
n	-	0.203
n	nʲ	0.082
n_d	n	1.0
n_s	n	1.0
nː	n	1.0
oː	-	0.61
oː	ə	0.292
oː	r	0.088
p	p	0.742
p	b	0.253
p_s	p	1.0
r	r	0.951
r	-	0.052
s	-	0.616
s	s	0.349
s_k	ʃ	1.0
s_w	s	1.0
t	t	0.817
t	d	0.078
t	tʲ	0.051
t	z	0.046
t	-	0.032
t_s	t	1.0
u	-	0.742
u	ə	0.239
w	v	0.647
w	-	0.14
w	ˈɔu̯	0.122
w	ə	0.08
w_ˈu	ˈʊ	1.0
x	-	0.494
z	ʃ	0.66
z	r	0.161
ð	d	0.392
ð	-	0.222
ð	ʃ	0.222
ŋ	-	0.415
ŋ	ŋ	0.205
ŋ	ˈʊ	0.205
ŋ_ɡ	ŋ	1.0
ɔː	-	1.0
ɡ	-	0.351
ɡ	ɡ	0.331
ɡ	j_ə	0.197
ɡ	j	0.1
ɡʷ	ŋ	0.494
ɡːʷ	-	0.059
ɣ	-	0.574
ɣ	w	0.284
ʍ	v	0.374
ʍ	-	0.185
ˈa	ˈuː	0.149
ˈa	ˈeː	0.127
ˈa	ˈɔː	0.122
ˈa	ˈœ	0.119
ˈa	ˈa	0.096
ˈeː	ˈeː	0.398
ˈeː	ˈɒː	0.229
ˈeː	ˈɛi̯	0.156
ˈeː	ˈɔu̯	0.066
ˈeː	ˈiː	0.063
ˈi	ˈi	0.184
ˈi	-	0.139
ˈi	ˈa	0.097
ˈi	ˈaː	0.095
ˈi	ˈɔː	0.083
ˈiu̯	ˈiː	0.506
ˈiu̯	ˈʏ	0.19
ˈiu̯	-	0.175
ˈiː	ˈi	0.574
ˈiː	ˈiː	0.274
ˈiː	ˈeː	0.115
ˈoː	ˈœ	0.875
ˈoː	ˈɔu̯	0.093
ˈu	ˈʊ	0.269
ˈu	ˈyː	0.232
ˈu	ˈɔː	0.102
ˈu	ˈøː	0.089
ˈu	ˈaː	0.077
ˈuː	ˈyː	0.562
ˈuː	ˈuː	0.253
ˈuː	ˈʊ	0.108
ˈɔ	ˈyː	0.346
ˈɔ	ˈɔ	0.262
ˈɔ	ˈuː	0.173
ˈɔ	ˈɔː	0.122
ˈɔ	ˈœ	0.059
ˈɔː	ˈuː	0.47
ˈɔː	ˈiː	0.14
ˈɔː	ˈɔː	0.131
ˈɔː	ˈɔu̯	0.131
ˈɔː	ˈyː	0.077
ˈɛ	ˈa	0.253
ˈɛ	ˈeː	0.253
ˈɛ	ˈiː	0.22
ˈɛ	ˈʊ	0.099
ˈɛ	ˈɔː	0.074
ˈɛː	ˈiː	0.356
ˈɛː	ˈɒ	0.178
ˈɛː	ˈɛː	0.117
ˈɛː	ˈi	0.117
ˈɛː	ˈʊ	0.117
β	v	0.796
β	-	0.158
θ	-	0.397
θ	d	0.309
θ	dʲ	0.129
θ	t	0.098
θ	tʲ	0.055
θ_s	dʲ	1.0
