Latin	Friulian	probability
a	a	0.489
a	-	0.228
a	u	0.092
a	ˈaː	0.069
a	e	0.052
ae̯	a	0.674
ae̯	e	0.162
ae̯	-	0.082
ae̯	i	0.082
au̯	o	0.758
au̯	-	0.242
aː	ˈaː	0.566
aː	a	0.255
aː	-	0.053
aː	i	0.053
aː	w	0.053
ãː	e	0.871
ãː	-	0.129
b	b	0.587
b	v	0.328
b	-	0.085
d	d	0.725
d	t	0.099
d	-	0.093
d	ʧ	0.056
e	-	0.786
e	i	0.13
e	j	0.085
eː	e	0.554
eː	i	0.306
eː	-	0.14
f	f	0.985
h	-	1.0
i	-	0.552
i	j	0.302
i	ˈɛ	0.119
iː	-	0.362
iː	i	0.361
iː	ˈi	0.143
iː	u	0.134
j	ʤ	1.0
k	-	0.264
k	c	0.226
k	s	0.162
k	ʧ	0.136
k	k	0.128
k	ɡ	0.062
kʷ	k	0.377
kʷ	s	0.164
kʷ	ʧ	0.156
kʷ	w	0.151
kʷ	ɡ	0.151
kː	c	0.939
l	l	0.995
lʲ	j	0.803
lʲ	-	0.197
lʲː	l	0.958
m	m	0.844
m	-	0.111
n	n	0.781
n	ɲ	0.139
n	-	0.08
nː	n	0.77
nː	m	0.23
o	o	0.513
o	-	0.487
oː	o	0.483
oː	j	0.242
oː	-	0.176
oː	ˈo	0.098
p	p	0.664
p	-	0.16
p	v	0.105
p	f	0.071
r	r	0.578
r	-	0.422
rː	r	0.879
rː	ˈɛː	0.121
s	s	0.828
s	z	0.142
sː	s	0.567
sː	ˈɛ_s	0.433
t	t	0.437
t	ʧ	0.218
t	d	0.167
t	-	0.109
tʰ	d	1.0
tː	t	1.0
u	-	0.666
u	ˈo	0.334
uː	-	0.917
uː	ˈu	0.083
w	v	0.617
w	-	0.215
w	f	0.126
ŋ	ŋ	0.753
ŋ	n	0.129
ŋ	ɲ	0.086
ɔ	o	0.406
ɔ	u	0.35
ɔ	-	0.108
ɔ	w	0.105
ɛ	i	0.423
ɛ	-	0.177
ɛ	e	0.148
ɛ	a	0.1
ɛ̃ː	i	0.371
ɛ̃ː	-	0.256
ɛ̃ː	ŋ	0.208
ɛ̃ː	e	0.165
ɡ	-	0.557
ɡ	ʤ	0.249
ɡ	ɡ	0.146
ɡʷ	k	0.666
ɡʷ	ɡ	0.334
ɪ	-	0.401
ɪ	i	0.356
ɪ	e	0.17
ɪ̃	-	1.0
ɫ	l	0.887
ɫ	j	0.083
ʊ	-	0.537
ʊ	ˈɛ	0.149
ʊ	u	0.113
ʊ	a	0.073
ʊ	o	0.067
ʊ̃ː	-	0.908
ʊ̃ː	i	0.092
ˈa	ˈa	0.777
ˈa	ˈaː	0.172
ˈae̯	ˈiː	1.0
ˈau̯	ˈa_w	0.45
ˈau̯	w	0.348
ˈau̯	ˈoː	0.202
ˈaː	ˈaː	0.626
ˈaː	ˈa	0.357
ˈe	ˈi	1.0
ˈeː	ˈe	0.647
ˈeː	ˈeː	0.136
ˈeː	-	0.082
ˈeː	ˈaː	0.079
ˈi	ˈi	1.0
ˈiː	ˈi	0.611
ˈiː	ˈiː	0.26
ˈĩː	ˈi	1.0
ˈo	ˈuː	0.775
ˈo	-	0.225
ˈoː	ˈoː	0.39
ˈoː	ˈo	0.297
ˈoː	-	0.117
ˈoː	ˈɔ	0.077
ˈu	ˈo	0.757
ˈu	ˈɔ	0.243
ˈuː	ˈu	0.476
ˈuː	ˈuː	0.369
ˈuː	ˈo	0.092
ˈɔ	w	0.531
ˈɔ	ˈɔ	0.152
ˈɔ	ˈuː	0.076
ˈɔ	v_ˈɔ	0.07
ˈɔ	ˈu	0.057
ˈɛ	ˈɛ	0.589
ˈɛ	ˈi	0.181
ˈɛ	j	0.099
ˈɛ̃ː	ˈi	1.0
ˈɪ	ˈe	0.388
ˈɪ	-	0.235
ˈɪ	ˈeː	0.215
ˈɪ	i	0.057
ˈɪ	ˈa	0.054
ˈɪ	ˈu	0.052
ˈʊ	ˈo	0.494
ˈʊ	ˈu	0.347
ˈʊ	ˈɔ	0.101
