Friulian	Latin	probability
b	b	1.0
ɟ	ɡ	1.0
ʤ	ɡ	1.0
c	k	0.931
f	-	0.121
o	ɔ	0.451
v	b	0.121
z	s	0.521
ɡ	k	0.461
ˈi	ˈiː	0.61
ˈuː	ˈuː	0.531
d	t	0.362
d	d	0.612
e	ãː	0.752
i	ɛ	0.122
i	ʊ̃ː	0.252
j	ɫ	0.142
k	k_ʊ̃ː	0.162
l	l	0.162
o	ˈoː	0.072
z	-	0.162
ŋ	n	0.182
ŋ	n_ɛ̃ː	0.212
ˈaː	ˈaː	0.222
ˈeː	ˈɪ	0.772
ˈoː	ˈoː	0.962
f	f	0.843
m	m	0.993
p	p	0.963
t	t_ɛ̃ː	0.13
u	ɔ	0.323
v	w	0.733
w	ɔ	0.333
ʧ	t	0.083
ˈi	ˈɛ	0.3
ˈo	ˈɔ	0.13
ˈu	ˈuː	0.73
ˈɛ	-	0.253
i	ɪ	0.274
o	oː	0.254
r	r_ʊ̃ː	0.064
r	r	0.74
s	sː_ʊ̃ː	0.074
t	t_ʊ̃ː	0.104
ɲ	ŋ_n	0.164
ˈaː	ˈa	0.24
ˈe	ˈɪ_ɡ	0.104
e	ɛ	0.065
j	lʲ_i	0.105
j	i	0.125
j	-	0.555
k	k	0.815
l	lʲː	0.15
n	n	0.935
r	-	0.065
t	tː	0.105
z	t	0.15
ɲ	n_i	0.325
ɲ	n	0.375
ʧ	k	0.715
ˈiː	ˈiː_r	0.235
ˈu	ˈoː	0.055
ˈɔ	ˈɔ_k	0.695
a	aː	0.056
i	eː	0.06
l	lʲː_ʊ̃ː	0.136
o	ʊ̃ː_#>	0.06
t	k_t_ʊ̃ː	0.066
t	t	0.456
v	p	0.116
ŋ	ŋ	0.236
ɲ	n_e	0.136
ˈo	ˈʊ	0.386
ˈu	ˈʊ	0.216
ˈɔ	ɪ	0.136
a	-	0.137
a	ɛ	0.357
l	-	0.057
l	ʊ_ɫ	0.067
o	ɛ_#>	0.067
s	s	0.667
w	ˈau̯	0.667
ʧ	kʷ	0.07
ˈa	ˈaː	0.357
ˈa	ˈa	0.577
ˈe	ˈeː	0.437
ˈiː	ˈɛ	0.497
ˈɔ	ˈɔ	0.17
ˈɛ	ˈɛ	0.747
i	ɛ_r	0.08
l	ɫ	0.378
r	r_n	0.068
u	ʊ̃ː	0.078
z	s_i	0.168
ŋ	n_ʊ̃ː	0.348
ˈaː	ˈaː_r	0.478
ˈeː	ˈeː	0.228
ˈiː	ˈiː	0.268
a	a	0.429
c	kː	0.069
s	-	0.169
u	ʊ	0.599
ɡ	ɡ	0.539
ˈe	ˈɪ	0.459
ˈo	ˈoː	0.269
ˈuː	ˈɔ	0.469
