Scots	Pennsylvania German	probability
b	b	1.0
d	t	0.511
d	d	0.404
d	-	0.072
e	-	0.256
e	j	0.256
e	ɪ	0.126
f	f	0.841
f	p	0.158
h	h	1.0
i	ɪ	0.121
j	j	0.398
j	ˈaɪ̯	0.229
j	ɡ	0.149
j	ˈɛ	0.149
k	k	0.306
k	k_ə	0.158
k	x	0.158
k	ç	0.147
k	ɡ	0.105
k	kʰ	0.057
kʰ	kʰ	0.74
kʰ	f	0.194
l	l	0.937
l	ɣ_l	0.061
m	m	0.77
m	m_ə	0.087
m	ə_m	0.087
m	-	0.05
n	n	0.823
n	-	0.146
p	f	0.386
p	f_ə	0.328
p	ə_f	0.123
p	p	0.091
pʰ	p͡f	0.494
r	ɾ	0.405
r	-	0.352
r	ɑ	0.233
s	s	0.581
s	ʃ	0.418
t	t	0.386
t	s	0.348
t	ʦ	0.097
t	s_ə	0.073
t	d	0.058
tʰ	ʦ	0.85
tʰ	b	0.127
v	v	0.558
v	f	0.437
w	ʋ	0.885
w	-	0.064
w	ɾ	0.054
x	x	0.578
x	ç	0.42
z	s	0.74
z	ɾ	0.137
ç	ɾ	0.121
ð	d	0.862
ð	n	0.119
ŋ	ŋ	1.0
ŋ_ɡ	ŋ	1.0
ə	ɑ	0.786
ə	-	0.085
ə	ə	0.076
əi̯	ɪ	1.0
ɡ	ɡ	0.814
ɡ	k	0.158
ɪ	-	0.284
ɪ	ɑ	0.284
ɫ	l	1.0
ɹ	ˈaɪ̯	0.244
ʃ	ʃ	1.0
ʍ	ʋ	0.629
ʍ	v	0.361
ʧ	kʰ	0.66
ʧ	ç	0.161
ˈa	ˈɛ	0.244
ˈaːɪ̯	ˈɪ	0.66
ˈaːɪ̯	ˈaʊ̯	0.161
ˈe	ˈa	0.251
ˈe	ˈeː	0.237
ˈe	ˈɔː	0.182
ˈe	ˈiː	0.111
ˈe	ˈoː	0.105
ˈe	ˈaɪ̯	0.053
ˈe_n	ˈeː	1.0
ˈei̯	ˈɔː	0.305
ˈei̯	ˈoː	0.271
ˈei̯	ˈeː	0.108
ˈei̯	ˈiː	0.062
ˈei̯	ˈɛː	0.062
ˈei̯	ˈɛ	0.06
ˈei̯	-	0.052
ˈeː	ˈɔː	0.822
ˈeː	ˈa	0.113
ˈi	ˈiː	0.297
ˈi	ˈeː	0.183
ˈi	ˈɔː	0.183
ˈi	ˈɪ	0.183
ˈiː	ˈiː	0.296
ˈiː	ˈoː	0.168
ˈiː	ˈaɪ̯	0.095
ˈiː	ˈeː	0.092
ˈiː	ˈaʊ̯	0.072
ˈiː	ˈɛː	0.072
ˈiː	ˈɪ	0.072
ˈiː	ˈʊ	0.059
ˈiː	ˈɔː	0.056
ˈoe̯	ˈɛː	0.121
ˈø	ˈuː	0.476
ˈø	ˈa	0.153
ˈø	ˈʊ	0.153
ˈø	ˈoː	0.112
ˈø	ˈɔː	0.074
ˈɑ	ˈa	0.552
ˈɑ	ˈaː	0.119
ˈɑ	ˈaɪ̯	0.084
ˈɑ	ˈɛ	0.084
ˈɑ	ˈɔː	0.081
ˈɑː	ˈa	0.44
ˈɑː	ˈeː	0.284
ˈɑː	ˈa_l	0.13
ˈɑː	ˈɔː	0.081
ˈɔ	ˈɔ	0.44
ˈɔ	ˈʊ	0.175
ˈɔ	ˈɔː	0.133
ˈɔ	ˈoː	0.097
ˈɔ	ˈaː	0.073
ˈɔ_r	ˈa	0.517
ˈɔ_r	ˈaː	0.294
ˈəi̯	ˈaɪ̯	0.734
ˈəi̯	-	0.078
ˈəi̯	ˈɪ	0.078
ˈəi̯	ˈeː	0.065
ˈəi̯	ˈʊ	0.052
ˈɛ	ˈɛ	0.241
ˈɛ	ˈaː	0.198
ˈɛ	ˈeː	0.159
ˈɛ	ˈɛː	0.135
ˈɛ	ˈɔː	0.064
ˈɛ	ˈiː	0.062
ˈɛ	ˈaɪ̯	0.052
ˈɪ	ˈɪ	0.509
ˈɪ	ˈa	0.126
ˈɪ	ˈɛ	0.079
ˈɪ	ˈuː	0.071
ˈʉ	ˈaʊ̯	0.433
ˈʉ	ˈʊ	0.224
ˈʉ	ˈɔ	0.092
ˈʉ	ˈuː	0.086
ˈʉ	-	0.075
ˈʉ	ˈaɪ̯	0.075
ˈʌ	ˈʊ	0.871
ˈʌ	ˈɛː	0.094
ˈʌʉ̯	ˈɔ_l	0.461
ˈʌʉ̯	ˈiː	0.265
ˈʌʉ̯	ˈɪ	0.265
θ	d	0.632
θ	t	0.256
θ	l	0.055
θ	-	0.053
