Western Lombard	Romanian	probability
b	b	1.0
o	u	1.0
p	p	1.0
ɲ	n	1.0
ˈeː	ˈe	1.0
ˈẽː	ˈi	1.0
ˈĩː	ˈi	1.0
ˈøː	ˈo	1.0
a	-	0.131
e	u	0.091
j	l	0.351
l	l	0.611
t	t_e	0.1
u	u	0.951
ɡ	-	0.191
ʦ	ʦ	0.101
ˈe	e̯ˈa	0.131
ˈũː	ˈu	0.341
ˈɛ	-	0.111
ˈɛ	j_ˈe	0.381
d	d	0.682
f	f	0.742
m	m_e	0.112
n	n	0.762
r	r	0.942
ˈa	ˈa_r	0.312
ˈa	ˈa	0.522
ˈe	ˈe	0.752
ˈø	o̯ˈa	0.202
ˈɔ	ˈo	0.472
t	p_t	0.183
ʧ	ʧ	0.503
ˈi	ˈi_r	0.143
ˈu	o̯ˈa	0.083
ˈø	ˈo	0.513
a	ə	0.554
d	z	0.054
d	t	0.264
e	ə	0.164
i	-	0.494
j	-	0.394
k	ʧ	0.064
l	-	0.174
ɡ	ɡ	0.694
ʤ	ʒ	0.24
ʤ	k	0.254
ˈaː	ˈa_r	0.174
ˈu	ˈo	0.154
ˈu	ˈu	0.764
ˈũː	-	0.264
ˈyː	e	0.834
ˈɔ	ˈau̯	0.204
ˈɔ	o̯ˈa	0.324
ˈɛ	ˈa	0.304
a	a	0.055
e	e	0.745
j	j	0.255
l	r	0.215
ɡ	b	0.115
ʋ	-	0.295
ʋ	v	0.635
ʧ	p_t	0.065
ˈãː	ˈɨ_j	0.135
ˈãː	ˈɨ_n	0.865
ˈũː	ˈu_n	0.395
ˈy	ˈa	0.475
ˈy	ˈu	0.525
ˈø	ˈu	0.285
a	e	0.26
i	e	0.506
n	e_#>	0.176
s	ʃ_t	0.16
s	ʧ_e	0.166
t	t	0.586
ʧ	kʲ	0.096
ʧ	k	0.126
ˈa	ˈɨ	0.166
ˈaː	ˈa	0.826
ˈyː	ˈu	0.166
k	k	0.867
t	-	0.077
ʋ	j	0.07
ˈe	ˈi	0.117
ˈi	ˈi	0.857
f	w	0.178
m	m	0.888
r	-	0.058
ʤ	ʤ	0.398
f	-	0.079
s	s	0.619
ʤ	-	0.109
ʦ	ʧ	0.899
ʧ	t	0.209
ˈɛ	ˈe	0.179
