Teochew	Teochew	probability
⁵⁵	²³	1.0
⁴⁴	⁵³	1.0
⁴	¹²	1.0
ʨʰ	ʨʰ	1.0
ʦʰ	ʦʰ	1.0
ʦ_j	z	1.0
ʣ	nʲ	1.0
ʔ	ʔ	1.0
ɯ_ŋ	ɑ̃	1.0
ɯ	-	1.0
ɡ	ŋ	1.0
ŋ̍	w_ɑ̃	1.0
¹¹	²³	1.0
³⁵	²³	1.0
³³	⁵³	1.0
²¹³	³⁴	1.0
w_e	i	1.0
ũ	ø	1.0
u_ŋ	e	1.0
pʰ	pʰ	1.0
õ	ɑ̃	1.0
o_j	i	1.0
l	l	1.0
k̚	ʔ	1.0
j_o	j_ɔ	1.0
j	-	1.0
ĩ	i	1.0
h_w	f	1.0
e_ŋ	ø	1.0
b	m	1.0
ã	-	1.0
a_ŋ	ɑ̃	1.0
a_m	ø	1.0
<#_ʦʰ	<#	1.0
<#_w	<#_ɦ	1.0
<#_l	<#_n	1.0
<#	<#_ɦ	1.0
²	⁵⁵	0.895
ʦ	ʦ	0.75
m	m	0.75
⁵²	³⁴	0.731
kʰ	kʰ	0.667
a_j	e	0.667
w_a	a	0.6
o_w	u	0.6
a	o	0.6
i	i	0.579
tʰ	tʰ	0.571
s	ɕ	0.556
w	-	0.5
u	ə	0.5
o	o	0.5
n	nʲ	0.5
n	l	0.5
ẽ	i_n	0.5
ẽ	ã	0.5
a_w	ɜ	0.5
a_w	ɔ	0.5
h	ɦ	0.467
t	z	0.455
s	s	0.444
tʰ	d	0.429
p	p	0.417
w_a	u	0.4
o_w	y	0.4
h	h	0.4
u	-	0.357
k	ʨ	0.357
k	k	0.357
ŋ	ŋ	0.333
ŋ	n	0.333
kʰ	ʨʰ	0.333
a_j	z̩	0.333
e	a	0.316
⁵²	²³	0.269
e	o	0.263
ʦ	s	0.25
p	f	0.25
m	n	0.25
o	u	0.214
k	ʥ	0.214
i	z̩	0.211
e	ə	0.211
e	-	0.211
a	-	0.2
t	ʦ	0.182
t	t	0.182
t	d	0.182
w	ɥ	0.167
w	ɤ	0.167
w	ɜ	0.167
p	v	0.167
p	b	0.167
ŋ	-	0.148
u	u	0.143
o	ɔ	0.143
o	-	0.143
h	f	0.133
ŋ	ã	0.111
²	⁵	0.105
i	j_ɪ	0.105
i	-	0.105
a	ø	0.1
a	a	0.1
ŋ	ø	0.074
k	ɡ	0.071
