West Frisian	Icelandic	probability
b	b̥	0.961
d	d̥	0.524
d	ð	0.268
d	θ	0.199
f	f	0.763
f	v_ʏ	0.078
f	m	0.052
f	ç	0.052
h	h	0.811
h	ç	0.15
j	-	0.564
j	j	0.272
j	r̥	0.081
k	c	0.271
k	k_ʏ	0.222
k	k	0.175
k	kʰ	0.121
k	ʰk	0.08
l	l	0.57
l	l̥	0.244
l	ɡ̊_l	0.053
m	m	0.625
m	m_ʏ	0.276
n	n	0.495
n	-	0.206
n	n̥	0.161
n	nː	0.097
p	p	0.538
p	p_ʏ	0.295
p	v	0.125
p_ə	ʰp	1.0
r	r	0.553
r	r̥	0.342
s	s	0.942
t	t	0.459
t	ð	0.137
t	-	0.096
t	tʰ	0.088
t	r̥	0.057
t	ð_ʏ	0.053
v	v	0.699
v	kʰ_v	0.134
v	f	0.088
v	-	0.068
z	s	0.425
z	r	0.322
z	j	0.173
ŋ	ŋ	0.692
ŋ	ɡ̊	0.089
ŋ	ɲ	0.087
ŋ	-	0.074
ɕ	s	0.467
ə	a	0.503
ə	-	0.213
ə	ɪ	0.102
ə	ʏ	0.101
ɡ	ɡ̊	0.611
ɡ	ɟ̊	0.386
ɣ	ɟ̊ː	0.242
ɣ	ɟ̊	0.149
ɣ	ɡ̊ː	0.149
ɣ	-	0.141
ɣ	ɡ̊	0.141
ɪ	ŋ	0.247
ɪ	ɑu̯	0.247
ɪ	ɛː	0.133
ʋ	v	0.617
ʋ	-	0.209
ʋ	ˈai̯	0.12
ʦ	θ	0.392
ʦ	cʰ	0.341
ʦ	tʰ	0.183
ˈa	ˈaː	0.263
ˈa	ˈɑu̯	0.222
ˈa	ˈɛ	0.183
ˈa	ˈa	0.118
ˈa	ˈɔu̯	0.066
ˈa	ˈɛː	0.066
ˈa	ˈoːu̯	0.052
ˈaː	ˈɛː	0.185
ˈaː	ˈa	0.161
ˈaː	ˈœː	0.161
ˈaː	ˈɛ	0.161
ˈaː	ˈaː	0.114
ˈaː	ˈaːu̯	0.079
ˈaː	ˈɔ	0.073
ˈeː	ˈɑːu̯	0.322
ˈeː	ˈou̯	0.163
ˈeː	ˈoːu̯	0.163
ˈeː	ˈɪː	0.163
ˈi	ˈiː	0.521
ˈi	ˈɛː	0.134
ˈi	ˈɛːi̯	0.089
ˈi	ˈɛ	0.063
ˈi	ˈɪ	0.062
ˈi	ˈɪː	0.062
ˈiə̯	ˈoːu̯	0.211
ˈiə̯	ˈɑːu̯	0.199
ˈiə̯	ˈɛi̯	0.125
ˈiə̯	j	0.083
ˈiə̯	ˈɛːi̯	0.066
ˈiə̯	ˈʏː	0.063
ˈiə̯	ˈaːi̯	0.052
ˈiə̯	ˈɔː	0.05
ˈiː	ˈiː	0.476
ˈiː	ˈɪ	0.29
ˈiː	ˈɛːi̯	0.145
ˈiː	ˈœ	0.064
ˈoə̯	ˈɔ	0.464
ˈoə̯	r	0.123
ˈoə̯	ˈɑːu̯	0.087
ˈoə̯	ˈɛː	0.087
ˈoə̯	ˈa	0.06
ˈoə̯	ˈaːu̯	0.06
ˈoə̯	ˈɔː	0.06
ˈoː	ˈiː	0.415
ˈoː	ˈoːu̯	0.194
ˈoː	ˈuː	0.194
ˈu	ˈʏ	0.608
ˈu	ˈu	0.247
ˈuə̯	ˈoːu̯	0.322
ˈuə̯	ˈoːu̯_ð	0.208
ˈuə̯	ˈaːi̯	0.119
ˈuə̯	ˈɔ	0.119
ˈuə̯	ˈʏː	0.058
ˈuə̯	-	0.055
ˈuə̯	ˈɔu̯	0.055
ˈuː	ˈuː	0.421
ˈuː	ˈʏ	0.407
ˈuː	ˈiː	0.123
ˈy	ˈʏː	1.0
ˈyː	ˈi	0.392
ˈyː	ˈuː	0.21
ˈyː	ˈɔ	0.21
ˈø	ˈɪ	0.425
ˈø	ˈɛ	0.228
ˈø	ˈɑːu̯	0.122
ˈøə̯	ˈai̯	0.467
ˈɔ	ˈu	0.151
ˈɔ	ˈou̯	0.129
ˈɔ	ˈʏ	0.129
