West Frisian	Icelandic	probability
b	b̥	0.972
b	-	0.035
d	d̥	0.524
d	ð	0.268
d	θ	0.199
f	f	0.755
f	v_ʏ	0.077
f	-	0.067
f	ç	0.051
f	v	0.043
h	h	0.811
h	ç	0.15
h	-	0.04
j	-	0.591
j	j	0.269
j	r̥	0.08
j	ˈiː	0.04
j	d̥	0.03
k	c	0.279
k	k_ʏ	0.229
k	k	0.18
k	kʰ	0.125
k	ʰk	0.082
l	l	0.577
l	l̥	0.246
l	ɡ̊_l	0.054
l	-	0.039
l	nː	0.031
m	m	0.653
m	m_ʏ	0.288
m	n̥	0.047
n	n	0.488
n	-	0.224
n	n̥	0.152
n	nː	0.096
n	r̥	0.035
p	p	0.538
p	p_ʏ	0.295
p	v	0.126
p_ə	ʰp	1.0
r	r	0.567
r	r̥	0.325
r	ɪ_r̥	0.044
r	n̥	0.025
r	-	0.024
s	s	0.942
s	sː	0.038
s	v	0.026
t	t	0.447
t	-	0.15
t	ð	0.133
t	tʰ	0.099
t	ð_ʏ	0.051
v	v	0.663
v	kʰ_v	0.127
v	-	0.098
v	f	0.084
z	s	0.425
z	r	0.322
z	j	0.173
ŋ	ŋ	0.692
ŋ	ɡ̊	0.089
ŋ	ɲ	0.087
ŋ	-	0.074
ɕ	s	0.468
ə	a	0.499
ə	-	0.206
ə	ɪ	0.101
ə	ʏ	0.1
ə	ɡ̊_ʏ	0.043
ɡ	ɡ̊	0.6
ɡ	ɟ̊	0.397
ɣ	ɟ̊	0.422
ɣ	ɡ̊	0.367
ɣ	-	0.141
ɪ	ŋ	0.248
ɪ	ɑu̯	0.248
ɪ	ɛː	0.133
ʋ	v	0.617
ʋ	-	0.209
ʋ	ˈai̯	0.12
ʋ	ˈɔ	0.042
ʦ	θ	0.392
ʦ	cʰ	0.341
ʦ	tʰ	0.183
ˈa	ˈaː	0.277
ˈa	ˈɑu̯	0.234
ˈa	ˈɛ	0.193
ˈa	ˈa	0.124
ˈa	ˈɔu̯	0.07
ˈaː	ˈɛː	0.185
ˈaː	ˈa	0.161
ˈaː	ˈœː	0.161
ˈaː	ˈɛ	0.161
ˈaː	ˈaː	0.114
ˈeː	ˈɑːu̯	0.322
ˈeː	ˈou̯	0.164
ˈeː	ˈoːu̯	0.164
ˈeː	ˈɪː	0.164
ˈi	ˈiː	0.521
ˈi	ˈɛː	0.134
ˈi	ˈɛːi̯	0.089
ˈi	ˈɛ	0.064
ˈi	ˈɪ	0.062
ˈiə̯	ˈoːu̯	0.214
ˈiə̯	ˈɑːu̯	0.202
ˈiə̯	ˈɛi̯	0.127
ˈiə̯	j	0.084
ˈiə̯	ˈɛːi̯	0.066
ˈiː	ˈiː	0.476
ˈiː	ˈɪ	0.29
ˈiː	ˈɛːi̯	0.145
ˈiː	ˈœ	0.065
ˈoə̯	ˈɔ	0.489
ˈoə̯	r	0.13
ˈoə̯	ˈɑːu̯	0.089
ˈoə̯	ˈɛː	0.089
ˈoə̯	ˈaːu̯	0.062
ˈoː	ˈoːu̯	0.229
ˈoː	ˈuː	0.229
ˈoː	ˈiː	0.141
ˈu	ˈʏ	0.608
ˈu	ˈu	0.248
ˈuə̯	ˈoːu̯	0.312
ˈuə̯	ˈoːu̯_ð	0.201
ˈuə̯	ˈaːi̯	0.116
ˈuə̯	ˈɔ	0.116
ˈuə̯	ˈʏː	0.058
ˈuː	ˈuː	0.428
ˈuː	ˈʏ	0.415
ˈuː	ˈiː	0.125
ˈuː	ˈɔ	0.031
ˈy	ˈʏː	1.0
ˈyː	ˈi	0.392
ˈyː	ˈuː	0.211
ˈyː	ˈɔ	0.211
ˈø	ˈɪ	0.425
ˈø	ˈɛ	0.229
ˈø	ˈɑːu̯	0.123
ˈøə̯	ˈai̯	0.468
ˈɔ	ˈu	0.151
ˈɔ	ˈou̯	0.129
ˈɔ	ˈʏ	0.129
ˈɔ	ˈɔu̯	0.112
ˈɔ	ˈɪ	0.098
ˈɔu̯	ˈʏ	0.758
ˈɔu̯	ˈoːu̯	0.078
ˈɔː	ˈa	0.605
ˈɔː	ˈœː	0.219
ˈɔː	ˈœ	0.135
ˈɛ	ˈa	0.253
ˈɛ	ˈiː	0.253
ˈɛ	ˈœːy̯	0.124
ˈɛ	ˈɪ	0.124
ˈɛ	ˈɛ	0.113
ˈɛi̯	ˈɛ	0.364
ˈɛi̯	ˈeːi̯	0.209
ˈɛi̯	ˈœ	0.209
ˈɛi̯	ˈu	0.083
ˈɛi̯	ˈaː	0.035
ˈɛː	ˈa	0.398
ˈɛː	ˈaː	0.347
ˈɛː	ˈɪ	0.229
ˈɪ	ˈɛ	0.18
ˈɪ	ˈɪː	0.134
ˈɪ	ˈi	0.114
ˈɪ	ˈɪ	0.105
ˈɪ	ˈa	0.091
ˈɪə̯	ˈœːy̯	0.271
ˈɪə̯	ˈɛːi̯	0.169
ˈɪə̯	j	0.156
ˈɪə̯	ˈœːy̯_ð	0.109
ˈɪə̯	ˈa	0.109
ˈɵ	ˈaːi̯	0.468
χ	ʰt	0.437
χ	ɡ̊	0.129
χ	ɣ	0.129
χ	r̥	0.085
χ	rː̥	0.066
