Middle High German	English	probability
ˈɑ_ɡ	ˈeɪ̯	1.0
ˈɑ_x	ˈaɪ̯	1.0
ˈɑ_n	ˈuː	1.0
ˈɑ_l	ˈɑː	1.0
ˈøy̯	ˈiː	1.0
ˈæː	ˈiː	1.0
ˈyə̯	ˈiː	1.0
ˈy_n	ˈɪ	1.0
ˈu_r	ˈɜː	1.0
ˈou̯	ˈiː	1.0
ˈo_r	ˈɔː	1.0
ˈiə̯_ɡ	ˈaɪ̯	1.0
ˈiə̯_r	ˈɪ_ə	1.0
ˈi_r	ˈiː	1.0
ˈeː	-	1.0
ʦː	t	1.0
ʃː	ʃ	1.0
ʃ_t	s_t	1.0
ɛ	ˈiː	1.0
ə_ɡ̊	ɪ	1.0
ə_r	ə	1.0
ə_l	ɫ	1.0
ɑː	ˈɪ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
x_t	t	1.0
v_ˈo	f	1.0
v	f	1.0
tː	d	1.0
t_ə	ð	1.0
s̻ː	t	1.0
s̻	t	1.0
s_ə	z	1.0
s_t	s_t	1.0
s	s	1.0
p	p	1.0
oː	n	1.0
ou̯	ˈiː	1.0
nː	n	1.0
n_ə	n	1.0
mː	m	1.0
m	m	1.0
lː	ɫ	1.0
kʰ_n	n	1.0
k	k	1.0
j	j	1.0
i	ɪ	1.0
fː	p	1.0
d_ə	d	1.0
b_ə	v	1.0
b	b	1.0
ə	-	0.935
w	w	0.895
f	p	0.818
d	θ	0.817
ˈiː	ˈaɪ̯	0.815
r_ə	ˈɪ_ə	0.799
h	h	0.797
t	d	0.788
ˈei̯	ˈəʊ̯	0.763
ˈɑː	-	0.722
kʰ	kʰ	0.718
ˈu	ˈɐ	0.693
ʦ	tʰ	0.688
x	k	0.674
ˈiə̯	ˈiː	0.655
d̥	d	0.655
ˈi	ˈɪ	0.647
ɡ	ɡ	0.646
ˈy	ˈɪ	0.628
ˈuː	ˈaʊ̯	0.626
ˈɑ_r	ˈɑː	0.622
ˈe	ˈe	0.579
ˈyː	ˈaɪ̯	0.569
p͡f	p	0.569
kː	ʤ	0.562
n	n	0.545
xː	k	0.544
ˈɛ	-	0.542
ʃ	ʃ	0.541
l	l	0.508
ˈoː	ˈe	0.504
ˈoː	-	0.496
l	ɫ	0.492
ʃ	s	0.459
xː	ʧ	0.456
kː	-	0.438
ˈyː	-	0.431
p͡f	pʰ	0.431
n	-	0.426
ˈe	-	0.421
r	ɹ	0.397
ˈɑ_r	ˈɔː	0.378
ˈy	-	0.372
ˈo	-	0.368
ˈiə̯	ˈɪ	0.345
d̥	θ	0.345
ˈɑ	ˈæ	0.344
x	ˈaɪ̯	0.326
ˈuə̯	ˈuː	0.319
ʦ	t	0.312
ˈu	-	0.307
kʰ	ʧ	0.282
ˈɑː	ˈiː	0.278
ˈuə̯	ˈʊ	0.258
ˈuə̯	ˈɐ	0.258
ˈuː	ˈɐ	0.246
ˈei̯	ˈe	0.237
ɡ	-	0.237
ˈi	ˈaɪ̯	0.236
ˈɛ	ˈe	0.234
r	ə	0.226
ˈɑ	ˈeɪ̯	0.223
ˈo	ˈɐ	0.213
t	t	0.212
h	-	0.203
r_ə	ə	0.201
r	ˈɔː	0.188
d	ð	0.183
f	-	0.182
ˈuə̯	-	0.165
ˈo	ˈʊ	0.158
ˈo	ˈɒ	0.158
ˈuː	-	0.128
ˈiː	ˈiː	0.127
ˈɑ	-	0.126
ˈɛ	ˈɪ	0.117
ɡ	j	0.117
ˈɑ	ˈɑː	0.116
ˈɛ	ˈɛ	0.107
w	-	0.105
ˈo	ˈɔː	0.103
r	ˈɑː	0.095
ˈɑ	ˈɒ	0.088
ˈi	ˈiː	0.073
r	ˈɜː	0.068
ə	ə	0.065
ˈɑ	ˈəʊ̯	0.063
ˈiː	ɜː	0.058
