Sichuanese	Sichuanese	probability
⁵⁵_#>	#>	1.0
⁵³_#>	#>	1.0
⁵³	-	1.0
ʨʰ_j	ʦʰ	1.0
ʨʰ	-	1.0
ʨ	k	1.0
ɥ	-	1.0
ɚ	i	1.0
ɕ	s	1.0
ŋ_²¹³	ŋ_s	1.0
ŋ	ŋ	1.0
²¹³_#>	#>	1.0
²¹_#>	#>	1.0
z̩	i	1.0
z	n_i	1.0
x_w	ɡʷ	1.0
w_⁵⁵_#>	u_#>	1.0
w_ə	m_ɯ	1.0
t	d	1.0
p	p	1.0
o_²¹	w	1.0
n_²¹³	n_s	1.0
n_j	r	1.0
n_a	n_uː	1.0
m	m	1.0
kʰ	kʰ	1.0
k	k	1.0
j_²¹³	d_s	1.0
i_⁵³	r̥ʰ	1.0
e	-	1.0
<#_ŋ	<#_q	1.0
#>	ʔ_#>	1.0
pʰ	b	0.75
²¹³	d_s	0.667
w_⁵³	ʔ	0.667
f	p	0.667
ɛ	ɯː_ɡ	0.6
ʦ	ʔ_s	0.571
s	h	0.571
y	ɢ_u	0.5
y	a_ʔ	0.5
x	ɡ	0.5
tʰ	l̥ʰ	0.5
tʰ	-	0.5
ʦ	t	0.429
s	s	0.429
n_⁵³	n_ʔ	0.429
<#	<#_ŋ	0.429
ʦʰ	sʰ	0.4
ʦʰ	d	0.4
ɛ	aː_ɡ	0.4
o	oː	0.4
n	n	0.4
ə	i	0.385
a	aː	0.364
j	-	0.357
²¹³	-	0.333
x	h_m	0.333
w_⁵³	u_ʔ	0.333
w	u	0.333
w	r	0.333
w	oː	0.333
u	ɯ_ʔ	0.333
f	b	0.333
ə	-	0.308
o	u	0.3
o	aː	0.3
i	r_ɯ	0.3
i	-	0.3
n_⁵³	ʔ	0.286
n_⁵³	m_ʔ	0.286
<#	<#_ɢʷ	0.286
<#	<#_r	0.286
pʰ	pʰ	0.25
n	ŋ	0.24
n	m	0.24
u	o_ɡ	0.222
u	aː_ʔ	0.222
u	a	0.222
j	ɯː	0.214
j	r	0.214
j	l	0.214
ʦʰ	tʰ	0.2
i	r_a	0.2
i	eː	0.2
a	a	0.182
x	hʷ	0.167
ə	ɯː	0.154
ə	ɯ	0.154
n	r	0.12
a	eː	0.114
a	uː	0.091
a	ɯː	0.068
a	o	0.068
a	e	0.068
