Ripuarian	Ripuarian	probability
ˈʏ	-	1.0
ˈʊ	-	1.0
ˈøʏ̯	ˈyː	1.0
ˈyː_ɕ	rː	1.0
ˈiː_#>	ˈøː_#>	1.0
ʃ_ˈe	ɧ	1.0
ɫ_#>	l_#>	1.0
ɪ	-	1.0
ɣ̊	ɡ	1.0
ɡ̊_#>	#>	1.0
ɡ̊	d	1.0
ə_#>	#>	1.0
ɐ_#>	#>	1.0
ŋ_k	kː	1.0
z̥_#>	s_#>	1.0
z̥	sː	1.0
v̥_#>	v_#>	1.0
n_#>	#>	1.0
k_#>	ɡː_#>	1.0
e	ɔ	1.0
d̥_#>	#>	1.0
d_ɐ	r	1.0
b	b	1.0
<#_ˈɛ	<#_ˈa	1.0
<#_ʋ	<#	1.0
<#_ʀ	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
h	h	0.905
ʋ	v	0.9
ʀ	r	0.895
l	l	0.824
d̥	d	0.824
ə	a	0.81
z	s	0.762
ɫ	l	0.733
f	f	0.731
m	m	0.72
j	ɡ	0.692
ˈa	ˈa	0.667
ɣ	-	0.667
ɕ_#>	ɡ_#>	0.667
t	t	0.667
<#	<#_j	0.667
ˈiː	ˈiː	0.636
#>	a_#>	0.63
s	t	0.611
ˈɔː	ˈuː	0.6
ʃ	s	0.6
v	v	0.6
p	p	0.6
ɐ	r	0.586
ɕ	k	0.583
ˈe	ˈɪ	0.571
x	k	0.571
ˈœ	ˈʏ	0.556
ʦ	tʰ	0.545
d	tʰ	0.545
ˈɛː	-	0.5
ˈeɪ̯	ˈɛ	0.5
ˈeɪ̯	ˈeː	0.5
k	kʰ	0.5
n	n	0.483
ŋ	n	0.476
ˈuː	ˈʉː	0.462
ˈɪ	ˈɪ	0.455
ˈɛ	ˈɛ	0.438
ˈøː	ˈøː	0.429
ˈyː	-	0.429
x	tː	0.429
ˈo	ˈɵ	0.417
ˈoː	ˈuː	0.409
ˈɔː	-	0.4
ˈɔ	ˈɵ	0.4
v	v_ɛ	0.4
p	-	0.4
ˈuː	ˈøː	0.385
ˈaː	ˈɑː	0.385
ˈɔʊ̯	ˈʉː	0.375
ˈɔʊ̯	ˈøː	0.375
ˈoː	ˈoː	0.364
ˈiː	-	0.364
ˈo	-	0.333
ɣ	jː	0.333
ɕ_#>	tː_#>	0.333
ŋ	ŋː	0.333
t	-	0.333
<#	<#_ˈɵ	0.333
ˈeː	ˈʉː	0.316
ɐ	ɛ_r	0.31
ˈaː	ˈa	0.308
ˈɛː	ˈɛ	0.3
ˈɔ	ˈɔ	0.3
ˈɔ	-	0.3
ˈøː	ˈœ	0.286
ˈøː	-	0.286
ˈyː	ˈœː	0.286
ˈyː	ˈyː	0.286
ˈe	-	0.286
m	mː	0.28
ʦ	tː	0.273
ɫ	lː	0.267
ˈeː	ˈeː	0.263
ˈɔʊ̯	-	0.25
ˈo	ˈʊ	0.25
ɕ	-	0.25
k	k	0.25
ˈa	ˈɑː	0.238
z	ɧ	0.238
d	d	0.227
ˈœ	ˈɵ	0.222
ˈœ	ˈɛ	0.222
s	tː	0.222
ˈeː	-	0.211
n	nː	0.207
ˈɛː	ˈɛː	0.2
ʃ	s_k	0.2
ˈɛ	ˈeː	0.188
ˈɛ	-	0.188
ˈɪ	ˈɛ	0.182
ˈɪ	ˈiː	0.182
ˈɪ	-	0.182
ʦ	ʈː	0.182
l	j	0.176
d̥	ɖ	0.176
n	ɳ	0.172
ɕ	j	0.167
s	s	0.167
ˈuː	-	0.154
ˈaː	ˈɛː	0.154
ˈaː	-	0.154
j	ɡ_ˈʉː	0.154
j	-	0.154
f	v	0.154
ʃ	ɧ	0.15
ˈe	ˈeː	0.143
ŋ	n_d	0.143
ˈoː	-	0.136
d	-	0.136
ˈɛ	ˈa	0.125
k	ɕ	0.125
k	kː	0.125
f	-	0.115
#>	t_#>	0.111
#>	n_#>	0.111
ˈeː	ˈɛ	0.105
ˈeː	ˈyː	0.105
ʀ	-	0.105
ɐ	r_a	0.103
ʋ	-	0.1
ˈa	-	0.095
ə	ɛ	0.095
ə	-	0.095
h	j	0.095
ˈoː	ˈœ	0.091
d	ɕ	0.091
#>	ˈoː_#>	0.074
#>	r_#>	0.074
n	ˈoː_n	0.069
n	-	0.069
ˈɛ	ˈæ	0.062
