Ligurian	Ligurian	probability
ˈɛ	r_ˈi	1.0
ˈyː	-	1.0
ˈy	ˈu	1.0
ˈe_ŋ	ˈi_m	1.0
ˈe_j	e̯ˈa_r	1.0
ʧ	-	1.0
ʤ_u	ʎ	1.0
ʤ_a	ʎ_i	1.0
ʃ	ʃ_t	1.0
ɲ	-	1.0
ɥ	ˈu_t_a	1.0
ɡ_u_#>	k_#>	1.0
ŋ_#>	n_#>	1.0
v_u	w	1.0
sː	ʃ	1.0
s_u_#>	s_#>	1.0
r_n	r_n	1.0
n	n	1.0
l_u_#>	l_#>	1.0
l	l	1.0
k_r	k_r	1.0
b	b	1.0
a_ʤ	a_ʤ	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_v	<#_v	1.0
<#_t	<#_t	1.0
<#_r	<#_a	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_a	<#	1.0
r	r	0.926
k	k	0.889
#>	i_#>	0.861
ˈu	ˈu	0.824
ˈi	ˈi	0.818
ŋ	n	0.815
u_#>	#>	0.812
t	t	0.808
a	ə	0.8
p	p	0.783
ˈøː	ˈo	0.778
m	m	0.765
e	i	0.756
i	i	0.75
d	d	0.75
u	u	0.725
ʒ	ʦ	0.625
f	f	0.615
z	ʣ	0.583
s	s	0.579
ˈɔ	ˈo	0.571
ˈeː	ˈe	0.571
ʤ	ʎ	0.556
w	-	0.5
v	j	0.5
<#_l	<#_ʎ	0.5
<#_l	<#	0.5
<#	<#_a	0.5
ˈuː	ˈu	0.455
ˈaː	ˈa_r	0.45
ˈaː	ˈa	0.45
j	-	0.444
ɡ	k	0.438
ˈɔː	ˈo	0.429
ˈɔ	-	0.429
ˈa	ˈɨ	0.417
ˈɛː	ˈa	0.385
f	ç	0.385
ʒ	-	0.375
ɡ	ɡ	0.375
ˈuː	o̯ˈa	0.364
ˈiː	ˈi_r	0.357
ˈø	ˈo_k	0.333
ˈø	o̯ˈa_p	0.333
ˈø	-	0.333
ˈa	ˈa	0.333
w	ˈo	0.333
j	r	0.333
<#	<#_p	0.3
ˈe	ˈi	0.292
ˈe	e̯ˈa	0.292
ˈɔː	ˈa_v	0.286
ˈɔː	o̯ˈa	0.286
ˈiː	ˈi	0.286
ˈeː	e̯ˈa	0.286
ˈe	ˈe	0.25
z	ʤ	0.25
i	ˈi	0.25
d	ʣ	0.25
s	ʦ	0.237
m	ɲ	0.235
ˈɛː	ˈa_t	0.231
ˈɛː	-	0.231
ˈøː	-	0.222
ʤ	k_ʎ	0.222
ʤ	k	0.222
j	ə	0.222
ˈiː	j	0.214
v	-	0.214
<#	<#_ɡ	0.2
t	p_t	0.192
ɡ	-	0.188
u_#>	r_#>	0.188
ŋ	-	0.185
ˈuː	ˈu_p	0.182
ˈi	ˈu	0.182
ˈu	-	0.176
ˈe	-	0.167
ˈa	-	0.167
z	-	0.167
w	u_r	0.167
e	ə	0.156
ˈɛː	ˈe	0.154
u	i	0.15
ˈiː	ˈə	0.143
ˈeː	-	0.143
v	w	0.143
v	p	0.143
p	k	0.13
k	ʦ	0.111
a	-	0.111
ˈaː	-	0.1
p	k_e̯ˈa	0.087
ˈa	ɨ	0.083
#>	ə_#>	0.083
s	k	0.079
u	ə	0.075
r	u_r	0.074
#>	r_#>	0.056
s	ʧ	0.053
s	ʃ	0.053
