Swiss German	Swedish	probability
b̥	b	0.622
b̥	v	0.315
b̥	-	0.05
d̥	d	0.434
d̥	-	0.214
d̥	tʰ	0.209
d̥	ɕ	0.102
f	f	0.683
f	-	0.114
f	v	0.091
f	p	0.086
fː	p	1.0
h	h	0.769
h	j	0.231
i	ɪ	0.248
i	-	0.188
i	ŋ	0.188
i	ɛ	0.188
i	ɵ	0.188
j	-	1.0
k	k	0.539
k	kː	0.461
kː	kː	1.0
l	l	0.84
l	j	0.058
m	m	0.829
m	-	0.114
m	mː	0.057
mː	mː	1.0
n	n	0.75
n	-	0.114
n	nː	0.102
nː	n	1.0
p	v	1.0
p͡f	p	0.615
p͡f	pʰ	0.385
r	r	0.904
r	-	0.068
rː	ɳ	1.0
s	s	0.528
s	ɧ	0.177
s	t	0.11
s	sː	0.089
s	nː	0.059
sː	t	0.75
sː	tː	0.214
t	d	0.583
t	t	0.216
t	-	0.095
tː	-	0.71
tː	d	0.29
w	l	1.0
æ	ɔ	1.0
ŋ	ŋː	0.468
ŋ	-	0.224
ŋ	n	0.208
ŋ	ŋ	0.1
ə	a	0.675
ə	ɛ	0.188
ə	-	0.119
ɡ̊	ɡ	0.619
ɡ̊	j	0.142
ɡ̊	-	0.127
ɡ̊	ŋ	0.083
ɡ̊ː	ɡː	1.0
ʃ	s	0.715
ʃ	ɧ	0.258
ʃː	k	1.0
ʋ	v	0.707
ʋ	-	0.293
ʦ	tʰ	0.534
ʦ	tː	0.281
ʦ	d	0.053
ʦ	ɕ	0.053
ˈau̯	ˈøː	0.827
ˈau̯	ˈœ	0.126
ˈe	ˈɛ	0.346
ˈe	ˈæ	0.219
ˈe	ˈæː	0.219
ˈe	ˈʉː	0.217
ˈei̯	ˈeː	0.595
ˈei̯	ˈɛ	0.405
ˈeː	ˈæː	0.351
ˈeː	ˈøː	0.296
ˈeː	ˈeː	0.221
ˈeː	ˈoː	0.133
ˈi	ˈɪ	0.586
ˈi	ˈiː	0.153
ˈi	ˈɵ	0.061
ˈi	j	0.057
ˈiə̯	ˈʉː	0.677
ˈiə̯	ˈɛ	0.147
ˈiə̯	ˈyː	0.117
ˈiə̯	ˈæː	0.059
ˈiː	ˈiː	0.807
ˈiː	ˈɛ	0.13
ˈiː	ˈʉː	0.064
ˈo	ˈoː	0.26
ˈo	ˈɔ	0.238
ˈo	ˈuː	0.231
ˈo	ˈɵ	0.128
ˈo	ˈœ	0.1
ˈou̯	ˈɛː	0.558
ˈou̯	ˈøː	0.293
ˈou̯	ˈʉː	0.149
ˈoː	ˈøː	0.302
ˈoː	ˈuː	0.249
ˈoː	ˈoː	0.212
ˈoː	ˈœː	0.096
ˈoː	ˈʉː	0.092
ˈu	ˈʊ	0.298
ˈu	ˈɵ	0.192
ˈu	ˈœ	0.154
ˈu	ˈɔ	0.144
ˈu	ˈʏ	0.079
ˈu	ˈʉː	0.053
ˈuə̯	ˈuː	0.871
ˈuə̯	ˈʊ	0.077
ˈuə̯	ˈøː	0.053
ˈuː	ˈʉː	0.837
ˈuː	ˈɵ	0.084
ˈuː	ˈuː	0.079
ˈy	ˈœ	0.194
ˈy	ˈɪ	0.18
ˈy	ˈœː	0.167
ˈy	ˈɛ	0.124
ˈy	ˈøː	0.094
ˈy	ˈɵ	0.078
ˈy	ˈʏ	0.07
ˈyə̯	ˈøː	0.679
ˈyə̯	ˈuː	0.161
ˈyə̯	ˈœ	0.161
ˈyː	ˈyː	0.392
ˈyː	ˈʉː	0.228
ˈyː	ˈɛ	0.104
ˈyː	ˈeː	0.079
ˈyː	ˈiː	0.06
ˈyː	ˈœ	0.058
ˈæ	ˈɛ	0.483
ˈæ	ˈɛː	0.119
ˈæ	ˈøː	0.112
ˈæ	ˈuː	0.071
ˈæ	ˈæː	0.071
ˈæ	ˈoː	0.068
ˈæi̯	ˈeː	0.961
ˈæː	ʊ	0.298
ˈæː	ˈɛ	0.298
ˈæː	ˈæ	0.24
ˈæː	ˈeː	0.163
ˈø	ˈɛ	0.324
ˈø	ˈɵ	0.297
ˈø	ˈɔ	0.295
ˈø	ˈʏ	0.084
ˈøi̯	ˈoː	0.325
ˈøi̯	ˈyː	0.325
ˈøi̯	ˈœ	0.183
ˈøi̯	ˈɔ	0.167
ˈøː	ˈɵ	0.78
ˈøː	ˈœː	0.129
ˈøː	ˈøː	0.091
ˈɒ	ˈa	0.7
ˈɒ	ˈɑː	0.157
ˈɒː	ˈoː	0.528
ˈɒː	ˈɑː	0.251
ˈɒː	ˈa	0.167
ˈɒː	ˈɛː	0.055
ˈɛi̯	ˈeː	1.0
χ	kʰ	0.365
χ	k	0.249
χ	tː	0.144
