Bellunese	Lombard	probability
a	a	0.911
a	-	0.05
b	b	1.0
d	d	0.972
e	e	0.445
e	-	0.203
e	ˈi	0.053
e	ã	0.052
e	ĩ	0.052
f	f	1.0
i	ˈi	0.439
i	i	0.339
i	-	0.222
j	j	0.507
j	-	0.332
j	ʧ	0.075
j	e	0.064
k	k	0.929
l	l	0.954
m	m	1.0
n	n	0.89
n	m	0.056
o	u	0.695
o	ẽ	0.142
p	p	1.0
r	r	0.986
s	s	0.946
t	t	0.74
t	ʧ	0.204
u	-	0.599
u	y	0.256
u	ˈy	0.146
v	ʋ	0.907
w	w	0.568
w	-	0.358
w	l	0.074
z	s	0.363
z	z	0.266
z	-	0.137
z	ʃ	0.091
z	ʧ	0.06
ð	ʤ	0.802
ð	ʧ	0.131
ð	ʦ	0.067
ŋ	-	0.506
ŋ	ɲ	0.432
ŋ	m	0.062
ɡ	ɡ	0.58
ɡ	k	0.172
ɡ	d	0.169
ɡ	-	0.079
ɲ	ɲ	0.87
ɲ	ʤ	0.13
ʤ	ʤ	1.0
ʧ	ʧ	0.787
ʧ	ʤ	0.213
ˈa	ˈa	0.665
ˈa	ˈãː	0.207
ˈa	ˈaː	0.074
ˈe	ˈe	0.487
ˈe	ˈɛ	0.111
ˈe	ˈeː	0.091
ˈe	e	0.082
ˈe	ˈy	0.06
ˈi	ˈi	0.847
ˈi	ˈĩː	0.107
ˈo	ˈu	0.226
ˈo	ˈũː	0.187
ˈo	ˈyː	0.177
ˈo	ˈɔ	0.134
ˈo	ˈøː	0.112
ˈo	ˈø	0.107
ˈu	ˈyː	0.458
ˈu	ˈy	0.288
ˈu	ˈỹː	0.136
ˈu	ˈu	0.117
ˈɔ	ˈɔ	0.667
ˈɔ	ˈu	0.176
ˈɔ	ˈø	0.157
ˈɛ	ˈɛ	0.797
ˈɛ	ˈe	0.118
θ	ʧ	0.382
θ	ʃ	0.2
θ	ʦ	0.187
θ	-	0.143
θ	t	0.062
