Eastphalian	Eastphalian	probability
ˈɛə̯	ˈɑː	1.0
ˈɔʏ̯_n	ˈĩː	1.0
ˈøː	-	1.0
ˈyː	ˈaɪ̯	1.0
ˈoː_n	ˈõː	1.0
ˈeː	-	1.0
ˈaː	ˈɑː	1.0
ˈaɪ̯	ˈeː	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɣ̊	ɡ̊	1.0
ɣ	ɡ̊	1.0
ɡ	-	1.0
ɒː_n	eː	1.0
ç	ʃ	1.0
z̥	s	1.0
z	s	1.0
x	x	1.0
w	β	1.0
v̥	b̥	1.0
t_ɐ	d̥_ɐ	1.0
t_n	s_ə	1.0
s_t	ʃ_d̥	1.0
s_#>	s_#>	1.0
s	ʃ	1.0
r	r	1.0
p_#>	f_#>	1.0
n_n	n_ə	1.0
m	m	1.0
l	l	1.0
k_ə_#>	x_#>	1.0
k_#>	ʃ_#>	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
d̥	d̥	1.0
b_m	f_ə	1.0
b	b̥	1.0
<#_ˈʏ	<#_ˈu	1.0
<#_n	<#_n	1.0
#>	ʃ_#>	1.0
ɐ	ɐ	0.923
d	d̥	0.903
ə	-	0.895
v	β	0.893
ˈiː	ˈaɪ̯	0.846
ŋ	ŋ	0.833
ˈa	ˈɑ	0.786
ˈaʊ̯	ˈuː	0.778
ˈɪ	ˈɪ	0.741
ˈɛː	-	0.714
j	-	0.714
ˈuː	ˈau̯	0.667
ˈʊ	ˈu	0.643
ˈeo̯	ˈoː	0.636
ˈʏ	ˈɪ	0.625
ˈœ	ˈɛ	0.6
n	n	0.583
ˈoː	ˈɔ	0.571
ˈɔʏ̯	ˈiː	0.5
ˈɔʏ̯	-	0.5
ˈɔ	ˈɔ	0.5
ˈɒː	ˈoː	0.5
ˈɛ	ˈɛ	0.462
ˈɛɪ̯	ˈiː	0.44
k	kʰ	0.44
ˈoː	-	0.429
p	f	0.429
p	b̥	0.429
ˈœ	-	0.4
t	ʣ̥	0.382
t	s	0.382
ˈʏ	ˈaɪ̯	0.375
ˈeo̯	ˈɑː	0.364
k	ɡ̊	0.32
n	ə	0.3
ˈɛː	ˈɛː	0.286
j	j	0.286
ˈɔ	ˈɑ	0.25
ˈɔ	ˈu	0.25
ˈɒː	ˈɑ	0.25
ˈuː	-	0.25
ˈɛɪ̯	ˈɛː	0.24
t	d̥	0.235
ˈɛ	ˈɪ	0.231
ˈaʊ̯	-	0.222
ˈʊ	ˈɔ	0.214
ŋ	j_ə	0.167
ˈɛɪ̯	ˈeː	0.16
ˈɛ	ˈɛː	0.154
ˈɛ	-	0.154
ˈiː	-	0.154
ˈɪ	ˈaɪ̯	0.148
ˈʊ	-	0.143
p	pʰ	0.143
ˈɒː	ˈɑː	0.125
ˈɒː	-	0.125
ˈɛɪ̯	-	0.12
k	ʃ	0.12
k	x	0.12
ˈɪ	-	0.111
ˈa	ˈɛ	0.107
ˈa	ˈɑː	0.107
v	-	0.107
ə	ə	0.105
d	r	0.097
ˈuː	ˈau̯̯	0.083
ɐ	ˈɛ_ɐ	0.077
n	r_ə	0.067
