Eastern Lombard	Aromanian	probability
b	b	1.0
i	i	1.0
w	p	1.0
ˈy	ˈu	1.0
d	-	0.131
l	ʎ	0.221
n	n	0.951
p	p	0.681
z	ʤ	0.131
ˈe	ˈi_n	0.151
ˈe	ˈe	0.171
ˈi	r_i	0.11
a	-	0.122
a	ə	0.712
d	ʣ	0.192
d	t	0.342
j	-	0.312
p	k	0.262
s	s	0.482
ŋ	n	0.22
ʤ	k	0.162
ʧ	ʦ	0.132
ˈa	e̯ˈa	0.062
ˈa	ˈa	0.432
ˈɔ	ˈo	0.522
ˈɛ	ˈe	0.332
f	ç	0.223
k	k	0.923
o	-	0.353
r	r_u	0.073
s	ʧ	0.053
s	ʦ_i	0.053
ɡ	-	0.233
ɲ	ɲ	0.623
ˈa	ˈɨ	0.213
ˈe	e̯ˈa	0.333
ˈi	ˈi	0.633
ˈo	ˈu	0.593
a	i	0.144
s	ʃ_t	0.104
ˈu	o̯ˈa	0.354
ˈø	u	0.144
ˈø	ˈu	0.424
o	u	0.55
ˈa	ˈa_r	0.15
ˈi	ˈi_r	0.135
ˈɛ	ˈi	0.155
d	d	0.336
l	r	0.196
m	m	0.796
r	r_i	0.086
r	-	0.16
t	t	0.776
ɡ	k	0.36
ˈø	w	0.056
ˈø	ˈo	0.376
ˈɛ	e̯ˈa	0.306
f	-	0.297
j	ʎ	0.097
k	-	0.077
o	ˈu	0.097
p	-	0.057
ɲ	n	0.377
e	-	0.288
e	i	0.68
f	f	0.48
r	r	0.68
t	p_t_u	0.058
ŋ	-	0.78
ɡ	ɡ	0.408
ʤ	ɡ_ʎ	0.838
ˈe	ˈu	0.058
ˈo	ˈo	0.188
ˈɛ	ˈa	0.128
j	l	0.549
l	l	0.549
m	ɲ	0.179
s	ʦ	0.19
t	-	0.059
z	ʣ	0.869
ʧ	p_t_i	0.089
ʧ	-	0.779
ˈa	ˈɨ_n	0.109
ˈe	ˈi	0.249
ˈi	i_r	0.079
ˈo	ˈa	0.219
ˈu	ˈu	0.529
ˈɔ	ˈu	0.089
ˈɔ	o̯ˈa	0.389
ˈɛ	i	0.079
