Bellunese	Bellunese	probability
ˈu	ˈu	1.0
ʤ	ɡ	1.0
ɲ	-	1.0
ɡ_o_#>	k_#>	1.0
w	-	1.0
u	-	1.0
o_#>	#>	1.0
n	n	1.0
k_w	p	1.0
k	k	1.0
j_ˈe	ˈa	1.0
i	-	1.0
b	b	1.0
a_d	ə_t	1.0
a_#>	#>	1.0
<#_θ	<#_ʦ	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_a	1.0
r	r	0.915
m	m	0.85
o	u	0.815
#>	i_#>	0.788
p	p	0.786
a	ə	0.786
e	i	0.724
ŋ_#>	n_#>	0.714
<#_v	<#_v	0.714
ˈi	ˈi	0.706
t	t	0.7
ˈa	ˈa	0.676
ð	ʣ	0.667
s	s	0.652
ŋ	n	0.647
l_#>	r_#>	0.6
f	f	0.583
z	ʦ	0.571
d	d	0.55
θ	ʦ	0.5
ˈɛ	ˈe	0.5
ɡ	k	0.5
j	l	0.5
j	-	0.5
l	l	0.474
ˈo	ˈu	0.448
v	j	0.438
ʧ	k_ʎ	0.429
ˈe	e̯ˈa	0.424
l	r	0.421
l_#>	#>	0.4
ˈe	ˈi	0.364
ˈɛ	-	0.357
θ	-	0.333
ð	ʤ	0.333
v	-	0.312
ˈɔ	ˈo	0.3
ˈɔ	o̯ˈa	0.3
t	p_t	0.3
d	ʣ	0.3
ʧ	ʎ	0.286
ʧ	k	0.286
ŋ_#>	m_#>	0.286
z	-	0.286
<#_v	<#	0.286
ˈo	ˈo	0.276
ɡ	ɡ	0.25
ɡ	-	0.25
f	ç	0.25
s	ʃ	0.217
ˈa	ˈɨ	0.216
p	k	0.214
ˈe	ˈe	0.212
ˈo	o̯ˈa	0.207
ˈɔ	ˈu_k	0.2
ˈɔ	ˈa_v	0.2
o	-	0.185
ˈi	-	0.176
θ	ʧ	0.167
f	-	0.167
m	ɲ	0.15
d	t	0.15
ˈɛ	j	0.143
z	z	0.143
e	-	0.138
s	ʃ_t	0.13
v	w	0.125
v	p	0.125
ˈi	ˈə	0.118
ŋ	ŋ	0.118
ŋ	n_e	0.118
ŋ	m	0.118
ˈa	-	0.108
l	-	0.105
#>	u_#>	0.096
a	ʎ_i	0.095
#>	ə_#>	0.077
a	-	0.071
ˈo	-	0.069
e	r	0.069
e	e̯ˈa	0.069
r	i_r	0.051
