Bokmål Norwegian	Bokmål Norwegian	probability
ˈʊ	ˈu	1.0
ˈœʏ̯	-	1.0
ˈæ	-	1.0
ʈː	r_t	1.0
ʈ	t	1.0
ɾ_ˈɛ	r_ˈi	1.0
ɾ_ˈœ	r_ˈɑu̯	1.0
ɳ	r_n	1.0
ɪ	a	1.0
ə_ɾ	r_u	1.0
ŋ	-	1.0
ç	k	1.0
tʰ	θ	1.0
sː	-	1.0
s	s	1.0
pː	-	1.0
m	m	1.0
l	l	1.0
kː	ŋ_k	1.0
kʰ	kʷ	1.0
k_t	x_t	1.0
i	-	1.0
h	x	1.0
f	ɸ	1.0
b	b	1.0
<#_ˈɔ	<#_ˈu	1.0
<#_ˈɑ	<#_ˈɑ	1.0
<#_ʋ	<#_w	1.0
<#_tʰ	<#_t	1.0
<#_pʰ	<#_p	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_j	<#_ˈe	1.0
ˈɪ	ˈi	0.867
ˈʉ	ˈu	0.857
ˈɑː	ˈɑ	0.833
ˈyː	ˈeu̯	0.833
ɡː	ɣ_j	0.833
mː	m	0.833
n	n	0.826
ˈæː	ˈe	0.8
ɾ	r	0.783
ˈæɪ̯	ˈɑi̯	0.778
p	p	0.778
d	d	0.762
ɡ	ɣ	0.75
ŋː	ɡ	0.75
t	t	0.708
ˈɑ	ˈɑ	0.7
ˈʏ	ˈu	0.667
ˈʉː	ˈuː	0.667
<#	<#_w	0.667
ə_#>	n_ɑ̃_#>	0.625
ˈiː	ˈiː	0.588
ʂ	s_k	0.571
ˈœ	ˈu	0.545
tː	t	0.545
ˈuː	ˈɔː	0.526
ˈøː	ˈɑu̯	0.471
ˈoː	ˈɛː	0.471
tː	x_t	0.455
ʂ	s	0.429
ˈɛ	ˈɑ	0.381
ˈɔ	ˈɑ	0.375
ˈɔ	ˈu	0.375
ə_#>	#>	0.375
#>	ɑ̃_#>	0.359
k	k	0.35
nː	n_d	0.348
ə	ɑ_n	0.338
ˈɛ	ˈe	0.333
ˈeː	-	0.333
<#	<#_x	0.333
#>	z_#>	0.321
j	ɣ	0.308
j	-	0.308
nː	nː	0.304
ˈœ	-	0.273
ʋ	w	0.273
ˈuː	ˈu	0.263
ˈɔ	ˈe	0.25
ɡ	ɣ_ɑ	0.25
ŋː	ŋ	0.25
lː	lː	0.25
lː	l	0.25
ˈɛ	ˈɑi̯	0.238
ˈøː	ˈɔː	0.235
ˈiː	ˈi	0.235
#>	ɑ_z_#>	0.234
j	x	0.231
ˈʏ	ˈu_kː	0.222
ˈʉː	-	0.222
ˈæɪ̯	ˈe_ɣ	0.222
ˈeː	ˈɑi̯	0.222
ˈeː	ˈe_w	0.222
ˈeː	ˈe	0.222
p	p_ɑ	0.222
ˈæː	ˈeː	0.2
k	k_ɑ	0.2
k	k_i	0.2
ˈœ	ˈɔː	0.182
ʋ	β_ɑ	0.182
ʋ	-	0.182
ˈøː	ˈɑu̯_ð	0.176
ˈoː	ˈɑ_x	0.176
ˈiː	n	0.176
nː	n_θ	0.174
nː	n	0.174
n	n_ɑ	0.174
ə	ɔ̃ː	0.169
ˈɑː	ˈɑ_ð	0.167
ˈyː	ˈiu̯	0.167
ɡː	jː	0.167
t	t_s	0.167
mː	mː	0.167
lː	l_θ	0.167
lː	l_β	0.167
lː	l_d	0.167
ə	ɔːː	0.155
j	ˈe	0.154
k	k_s	0.15
ˈʉ	ˈu_ŋ	0.143
d	ð	0.143
ʋ	ɑ	0.136
ʋ	xʷ	0.136
ˈɪ	ˈi_ŋ	0.133
t	t_ɑ	0.125
ˈøː	ˈɑi̯_w	0.118
ˈoː	ˈɑː	0.118
ˈoː	ˈɑ	0.118
ˈoː	-	0.118
ˈʏ	ɡʷ	0.111
ˈʉː	ˈeu̯	0.111
ˈuː	ˈɔː_ð	0.105
ˈuː	-	0.105
ˈɑ	ˈɑ_ŋ	0.1
ˈɑ	ˈɑ_t	0.1
ˈɑ	ˈɑ_m	0.1
k	kʷ_ɑ	0.1
d	-	0.095
ʋ	β	0.091
ə	ɑ	0.085
ɾ	r_ɑ	0.067
ə	i	0.056
ə	e	0.056
