Bavarian	Swiss German	probability
a	ə_r	0.541
a	ə	0.349
a	r	0.086
a	-	0.034
b̥	b̥	1.0
d	d̥	1.0
d̥	d̥	0.471
d̥	t	0.454
d̥	tː	0.071
f	f	0.932
f	p͡f	0.037
f	fː	0.036
h	h	0.941
h	-	0.061
i	i	0.335
i	l	0.221
j	l	0.714
j	j	0.145
j	w	0.083
j	-	0.054
k	k	0.715
k	χ	0.138
kʰ	χ	0.919
kʰ	-	0.078
l	l	0.897
l	-	0.093
m	m	0.779
m	-	0.194
m	mː	0.036
n	n	0.497
n	ə	0.36
n	-	0.093
n	nː	0.028
n	ŋ	0.028
n_d̥	ŋ	1.0
p	p	0.363
p	p͡f	0.275
p͡f	p͡f	0.723
p͡f	p	0.204
r	r	1.0
s	s	0.685
s	sː	0.246
s	ʃ	0.061
t	t	0.864
t	-	0.085
t	tː	0.049
x	χ	1.0
ç	χ	1.0
ŋ	ŋ	0.656
ŋ	ɡ̊_ə	0.127
ŋ	ɡ̊	0.091
ŋ	i	0.084
ɐ	r	0.771
ɐ	-	0.081
ɐ	ˈiə̯	0.081
ɐ	rː	0.064
ə	ə	0.891
ə	-	0.068
ɡ̊	ɡ̊	0.902
ɡ̊	-	0.055
ɡ̊	χ	0.047
ɪ	i	1.0
ʃ	ʃ	1.0
ʋ	ʋ	1.0
ʦ	ʦ	1.0
ˈa	ˈɒ	0.383
ˈa	ˈa	0.3
ˈa	ˈe	0.159
ˈa	ˈau̯	0.108
ˈai̯	ˈiː	0.418
ˈai̯	ˈyː	0.347
ˈai̯	ˈei̯	0.086
ˈai̯	ˈøi̯	0.07
ˈai̯	ˈɛi̯	0.046
ˈau̯	ˈuː	0.852
ˈau̯	ˈou̯	0.066
ˈau̯	ˈau̯	0.066
ˈaː	ˈou̯	0.438
ˈaː	ˈau̯	0.209
ˈaː	ˈɒː	0.182
ˈaː	ˈo	0.123
ˈe	ˈæ	0.598
ˈe	ˈøː	0.174
ˈe	ˈæː	0.098
ˈe	ˈiə̯	0.098
ˈeɐ̯	ˈuə̯	0.5
ˈeɐ̯	ˈyə̯	0.5
ˈeː	ˈæː	0.388
ˈeː	ˈæ	0.304
ˈeː	ˈøː	0.152
ˈeː	ˈeː	0.152
ˈi	ˈi	0.652
ˈi	ˈy	0.127
ˈi	ˈyː	0.05
ˈi	-	0.05
ˈi	ˈɛi̯	0.044
ˈiɐ̯	ˈyː	0.372
ˈiɐ̯	ˈyə̯	0.324
ˈiɐ̯	ˈy	0.131
ˈiɐ̯	ˈiə̯	0.088
ˈiː	ˈyː	0.5
ˈiː	ˈi	0.5
ˈo	ˈɒ	0.324
ˈo	ˈo	0.324
ˈo	ˈø	0.104
ˈo	ˈa	0.079
ˈo	ˈu	0.079
ˈou̯	ˈoː	1.0
ˈoɐ̯	ˈæi̯	0.18
ˈoɐ̯	ˈo_r	0.153
ˈoɐ̯	ˈɒː	0.13
ˈoɐ̯	ˈoː	0.13
ˈoɐ̯	ˈei̯	0.088
ˈoː	ˈɒː	0.422
ˈoː	ˈoː	0.237
ˈoː	ˈɒ	0.179
ˈoː	ˈo	0.121
ˈu	ˈu	0.585
ˈu	ˈyː	0.114
ˈu	ˈoː	0.099
ˈu	ˈøi̯	0.099
ˈu	ˈi	0.078
ˈuɐ̯	ˈuə̯	0.796
ˈuɐ̯	ˈyə̯	0.202
ˈy	ˈy	0.491
ˈɑː	ˈæː	0.491
ˈɒ	ˈɒ	0.786
ˈɒ	ˈæ	0.211
ˈɒː	ˈɒː	0.841
ˈɒː	ˈoː	0.105
ˈɔ	ˈo	0.392
ˈɔ	ˈɒ	0.274
ˈɔ	ˈɒː	0.233
ˈɔ	ˈou̯	0.089
ˈɛ	ˈæ	0.498
ˈɛ	ˈe	0.212
ˈɛ	ˈø	0.126
ˈɛ	ˈo	0.096
ˈɛː	ˈeː	1.0
ˈʏ	ˈy	0.241
