Sichuanese	Sichuanese	probability
⁵⁵	⁵³	1.0
ʨ	ʨ	1.0
ʦ	ʦ	1.0
ɥ	ɥ	1.0
ɚ	nʲ_i	1.0
ɕ	ɕ	1.0
z	nʲ	1.0
y	y	1.0
v	m	1.0
p	p	1.0
nʲ	nʲ	1.0
m	m	1.0
kʰ	kʰ	1.0
j_ɛ	i	1.0
i	i	1.0
e	-	1.0
a_w	ɔ	1.0
a_j	e	1.0
<#_w	<#	1.0
<#	<#_ɦ	1.0
ʨʰ	ʨʰ	0.833
o	o	0.8
n	n	0.8
k	k	0.8
a_ŋ	ɑ̃	0.8
ə	ə	0.778
ŋ	ŋ	0.75
z̩	z̩	0.75
pʰ	b	0.75
a	a	0.727
<#_n	<#_l	0.714
a_n	ø	0.692
tʰ	tʰ	0.667
f	f	0.667
ʦʰ	ʦʰ	0.636
s	s	0.636
⁵³	³⁴	0.63
j	j	0.615
²¹³	²³	0.583
²¹	²³	0.574
ə_w	ɜ	0.571
x	ɦ	0.545
ɛ	o	0.5
w	-	0.5
t	t	0.5
t	d	0.5
x	h	0.455
ə_w	ɤ	0.429
²¹³	³⁴	0.417
u	u	0.417
j	-	0.385
⁵³	²³	0.37
ʦʰ	z	0.364
s	z	0.364
u	o_ʔ	0.333
tʰ	d	0.333
f	v	0.333
a_n	e	0.308
<#_n	<#	0.286
a	-	0.273
ɛ	ə_ʔ	0.25
ɛ	a_ʔ	0.25
ŋ	-	0.25
z̩	ʔ	0.25
u	ə_ʔ	0.25
pʰ	pʰ	0.25
ə	-	0.222
o	u	0.2
k	ɡ	0.2
a_ŋ	ã	0.2
ʨʰ	ʥ	0.167
w	w	0.167
w	o	0.167
w	m	0.167
²¹	⁵⁵	0.13
n	-	0.12
²¹	¹²	0.111
²¹	ʔ_⁵⁵	0.093
n	l	0.08
²¹	ʔ_¹²	0.056
