Latin	Italian	probability
ˈyː	ˈi	1.0
ˈuː	ˈu	1.0
ˈu	-	1.0
ˈoː_t	ˈu_tː	1.0
ˈoe̯	ˈe	1.0
ˈo	-	1.0
ˈi	ˈi	1.0
ˈe	ˈi	1.0
ˈaː	ˈa	1.0
ˈau̯	ˈɔ	1.0
ˈae̯	ˈɛ	1.0
ˈa_p	ˈa	1.0
ˈa_m	ˈa_m	1.0
ˈa	ˈa	1.0
ʊ̃ː	o	1.0
ɫ_ɛ̃ː	l_e	1.0
ɫ_t	l_t	1.0
ɫ_s	l_s	1.0
ɪ̃	i	1.0
ɪ_k	k	1.0
ɡʷ	ɡ_w	1.0
ɡ_ɪ	dː	1.0
ɡ_n	ɲː	1.0
ɛ̃ː	e	1.0
ɛ̃	e	1.0
ɛ_r	r	1.0
ɔ_r	o_r	1.0
ɔ_n	o_n	1.0
ɔ	o	1.0
ŋ_ɡ	n_ʤ	1.0
ŋ_n	ɲː	1.0
ŋ_k	n	1.0
ŋ	ŋ	1.0
tː	tː	1.0
tʰ	d	1.0
t_ɛ̃ː	t_e	1.0
sː	sː	1.0
s_ˈɛ	s_ˈɛ	1.0
s_ɛ	s_e	1.0
s_k	ʃː	1.0
rː	rː	1.0
r_ˈaː	r_ˈa	1.0
r_ˈa	r_ˈa	1.0
r_ʊ̃ː	r_o	1.0
r_n	r_n	1.0
r_k	r_k	1.0
r_ãː	r_a	1.0
p_ˈaː	p_ˈa	1.0
p_ʊ̃ː	p_o	1.0
p_t	tː	1.0
oː	o	1.0
o	-	1.0
nː	nː	1.0
n_ɛ	n_e	1.0
n_i	ɲː	1.0
n_a	n_o	1.0
mː	mː	1.0
lʲː	lː	1.0
lʲ_ˈɪ	l_ˈe	1.0
lʲ_i	ʎː	1.0
lʲ	l	1.0
kː	kː	1.0
k_ˈa	k_ˈa	1.0
k_ʊ	kː	1.0
k_ɫ	k_j	1.0
k_t	tː	1.0
k_r	k_r	1.0
k_i	ʧː	1.0
k_a	k_a	1.0
j	ʤ	1.0
iː	i	1.0
f	f	1.0
e_ʊ̃ː	o	1.0
d_ʊ̃ː	d_o	1.0
d_ɪ	d_i	1.0
d_ɛ̃ː	d_e	1.0
bː	bː	1.0
b_ʊ	bː	1.0
ãː	a	1.0
aː	a	1.0
ae̯	e	1.0
a	a	1.0
n	n	0.954
ˈoː	ˈo	0.951
r	r	0.936
ˈiː	ˈi	0.929
p	p	0.925
m	m	0.907
ˈɛ	ˈɛ	0.906
ˈeː	ˈe	0.899
ɛ	e	0.878
s	s	0.87
ˈɪ	ˈe	0.846
d	d	0.831
ʊ	o	0.818
t	t	0.789
w	v	0.785
k_ɛ̃ː	ʧ_e	0.773
b	b	0.684
d_i	j	0.667
ˈʊ	ˈo	0.653
i	-	0.649
eː	e	0.593
ɫ	l	0.59
e	-	0.527
t_i	ʦ	0.525
ˈɔ	ˈɔ	0.52
t_i	ʦː	0.475
e	j	0.473
ɡ	ʤ	0.416
eː	i	0.407
ɪ	-	0.391
ɫ	j	0.378
ɪ	i	0.374
k	k	0.371
i	j	0.351
kʷ	w	0.34
ɡ	-	0.336
kʷ	k_w	0.333
d_i	ʣː	0.333
ˈɔ	w_ˈɔ	0.296
k	ʧ	0.263
ɪ	e	0.235
k_ɛ̃ː	ʧ	0.227
b	v	0.218
k	ɡ	0.216
ʊ	-	0.182
w	-	0.18
ˈʊ	ˈɔ	0.176
ˈʊ	ˈu	0.171
d	-	0.169
kʷ	k	0.163
kʷ	-	0.163
t	-	0.161
ˈɪ	ˈi	0.154
ˈɔ	ˈo	0.131
s	z	0.13
ɡ	ʤː	0.128
ɡ	ɡ	0.12
ˈeː	-	0.101
b	-	0.098
m	-	0.093
k	ʧː	0.085
ɛ	i	0.078
ˈiː	ˈe	0.071
ˈɛ	-	0.061
ˈɔ	-	0.053
r	-	0.053
