Alsatian	Ripuarian	probability
b̥	b	0.897
b̥	v	0.054
d̥	d	0.644
d̥	k	0.271
d̥	t	0.085
e	ə	1.0
f	f	0.976
h	h	1.0
i	ə	0.396
i	ɪ	0.324
i	ɐ	0.145
i	-	0.135
j	j	0.71
j	n	0.17
j	ɕ	0.12
k	k	0.741
k	ɕ	0.169
k	-	0.09
kʰ	k	0.966
l	l	0.989
m	m	0.804
m	ɐ_m	0.138
n	n	0.788
n	ŋ	0.177
p	p	1.0
p͡f	p	1.0
s	s	0.622
s	z	0.355
t	t	0.582
t	d	0.29
t	k	0.128
v	v	0.531
v	-	0.244
v	ɣ	0.225
w	ʋ	0.715
w	-	0.151
w	ˈœ	0.134
x	x	0.873
x	-	0.127
ŋ	ŋ	1.0
ə	ə	0.519
ə	ɐ	0.446
ɡ̊	j	0.823
ɡ̊	k	0.154
ʁ	-	0.57
ʁ	ʀ	0.43
ʃ	ʃ	0.597
ʃ	ɕ	0.281
ʋ	ʋ	0.912
ʋ	-	0.057
ʦ	ʦ	1.0
ˈai̯	ˈøː	1.0
ˈaː	ˈaː	0.5
ˈaː	ˈɛː	0.5
ˈe	ˈɛ	0.366
ˈe	ˈœ	0.239
ˈe	ˈɪ	0.139
ˈe	ˈɛː	0.129
ˈe	ˈe	0.092
ˈei̯	ˈeː	0.455
ˈei̯	ˈeɪ̯	0.443
ˈei̯	ˈɔʏ̯	0.102
ˈeː	ˈiː	0.459
ˈeː	ˈyː	0.363
ˈeː	ˈeː	0.14
ˈi	ˈɪ	0.228
ˈi	ˈʏ	0.213
ˈi	ˈe	0.197
ˈi	ˈœ	0.162
ˈi	ˈa	0.073
ˈi	ˈɛ	0.07
ˈiː	ˈøː	0.422
ˈiː	ˈeː	0.217
ˈiː	ˈiː	0.189
ˈiː	ˈɪ	0.063
ˈiː	ˈʏ	0.059
ˈo	ˈɔ	0.851
ˈo	ˈo	0.088
ˈo	ˈaʊ̯	0.061
ˈoː	ˈuː	0.522
ˈoː	ˈoː	0.283
ˈoː	ˈɔ	0.195
ˈu	ˈo	0.5
ˈu	ˈʊ	0.225
ˈu	ˈu	0.127
ˈu	ˈœ	0.093
ˈu	ˈyː	0.054
ˈyː	ˈuː	0.959
ˈæ	ˈɛ	0.549
ˈæ	ˈɛː	0.451
ˈæː	ˈeː	0.412
ˈæː	ˈɛː	0.401
ˈæː	ˈoː	0.12
ˈæː	ˈiː	0.068
ˈø	ˈu	1.0
ˈøi̯	ˈaʊ̯	1.0
ˈøː	ˈoː	1.0
ˈœ	ˈoː	1.0
ˈɒ	ˈa	0.82
ˈɒ	ˈaː	0.18
ˈɒː	ˈaː	0.481
ˈɒː	ˈa	0.276
ˈɒː	ˈɛ	0.125
ˈɒː	ˈøː	0.072
ˈɔi̯	ˈaʊ̯	1.0
ˈəi̯	ˈeː	0.871
ˈəi̯	ˈɛ	0.076
ˈəi̯	ˈeɪ̯	0.054
ˈɛ	ˈɛ	1.0
ˈʊː	ˈoː	0.908
ˈʊː	ˈaʊ̯	0.092
