Alsatian	Ripuarian	probability
b̥	b	0.866
b̥	f	0.067
b̥	v	0.067
d̥	d	0.684
d̥	k	0.209
d̥	t	0.068
d̥	-	0.044
e	ə	1.0
f	f	0.962
f	v	0.042
h	h	1.0
i	ə	0.351
i	ɪ	0.299
i	ɐ	0.133
i	-	0.127
j	j	0.646
j	n	0.114
j	ɕ	0.099
k	k	0.687
k	ɕ	0.176
k	-	0.113
kʰ	k	0.908
kʰ	-	0.085
l	l	0.899
l	ə_l	0.087
l	n	0.03
m	m	1.0
n	n	0.797
n	ŋ	0.171
n	v	0.03
p	p	1.0
p͡f	p	1.0
s	s	0.596
s	z	0.388
s	t	0.03
t	t	0.535
t	d	0.26
t	-	0.135
t	k	0.062
v	v	0.45
v	-	0.207
v	ɣ	0.191
w	ʋ	1.0
x	x	0.833
x	-	0.136
ŋ	ŋ	1.0
ə	ə	0.598
ə	ɐ	0.346
ə	-	0.051
ɡ̊	j	0.778
ɡ̊	k	0.141
ɡ̊	ɣ	0.069
ʁ	-	0.542
ʁ	ʀ	0.455
ʁ_i	ɐ	0.238
ʃ	ʃ	0.665
ʃ	ɕ	0.127
ʃ	s	0.12
ʃ	x	0.05
ʃ	t	0.038
ʃ_t	ɕ	1.0
ʃ_w	z	0.488
ʋ	ʋ	0.872
ʋ	-	0.072
ʋ	v	0.058
ʦ	ʦ	1.0
ˈai̯	ˈøː	0.238
ˈaː	ˈɛː	0.322
ˈaː	ˈaː	0.322
ˈe	ˈɛ	0.499
ˈe	ˈœ	0.199
ˈe	ˈe	0.114
ˈe	ˈɪ	0.086
ˈe	ˈɛː	0.084
ˈei̯	ˈeː	0.341
ˈei̯	ˈeɪ̯	0.333
ˈei̯	ˈɔʏ̯	0.077
ˈeː	ˈiː	0.504
ˈeː	ˈyː	0.267
ˈeː	ˈeː	0.107
ˈeː	ˈe	0.077
ˈi	ˈe	0.27
ˈi	ˈɪ	0.264
ˈi	ˈʏ	0.181
ˈi	ˈœ	0.105
ˈi	ˈyː	0.051
ˈiː	ˈøː	0.263
ˈiː	ˈiː	0.221
ˈiː	ˈeː	0.216
ˈiː	ˈyː	0.112
ˈiː	ˈɪ	0.074
ˈiː_ʁ	ˈiː	1.0
ˈo	ˈɔ	0.814
ˈo	ˈaʊ̯	0.098
ˈo	ˈo	0.069
ˈo_ʁ	ˈoː	1.0
ˈoː	ˈuː	0.551
ˈoː	ˈoː	0.286
ˈoː	ˈɔ	0.148
ˈoː_ʁ	ˈoː	1.0
ˈu	ˈo	0.31
ˈu	ˈʊ	0.224
ˈu	ˈœ	0.195
ˈu	ˈu	0.148
ˈu	ˈyː	0.112
ˈyː	ˈuː	0.922
ˈyː	ˈɔ	0.059
ˈæ	ˈɛː	0.542
ˈæ	ˈɛ	0.401
ˈæː	ˈɛː	0.448
ˈæː	ˈeː	0.219
ˈæː	ˈiː	0.141
ˈæː	ˈoː	0.095
ˈø	ˈu	0.238
ˈøi̯	ˈaʊ̯	0.238
ˈøː	ˈoː	0.488
ˈœ	ˈoː	1.0
ˈɒ	ˈa	0.77
ˈɒ	ˈaː	0.223
ˈɒː	ˈaː	0.526
ˈɒː	ˈa	0.182
ˈɒː	ˈøː	0.12
ˈɒː	ɐ	0.087
ˈɒː	ˈɛː	0.062
ˈɔi̯	ˈaʊ̯	0.238
ˈəi̯	ˈeː	0.737
ˈəi̯	ˈɛ	0.113
ˈəi̯	ˈeɪ̯	0.113
ˈɛ	ˈɛ	0.488
ˈʊː	ˈoː	0.873
ˈʊː	ˈaʊ̯	0.126
