Upper Franconian	Upper Franconian	probability
β	-	1.0
ˈɪ	ˈi	1.0
ˈɘ	ʁ	1.0
ˈoː_ç	ˈø	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ɪ	i	1.0
ɣ̊	x	1.0
ɡ̊_n	k	1.0
ə	ə	1.0
ɐ_n	ʁ_n	1.0
ç_#>	#>	1.0
ç	ʃ	1.0
z̥	s	1.0
v̥	f	1.0
t	t	1.0
r_ˈɪ	ʁ_ˈu	1.0
r	ʁ	1.0
n_s	n_z̥	1.0
n_a	n_ə	1.0
n_#>	#>	1.0
m_#>	#>	1.0
l_d̥	l_t	1.0
l	l	1.0
j	j	1.0
i	i	1.0
h	h	1.0
f	f	1.0
eː	eː	1.0
b̥͡v̥	p͡f	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
#>	n_#>	1.0
m	m	0.962
b̥	b̥	0.947
ˈaʊ̯	ˈyː	0.889
ˈʊ	ˈu	0.882
v	ʋ	0.875
ˈɒ	ˈɒ	0.846
s	s	0.788
ŋ	ŋ	0.692
ˈɛː	ˈæː	0.667
ˈɛ	ˈe	0.667
ɾ	t	0.6
n	n	0.595
ˈaː	ˈəi̯	0.562
ɐ	ə_ʁ	0.543
ˈɔ	ˈo	0.533
d̥	t	0.516
ˈuː	ˈʊː	0.5
ˈuː	ˈoː	0.5
ˈaɪ̯	ˈiː	0.5
x	x	0.5
a	ə	0.5
a	-	0.5
d̥	d̥	0.484
ˈiː	ˈiː	0.474
ɐ	ʁ	0.457
ɾ	d̥	0.4
ˈoː	ˈoː	0.389
ˈeː	ˈæ	0.375
ɡ̊	kʰ	0.375
ɡ̊	ɡ̊	0.344
ˈɛː	ˈai̯	0.333
ˈoː	ˈɒː	0.333
ˈaɪ̯	ˈi	0.333
n	ə	0.333
ŋ	j_ə	0.308
x	ʃ	0.3
ˈɔ	-	0.267
ˈeː	ˈæː	0.25
ˈeː	-	0.25
ˈaː	ˈʊː	0.25
ɡ̊	k	0.219
s	z̥	0.212
ˈiː	ˈeː	0.211
ˈɛ	ˈæ	0.2
ˈɔ	ˈu	0.2
x	-	0.2
ˈoː	-	0.167
ˈaɪ̯	ˈei̯	0.167
ˈiː	ˈi	0.158
ˈiː	-	0.158
ˈɛ	-	0.133
ˈeː	ˈɛ	0.125
ˈaː	ˈei̯	0.125
v	w	0.125
ˈʊ	-	0.118
ˈoː	ˈɒ	0.111
ˈaʊ̯	ˈøi̯	0.111
ˈɒ	ˈɒː	0.077
ˈɒ	-	0.077
n	n_d̥	0.071
ˈaː	ˈɔi̯	0.062
ɡ̊	-	0.062
b̥	p	0.053
