Franco-Provençal	Bellunese	probability
a	a	0.846
a	-	0.056
a	w_a	0.055
b	b	0.984
d	d	0.876
d	s	0.06
d	ð	0.053
e	-	0.663
e	ˈa	0.162
e	i	0.101
e	u	0.074
eː	a	0.744
eː	-	0.256
f	f	0.892
f	-	0.097
i	a	0.648
i	i	0.203
i	ˈa	0.149
ĩ	i	1.0
j	j	0.558
j	-	0.179
j	ʧ	0.161
j	l	0.06
k	k	0.756
k	-	0.204
l	l	0.84
l	j	0.095
m	m	0.929
n	n	0.844
n	-	0.086
n	ŋ	0.058
o	-	0.37
o	o	0.355
o	e	0.079
o	ɡ_o	0.07
o	o_l	0.067
o	ˈa	0.058
oː	o	1.0
p	p	0.956
s	s	0.473
s	θ	0.428
t	t	0.553
t	s_t	0.286
u	ˈu	0.506
u	o	0.494
v	v	0.887
v	v_ˈi	0.062
w	ˈo	0.32
w	-	0.287
w	t	0.198
w	w	0.072
w	ˈo_ɡ	0.058
y	u	1.0
z	z	0.994
ð	ð	0.355
ð	r	0.257
ð	d	0.131
ð	ɡ	0.124
ð	v	0.084
ɔ	o	0.757
ɔ	a	0.169
ɔ	ˈo	0.075
ɔ̃	-	0.5
ɔ̃	o	0.5
ə	a	0.407
ə	e	0.239
ə	e_r	0.2
ə	-	0.084
ɛ	ˈɛ	1.0
ɛ̃	e	1.0
ɡ	ɡ	0.818
ɡ	k	0.142
ɲ	ɲ	0.893
ɲ	n	0.107
ʁ	r	0.842
ʁ	-	0.087
ʃ	k	0.572
ʃ	-	0.11
ʃ	θ	0.084
ʃ	ɡ	0.064
ʃ	s	0.061
ʃ	k_ˈa	0.056
ʃ	z_e	0.054
ʎ	j	0.379
ʎ	-	0.354
ʎ	ʧ	0.139
ʎ	ʤ	0.128
ʒ	ð	0.398
ʒ	d	0.24
ʒ	-	0.176
ʒ	ɲ	0.168
ʦ	s	1.0
ˈa	ˈa	0.789
ˈa	ɡ_o	0.084
ˈa	ˈa_t	0.084
ˈe	ˈi	0.286
ˈe	ˈɔ	0.212
ˈe	-	0.202
ˈe	e	0.153
ˈe	ˈe	0.06
ˈe	ˈu	0.056
ˈeː	ˈe	0.741
ˈeː	ˈɛ	0.196
ˈeː	ˈa	0.063
ˈi	ˈe	0.289
ˈi	ˈi	0.266
ˈi	ˈi_r	0.106
ˈi	e	0.084
ˈi	ˈɛ	0.084
ˈi	o	0.061
ˈĩ	ˈi_ŋ	0.836
ˈĩ	ŋ	0.099
ˈĩ	a	0.065
ˈo	ˈo	0.485
ˈo	ˈe	0.172
ˈo	ˈɔ	0.15
ˈo	ˈu	0.133
ˈo	ˈɛ	0.06
ˈoː	ˈɔ	0.444
ˈoː	ˈo	0.162
ˈoː	l	0.14
ˈoː	ˈa_l	0.129
ˈoː	ˈu	0.105
ˈu	ˈo	0.324
ˈu	ˈɔ	0.312
ˈu	ˈu	0.219
ˈu	o	0.145
ˈy	ˈo	1.0
ˈø	o	0.409
ˈø	ˈo	0.175
ˈø	ˈɔ	0.164
ˈø	ˈu	0.159
ˈø	ˈɛ	0.093
ˈɑ̃	ˈa_ŋ	0.857
ˈɑ̃	-	0.102
ˈɔ	ˈa	0.463
ˈɔ	ˈo	0.334
ˈɔ	ˈi	0.102
ˈɔ	ˈe	0.051
ˈɔ	ˈu	0.05
ˈɔ̃	ˈo_ŋ	0.554
ˈɔ̃	ˈu	0.316
ˈɔ̃	ˈo	0.13
ˈɛ	ˈe	0.381
ˈɛ	ˈɛ	0.273
ˈɛ	-	0.148
ˈɛ	ˈi	0.083
ˈɛ	ˈa	0.072
ˈɛː	ˈa	0.788
ˈɛː	ˈe	0.212
ˈɛ̃	ŋ_t	0.388
ˈɛ̃	ˈe_ŋ	0.36
ˈɛ̃	ˈa_ŋ	0.15
ˈɛ̃	ŋ	0.103
