Eastern Lombard	Eastern Lombard	probability
ˈɔ_r	ˈɔ_r	1.0
ˈø_l	ʎ	1.0
ˈø_k	ˈɛ_w	1.0
ˈy	ˈy	1.0
ˈe_s	ˈi_s	1.0
ˈa_l	ˈa_l	1.0
ˈa_d	ˈɛ	1.0
y	y	1.0
w	w	1.0
u	u	1.0
t_a	t_ə	1.0
s_ˈa	s_ˈa	1.0
r_ˈɛ	r_ˈɔ	1.0
r_t	r_t	1.0
p	p	1.0
n_a	ə	1.0
l_#>	l_#>	1.0
l	l	1.0
k_ˈa	ʧ_j	1.0
f_#>	f_#>	1.0
e_d	v_ə	1.0
d_a	ə	1.0
b	b	1.0
a_l	a_l	1.0
a_#>	#>	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈe	<#_v	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_ã	1.0
r	r	0.955
m	m	0.944
f	f	0.923
n	n	0.875
i	-	0.875
<#	<#_v	0.867
t	t	0.806
e_r	r_ə	0.8
a	ə	0.781
ɲ	ɲ	0.7
ˈɛ	ˈɛ	0.688
ʋ	v	0.667
ŋ	ŋ	0.625
ɡ	ɡ	0.579
ʤ	-	0.571
j	l	0.571
k	k	0.561
ˈɔ	ˈɔ	0.545
z	ʤ	0.533
k_#>	k_#>	0.5
s	s	0.493
ˈu	ˈũ	0.462
e	-	0.444
o	-	0.438
ʤ	ɡ_l	0.429
ˈa	ˈã	0.393
k	ʧ	0.39
ˈu	ˈu	0.385
ŋ	n	0.375
ˈø	w_ˈɛ	0.333
ʋ	ˈɛ_v	0.333
z	z	0.333
e	ə	0.333
d	r	0.333
d	d	0.333
d	-	0.333
ɡ	-	0.316
o	u	0.312
ˈo	ˈu	0.3
ˈi	ˈɔ_j	0.3
ʧ	ʎ	0.3
ʧ	j_t	0.3
ɲ	n	0.3
k_#>	#>	0.3
#>	ə_#>	0.3
ˈe	ˈi	0.28
ˈɔ	ˈũ	0.273
ˈi	ˈi	0.267
ˈo	ˈũ	0.25
ˈa	ˈe	0.246
ˈi	ˈĩ	0.233
s	ʦ	0.232
ˈø	ˈỹ	0.222
ˈø	ˈu	0.222
ˈø	-	0.222
ˈa	ˈa	0.213
ˈo	ˈɔ	0.2
ʧ	t	0.2
ʧ	k_l	0.2
k_#>	j_#>	0.2
e_r	r	0.2
#>	n_#>	0.2
ˈɛ	ˈẽ	0.188
#>	r_#>	0.183
ˈɔ	ˈy_j	0.182
ˈe	ˈẽ_n	0.16
ˈe	j_ˈɛ	0.16
ˈu	ˈɔ	0.154
j	ˈi	0.143
j	ʎ	0.143
j	j	0.143
t	-	0.139
ˈi	ˈi_r	0.133
z	-	0.133
<#	<#_ɔ	0.133
ˈɛ	-	0.125
o	ɔ	0.125
o	ũ	0.125
n	-	0.125
i	ĩ	0.125
ˈe	ˈɔ_j	0.12
ˈe	ˈẽ	0.12
#>	s_#>	0.117
#>	j_n_#>	0.117
s	e_s	0.116
a	a	0.11
ɡ	j	0.105
ˈo	ˈy	0.1
ˈo	-	0.1
ˈa	ˈɛ	0.082
ˈe	ˈẽ_j	0.08
ˈe	j	0.08
f	v_r	0.077
e	ʤ_ə	0.074
e	ɛ	0.074
e	ə_v	0.074
s	j_s	0.072
ˈi	j	0.067
t	r	0.056
m	-	0.056
a	-	0.055
