Old Norse	Proto-Germanic	probability
a	j	0.565
a	ɑ	0.168
a	ɔ̃ː	0.135
a	ɔːu̯	0.072
a	ɑː	0.06
b	b	0.986
c	k	0.918
c	kʷ	0.082
cʰ	k	1.0
cː	kː	1.0
d	d	0.96
f	ɸ	0.923
f	β	0.077
h	x	0.965
i	ɛː	0.271
i	ɔːː	0.152
i	-	0.133
i	i	0.132
i	ɑ	0.089
i	iː	0.072
i	e	0.069
i	ɔː	0.06
j	ˈeu̯	0.362
j	ˈe	0.271
j	-	0.189
j	j	0.113
j	ˈɑi̯	0.065
k	k	0.85
k	s_k	0.059
kʰ	k	0.852
kʰ	ɸ	0.087
kʰ	kʷ	0.061
kː	k	0.596
kː	ŋ_k	0.339
kː	kʷ	0.065
l	l	0.92
l	ɑ_l	0.063
lː	l	0.499
lː	lː	0.405
lː	ɑ_l	0.096
l̥	x_l	1.0
m	m	0.994
mː	mː	0.67
mː	m	0.33
n	n	0.921
nː	n	0.398
nː	nː	0.362
nː	-	0.195
p	p	1.0
pː	pː	1.0
r	r	0.454
r	ɑ	0.324
r	-	0.121
rː	r	1.0
r̥	x	1.0
s	s	0.926
s	n_s	0.052
sː	s	0.608
sː	sː	0.392
t	t	1.0
tʰ	t	1.0
tː	x_t	0.885
tː	t	0.115
u	u	0.422
u	i	0.346
u	ˈi	0.089
u	-	0.084
u	ɑ	0.058
v	w	0.471
v	β	0.315
v	ɸ	0.076
w	-	0.847
w	ˈeu̯	0.153
x	xʷ	1.0
ç	x	0.602
ç	xʷ	0.398
ð	ð	0.597
ð	θ	0.258
ð	nː	0.096
ŋ	ŋ	0.699
ŋ	n	0.269
ɑ	ɑ	0.698
ɑ	ɔ̃ː	0.154
ɑ	ɔːː	0.066
ɑː	e	1.0
ɟ	ɣ	0.954
ɟː	ɣ	1.0
ɡ	ɣ	0.434
ɡ	ɡ	0.415
ɡ	x	0.084
ɡː	ɣ	0.641
ɡː	jː	0.359
ɣ	ɣ	1.0
ɾ	r	1.0
ʝː	ɣ	1.0
ʦ	ð	1.0
ˈa	ˈɑ	1.0
ˈe	ˈe	0.585
ˈe	ˈi	0.242
ˈe	ˈɑ	0.13
ˈeː	ˈe	0.423
ˈeː	ˈiː	0.22
ˈeː	ˈeː	0.124
ˈeː	ˈĩː	0.09
ˈeː	ˈuː	0.086
ˈeː	-	0.059
ˈi	ˈi	1.0
ˈiː	ˈiː	0.749
ˈiː	ˈe	0.163
ˈiː	ˈi	0.088
ˈo	ˈu	0.931
ˈoː	w	0.398
ˈoː	ˈɔː	0.258
ˈoː	-	0.186
ˈu	ˈu	0.851
ˈu	ˈuː	0.054
ˈuː	ˈuː	0.468
ˈuː	-	0.44
ˈuː	ˈɔː	0.092
ˈy	ˈu	0.722
ˈy	ˈe	0.144
ˈy	ˈi	0.101
ˈyː	ˈiu̯	0.399
ˈyː	ˈuː	0.322
ˈyː	ˈi	0.11
ˈyː	ˈeu̯	0.078
ˈyː	ˈu	0.055
ˈøy̯	ˈɑu̯	1.0
ˈøː	ˈɔː	0.776
ˈøː	ˈɑ	0.213
ˈɑ	ˈɑ	0.807
ˈɑ	ˈe	0.09
ˈɑu̯	ˈɑu̯	0.926
ˈɑu̯	u	0.074
ˈɑː	ˈɛː	0.465
ˈɑː	ˈɑ	0.264
ˈɑː	ˈɑi̯	0.118
ˈɑː	ˈɑu̯	0.094
ˈɑː	ɑ̃	0.058
ˈɒu̯	ˈɑu̯	0.551
ˈɒu̯	-	0.449
ˈɔ	ˈe	0.693
ˈɔ	ˈɑ	0.266
ˈɔː	ˈɔː	1.0
ˈɛ	ˈɑ	0.709
ˈɛ	ˈi	0.178
ˈɛ	ˈɑi̯	0.079
ˈɛi̯	ˈɑi̯	1.0
ˈɛː	ˈɑ	0.694
ˈɛː	ˈɑi̯	0.306
θ	θ	0.974
