Insular North Frisian	Insular North Frisian	probability
ˈɛː_ɐ	ˈɛː	1.0
ˈøː	-	1.0
ˈiː_#>	ɡ_n_#>	1.0
ˈaː	ˈaː	1.0
ˈaʊ̯	ˈyːœ̯	1.0
ˈaɪ̯	-	1.0
ʃ	s	1.0
ɪ	ɪ	1.0
ə_n	n	1.0
ə_l	l	1.0
ə_f	ʋ	1.0
z	z	1.0
x_t_#>	#>	1.0
tʲ	d	1.0
tʰ	d	1.0
t_#>	#>	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
r_ə	m	1.0
p	p	1.0
n_s	n_ʃ	1.0
n	n	1.0
m_#>	#>	1.0
m	m	1.0
lʲ	l_d̥	1.0
l_ə	l	1.0
kʰ	k	1.0
h	h	1.0
f_#>	v_#>	1.0
e	ʋ	1.0
b	b	1.0
aɪ̯	aɪ̯	1.0
<#_ˈɔː	<#_ˈa	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
#>	ə_#>	1.0
ɐ	ɐ	0.935
l	l	0.925
k	k	0.895
r	r	0.889
d	d	0.857
ˈa	ˈa	0.846
ŋ	ŋ	0.846
ɡ	x	0.833
v	v	0.826
f	f	0.821
t	t	0.75
j	-	0.667
ə	n	0.6
ç	ç	0.6
ˈuː	-	0.571
ˈoː	ˈaʊ̯	0.556
s	s	0.537
ˈɪ	ˈɪ	0.524
ˈœ	-	0.5
ˈyː	ˈuː	0.5
ˈeː	-	0.5
ɾ	d̥	0.5
x	x	0.5
x	-	0.5
nʲ	n_n	0.5
nʲ	n_d̥	0.5
ˈɪ	ˈiː	0.476
ˈɔː	ˈɔː	0.444
ˈɔa̯	ˈaʊ̯	0.444
ˈuː	ˈɔː	0.429
ə	-	0.4
ç	ɡ	0.4
s	ʃ	0.366
ˈʏ	-	0.35
ˈɔa̯	-	0.333
j	j	0.333
ˈʏ	ˈʊ	0.3
ˈɛ	ˈɪ	0.286
ˈʊ	ˈʊ	0.278
ˈʊ	-	0.278
ˈiː	ˈiː	0.263
ˈɛ	-	0.25
ˈœ	ˈʊ	0.25
ˈœ	ˈa	0.25
ˈyː	ˈyː	0.25
ˈyː	-	0.25
ˈʊ	ˈɪ	0.222
ˈɔː	ˈɔ	0.222
ˈɔː	-	0.222
ˈɔa̯	ˈa	0.222
ˈoː	ˈoː	0.222
ˈoː	-	0.222
ˈiː	ˈaɪ̯	0.211
ˈɔ	ˈʊ	0.2
ˈɔ	ˈɛ	0.2
ˈɔ	ˈuːə̯	0.2
ˈɔ	ˈoː	0.2
ˈɔ	-	0.2
ɾ	d	0.2
ˈɛ	ˈaɪ̯	0.179
v	ʋ	0.174
ɡ	-	0.167
ˈiː	ˈɪɛ̯	0.158
ˈiː	ˈeː	0.158
ˈa	-	0.154
ŋ	-	0.154
ˈʏ	ˈuː	0.15
ˈɛ	ˈɛ	0.143
f	v	0.143
d	t	0.143
t	d̥	0.139
ˈeː	ˈɛ	0.125
ˈeː	ˈøː	0.125
ˈeː	ˈeː	0.125
ˈeː	ˈa	0.125
ˈʊ	ˈuə̯	0.111
ˈʊ	ˈa	0.111
ˈɔː	ˈɒː	0.111
t	t_n	0.111
r	ˈuːə̯	0.111
ˈɛ	ˈʏ	0.107
ˈiː	ˈɔː	0.105
ˈiː	-	0.105
k	k_n	0.105
ˈʏ	ˈyː	0.1
ˈʏ	ˈiː	0.1
ɾ	n	0.1
ɾ	d_n	0.1
ɾ	-	0.1
s	z	0.098
l	l_ˈaɪ̯	0.075
ɐ	-	0.065
