Ripuarian	Ripuarian	probability
ˈɔː	ˈaː	1.0
ˈøʏ̯	ˈaɪ̯	1.0
ˈu	ˈʊ	1.0
ˈoː_f	ˈoː_f	1.0
ʋ	ʋ	1.0
ʃ	ʃ	1.0
ʀ	ɾ	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ɣ̊	ɡ̊	1.0
ɡ̊_#>	#>	1.0
ɡ̊	d̥	1.0
z̥	s	1.0
z	s	1.0
x	x	1.0
v̥	b̥	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
h	h	1.0
f	f	1.0
e_ŋ	eː	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
<#_ˈʊ	<#_ˈʊ	1.0
<#_ˈe	<#	1.0
#>	ə_#>	1.0
ɐ	ɑ	0.889
k	k	0.889
ʦ	ʦ	0.867
s	s	0.857
ə	ə	0.843
ˈe	ˈɪ	0.824
ɕ	ç	0.824
ˈɔ	ˈɔ	0.818
n	n	0.805
j	ɡ	0.8
ˈa	ˈa	0.786
ˈœ	ˈɪ	0.75
v	ʋ	0.75
ˈo	ˈʊ	0.714
ˈɪ	ˈɪ	0.7
ˈeɪ̯	ˈeː	0.667
ˈɛ	ˈɛ	0.65
ˈɔʊ̯	ˈɔː	0.625
ˈaː	ˈɔː	0.538
ˈuː	ˈaʊ̯	0.533
ˈøː	ˈiː	0.5
ˈøː	-	0.5
ˈeː	ˈeː	0.474
ˈuː	ˈoː	0.467
ŋ	n	0.464
ˈaː	ˈa	0.462
t	t	0.455
ˈɛː	ˈɛ	0.444
ˈyː	ˈaɪ̯	0.444
p	p	0.444
ˈoː	ˈuː	0.435
ˈeː	ˈiː	0.421
ŋ	ŋ	0.393
ˈɔʊ̯	ˈaʊ̯	0.375
ˈiː	ˈaɪ̯	0.375
t	d	0.364
ˈʏ	ˈɪ	0.333
ˈʏ	ˈaɪ̯	0.333
ˈʏ	-	0.333
ˈɛː	-	0.333
ˈyː	-	0.333
ˈeɪ̯	ˈaɪ̯	0.333
p	f	0.333
ˈiː	ˈeː	0.312
ˈɪ	ˈaɪ̯	0.3
ˈo	-	0.286
ˈœ	-	0.25
v	-	0.25
ˈɛː	ˈeː	0.222
ˈyː	ˈeː	0.222
p	-	0.222
ˈoː	ˈɔː	0.217
ˈɛ	-	0.2
j	j	0.2
ˈiː	ˈiː	0.188
ˈɔ	ˈʊ	0.182
t	-	0.182
ˈe	-	0.176
ɕ	ɡ̊	0.176
ˈɛ	ˈɛː	0.15
ˈa	ˈɔː	0.143
ŋ	-	0.143
s	ʃ	0.143
ʦ	-	0.133
ˈoː	ˈoː	0.13
ˈoː	-	0.13
ˈiː	-	0.125
ə	-	0.118
k	-	0.111
ˈeː	ˈɪ	0.105
n	ə	0.098
ˈoː	ˈʊ	0.087
ˈa	-	0.071
ɐ	ɾ_ɪ	0.056
ɐ	ɾ_ə	0.056
