Danish	Pennsylvania German	probability
b̥	b	0.72
b̥	f	0.226
b̥	p	0.054
b̥_j	b	1.0
d̥	d	0.907
d̥	ʦ	0.093
e	ɪ	0.244
f	f	0.935
f	ʃ	0.064
h	h	0.967
h	-	0.044
i	ɪ_ç	1.0
j	-	0.385
j	k	0.255
j	ç	0.217
j	x	0.129
jˀ	ɣ	0.574
jˀ	j	0.284
k	ŋ_k	0.334
k	ç	0.218
k	k	0.218
kʰ	kʰ	0.717
kʰ	f	0.132
kʰ	ɡ	0.116
l	l	0.946
l	d_l	0.056
lˀ	l	0.68
lˀ	l_t	0.2
lˀ	ɑ	0.097
m	m	1.0
mˀ	n	0.415
mˀ	m	0.357
n	n	0.773
n	-	0.22
nˀ	n_t	0.502
nˀ	n	0.212
nˀ	l	0.112
nˀ	-	0.088
nˀ	ɑ	0.067
p	f	0.494
pʰ	p͡f	1.0
s	s	0.56
s	ʃ	0.366
s	-	0.047
s	ç	0.032
s_k	ʃ	1.0
t	t	0.387
t	x	0.199
t	ç_t	0.125
t	ʦ	0.109
t	s	0.072
v	p	0.758
v	v	0.092
w	v	0.284
w	ɪ	0.228
w	p	0.15
w	ə	0.114
w	x	0.087
wˀ_n	ə	1.0
ð̞ˠ	t	0.477
ð̞ˠ	s	0.409
ð̞ˠ	-	0.083
ð̞ˠ	p	0.034
ŋ	ŋ	0.556
ŋ	n	0.272
ŋ	ç	0.103
ŋˀ	ŋ	1.0
ɐ	ɑ	0.56
ɐ	d_ɑ	0.245
ɐ	-	0.105
ɐ	ɪ	0.045
ɐ	ə	0.045
ɐˀ	ɾ	0.348
ɐˀ	ˈaː	0.303
ɐˀ	ˈa	0.18
ɐˀ	ɑ	0.084
ɐˀ_n	n	1.0
ə	-	0.526
ə	ə	0.358
ə	ɑ	0.05
ə	ɪ	0.044
ə	ˈɔː	0.03
ɡ̊	ɡ	0.602
ɡ̊	k	0.289
ɡ̊	ç	0.086
ɡ̊	-	0.038
ʁ	ɾ	0.939
ʁ	-	0.06
ʋ	ʋ	0.744
ʋ	-	0.104
ʋ	v	0.063
ʋ	ɾ	0.055
ʋ	ˈɛ	0.045
ʦʰ	d	0.61
ʦʰ	ʦ	0.372
ʨ	d	0.244
ˈa	ˈa	0.462
ˈa	ˈɔː	0.314
