Middle High German	Old Frisian	probability
ˈɛ_h	ˈi̯aː	1.0
ˈɑ_n	ˈoː	1.0
ˈøː	ˈɛː	1.0
ˈøy̯	ˈeː	1.0
ˈæː	ʦ_ˈiː	1.0
ˈyə̯	ˈeː	1.0
ˈu_n	ˈuː	1.0
ˈoː	ˈaː	1.0
ˈou̯	ˈaː	1.0
ˈi_r	ˈiː	1.0
ˈe	ˈe	1.0
ʦː	tː	1.0
ʦ	t	1.0
ɡ̊	ɣ̥	1.0
ɡ_ˈɛ	j_ˈe	1.0
ɡ_ə	j	1.0
ɡ_r	ɡ_r	1.0
ɛ	iː	1.0
ə_t	ə_d	1.0
ə_n	ə	1.0
ə_l	ə_l	1.0
ɑː	ˈaː	1.0
ɑ	-	1.0
ŋ	ŋ	1.0
xː	k	1.0
v	f	1.0
tː	dː	1.0
s̻ː	t	1.0
s̻	t	1.0
s_ə	z_ə	1.0
s_t	s_t	1.0
s	s	1.0
rː	ˈuː_ɣ	1.0
r_ˈiː	r	1.0
r_ə	r_ə	1.0
r_n	r_n	1.0
p	p	1.0
oː	ə	1.0
ou̯	ˈaː	1.0
nː	nː	1.0
n_ə	n_ə	1.0
mː	mː	1.0
m	m	1.0
l_ə	l_ə	1.0
k	k	1.0
j	j	1.0
i	i	1.0
h	h	1.0
fː	p	1.0
d̥	d	1.0
d_ə	d_ə	1.0
r	r	0.947
w	w	0.938
l	l	0.912
ˈuː	ˈuː	0.871
ˈiː	ˈiː	0.868
ˈuə̯	ˈoː	0.821
ˈiə̯	ˈi̯aː	0.803
x	x	0.79
ˈei̯	ˈɛː	0.785
n	n	0.778
ˈi	ˈi	0.777
ˈɛ	ˈe	0.775
p͡f	p	0.762
f	p	0.759
d	θ	0.754
b	b	0.753
t	d	0.747
ʃː	s	0.732
ˈɑː	ˈeː	0.718
ə	ə	0.709
ˈyː	ˈi̯uː	0.702
ˈu	ˈu	0.678
kː	ɡː	0.667
ɡ	ɡ	0.554
ʃ	s	0.511
ˈɑ	ˈa	0.5
ˈeː	ˈɛː	0.5
ˈeː	-	0.5
ʃ	s_k	0.489
ˈy	ˈe	0.477
ˈo	ˈɔː	0.439
ɡ	ɣ	0.371
ˈy	-	0.364
kː	kː	0.333
ˈo	ˈo	0.314
ˈyː	-	0.298
ˈɑː	ˈɔː	0.282
ʃː	s_k	0.268
ˈo	ˈu	0.247
d	ð	0.246
f	f	0.241
p͡f	pː	0.237
ˈɑ	ˈɔː	0.233
b	v	0.23
t	t	0.226
ˈɑ	ˈe	0.223
ˈei̯	ˈaː	0.215
x	k	0.21
ˈiə̯	-	0.197
ə	j	0.193
ˈuə̯	-	0.179
n	ə	0.169
ˈu	ˈo	0.161
ˈu	-	0.161
ˈy	ˈo	0.159
ˈɛ	-	0.147
ˈiː	ˈi	0.132
ˈuː	-	0.129
ˈi	ˈeː	0.127
ˈi	-	0.096
l	l_ə	0.088
ˈɛ	ˈi	0.079
ɡ	j	0.076
ə	-	0.069
w	-	0.062
n	-	0.053
