English	English	probability
ˈɜː	-	1.0
ˈɛ	-	1.0
ˈiː_n	eː	1.0
ˈiː_#>	ˈaɪ̯_#>	1.0
ˈe_ɡ	ˈɔɪ̯	1.0
ʧ	k	1.0
ʤ	k	1.0
ʃ	ʃ	1.0
ɪ	ɪ_ç	1.0
ɡ_ə	ɑ	1.0
ɡ	ɡ	1.0
ɜː	ɾ_ˈaɪ̯	1.0
əʊ̯	-	1.0
ə_n	ə	1.0
ə	ɑ	1.0
ŋ	ŋ	1.0
ð	d	1.0
z	ə	1.0
tʰ	ʦ	1.0
t_ə	ɑ	1.0
pʰ	-	1.0
n_d	n	1.0
l	l	1.0
kʰ	k	1.0
h	h	1.0
d_ə	ɑ	1.0
b	b	1.0
w	ʋ	0.929
m	m	0.926
ɹ	ɾ	0.92
f	f	0.909
ɫ	l	0.9
n	n	0.857
ˈuː	-	0.8
ˈəʊ̯	ˈeː	0.75
ˈæ	ˈa	0.75
f_#>	b̥_#>	0.714
θ	d	0.684
ˈɐ	ˈʊ	0.667
<#	<#_ˈɛ	0.667
#>	ɡ̊_#>	0.667
ˈɪ	ˈɪ	0.645
p	f	0.625
s	s	0.587
ˈaʊ̯	ˈaʊ̯	0.571
d	d̥	0.556
ˈaɪ̯	ˈaɪ̯	0.538
ˈʊ	ˈɔ	0.5
ˈʊ	ˈuː	0.5
j	ɡ	0.5
j	j	0.5
ˈeɪ̯	ˈɔː	0.462
d	d	0.444
ˈɒ	ˈa	0.429
s	ʃ	0.413
ˈeɪ̯	ˈa	0.385
t	t	0.375
t	s	0.375
p	f_ə	0.375
ˈɔː	ˈaː	0.364
ˈɔː	ˈa	0.364
ˈɐ	-	0.333
v	ʋ_ə	0.333
v	ʋ	0.333
v	f	0.333
k	k	0.333
<#	<#_ˈa	0.333
#>	ɑ_#>	0.333
ˈe	ˈɛ	0.32
θ	d̥	0.316
ˈiː	ˈiː	0.3
ˈɒ	ˈɔ	0.286
ˈɒ	-	0.286
f_#>	#>	0.286
ˈɔː	-	0.273
ˈɑː	ˈɔː	0.273
k	ç	0.267
k	x	0.267
ˈæ	-	0.25
ˈe	-	0.24
ˈaʊ̯	ˈuː	0.214
ˈaʊ̯	-	0.214
ˈuː	ˈuː	0.2
ˈiː	ˈeː	0.2
ˈe	ˈeː	0.2
ˈaɪ̯	ˈɪ	0.192
ˈɑː	ˈɛː_ɑ	0.182
ˈɑː	ˈa_l	0.182
ˈɑː	ˈa	0.182
ˈɑː	-	0.182
ˈiː	ˈɔː	0.167
ˈɪ	-	0.161
ˈe	ˈoː	0.16
ˈeɪ̯	-	0.154
n	-	0.143
ˈiː	ˈoː	0.133
ˈiː	-	0.133
k	k_ə	0.133
ˈɪ	ˈɛ	0.129
ˈəʊ̯	ˈa	0.125
ˈəʊ̯	-	0.125
t	ʦ	0.125
t	s_ə	0.125
ˈaɪ̯	-	0.115
ɫ	ɣ_l	0.1
f	f_ˈɔ	0.091
ˈe	ˈɪ	0.08
ɹ	ɾ_ˈʊ	0.08
ˈaɪ̯	ˈɪ_ç	0.077
ˈaɪ̯	ˈa_x	0.077
m	m_ˈoː	0.074
w	-	0.071
ˈiː	ˈuː	0.067
ˈɪ	ˈiː	0.065
